Country;Predicted;Rainbow Map
Albania;50.54600000000001;35.449999999999996
Andorra;0.032;42.99999999999999
Armenia;21.209999999999997;9.16
Austria;51.57000000000002;53.98369999999999
Azerbaijan;55.24700000000001;2.25
Belarus;9.309000000000001;10.16
Belarus;32.724;10.16
Belgium;55.05800000000001;85.31000000000002
Belgium;51.57000000000002;85.31000000000002
Belgium;0.6000000000000001;85.31000000000002
Bosnia & Herzegovina;1.5560000000000003;39.633537000000004
Bosnia & Herzegovina;32.690000000000005;39.633537000000004
Bosnia & Herzegovina;4.710000000000001;39.633537000000004
Bulgaria;17.932;21.259999999999998
Croatia;4.710000000000001;49.13999999999999
Cyprus;13.09;33.69
Cyprus;13.09;33.69
Cyprus;0.0;33.69
Czechia;4.768;33.17
Denmark;33.396000000000015;80.10000000000002
Estonia;1.3110000000000004;45.91
Finland;19.47;69.85000000000001
France;0.6000000000000001;61.38
Georgia;51.27;11.88
Germany;51.57000000000002;69.09562499999998
Greece;13.09;69.18
Greece;13.09;69.18
Hungary;52.66800000000003;22.7
Iceland;82.85099999999998;84.06000000000002
Ireland;58.608999999999995;62.839999999999996
Ireland;49.12400000000001;62.839999999999996
Italy;3.532;24.41
Netherlands;55.05800000000001;63.82000000000001
Kosovo;32.690000000000005;34.81999999999999
Kosovo;50.54600000000001;34.81999999999999
Latvia;60.47200000000001;25.740000000000002
Liechtenstein;51.57000000000002;28.96
Lithuania;11.736000000000004;24.090000000000003
Luxembourg;34.56000000000001;68.41
Luxembourg;51.57000000000002;68.41
Luxembourg;0.6000000000000001;68.41
Malta;49.485000000000014;88.83000000000003
Malta;49.12400000000001;88.83000000000003
Moldova;10.378000000000002;38.41
Monaco;0.6000000000000001;13.7
Montenegro;49.99500000000001;49.279999999999994
North Macedonia;16.275000000000002;29.259999999999998
North Macedonia;50.54600000000001;29.259999999999998
Norway;1.8519999999999999;68.6
Poland;5.0;20.5
Portugal;6.172000000000001;66.99
Romania;10.378000000000002;18.630000000000003
Russia;32.724;2.0
San Marino;3.532;14.97
Serbia;32.690000000000005;35.25999999999999
Slovakia;18.11;27.169999999999998
Slovenia;20.750000000000004;50.28999999999999
Spain;11.620000000000005;77.969411764702
Sweden;19.47;66.07000000000001
Switzerland;3.532;50.11999999999999
Switzerland;51.57000000000002;50.11999999999999
Switzerland;0.6000000000000001;50.11999999999999
Turkey;0.0;4.75
Ukraine;1.911;18.759999999999998
