Category;Subcategory;Fact;Support;Opposition;Stance;Fact Coherence;Fact Validity;Fact Weight coherence by validity;Stance Coherence;Stance Validity;Stance Weight coherence by validity
Equality & non-discrimination;Constitution (sexual orientation);1.0;0.5;0.4;0.55;1.0;1.0;1.0;1.0;0.2;0.2
Equality & non-discrimination;Employment (sexual orientation);1.0;0.7;0.5;0.6;1.0;1.0;1.0;;0.0;0.0
Equality & non-discrimination;Goods & services (sexual orientation);1.0;0.6;0.5;0.55;1.0;1.0;1.0;;0.0;0.0
Equality & non-discrimination;Education (sexual orientation);1.0;0.7;0.3;0.7;1.0;1.0;1.0;1.0;0.4;0.4
Equality & non-discrimination;Health (sexual orientation);1.0;0.6;0.4;0.6;1.0;1.0;1.0;1.0;0.2;0.2
Equality & non-discrimination;Conversion practices ban (sexual orientation);1.0;0.7;0.1;0.8;1.0;1.0;1.0;1.0;0.8;0.8
Equality & non-discrimination;Equality body mandate (sexual orientation);1.0;0.6;0.5;0.55;1.0;1.0;1.0;;0.0;0.0
Equality & non-discrimination;Equality action plan (sexual orientation);1.0;0.7;0.5;0.6;1.0;1.0;1.0;;0.0;0.0
Equality & non-discrimination;Constitution (gender identity);1.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
Equality & non-discrimination;Employment (gender identity);1.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
Equality & non-discrimination;Goods & services (gender identity);1.0;0.6;0.5;0.55;1.0;1.0;1.0;;0.0;0.0
Equality & non-discrimination;Education (gender identity);1.0;0.6;0.4;0.6;1.0;1.0;1.0;1.0;0.2;0.2
Equality & non-discrimination;Health (gender identity);1.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
Equality & non-discrimination;Conversion practices ban (gender identity);1.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
Equality & non-discrimination;Equality body mandate (gender identity);1.0;0.5;0.6;0.45;1.0;1.0;1.0;1.0;0.2;0.2
Equality & non-discrimination;Equality action plan (gender identity);1.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
Equality & non-discrimination;Law (gender expression);1.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
Equality & non-discrimination;Constitution (sex characteristics);1.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
Equality & non-discrimination;Employment (sex characteristics);1.0;0.6;0.5;0.55;1.0;1.0;1.0;;0.0;0.0
Equality & non-discrimination;Goods & services (sex characteristics);1.0;0.9;0.5;0.7;1.0;1.0;1.0;;0.0;0.0
Equality & non-discrimination;Education (sex characteristics);1.0;0.7;0.2;0.75;1.0;1.0;1.0;1.0;0.6;0.6
Equality & non-discrimination;Health (sex characteristics);1.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
Equality & non-discrimination;Equality body mandate (sex characteristics);1.0;0.9;0.5;0.7;1.0;1.0;1.0;;0.0;0.0
Equality & non-discrimination;Equality action plan (sex characteristics);1.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
Equality & non-discrimination;Blood donations;1.0;0.5;0.3;0.6;1.0;1.0;1.0;1.0;0.4;0.4
Family;Marriage equality;1.0;1.0;0.7;0.65;1.0;1.0;1.0;1.0;0.4;0.4
Family;Registered partnership (similar rights to marriage);0.2;0.6;0.5;0.55;0.36;1.0;0.36;;0.0;0.0
Family;Registered partnership (limited rights);1.0;0.8;0.5;0.65;1.0;1.0;1.0;;0.0;0.0
Family;Cohabitation;1.0;0.6;0.1;0.75;1.0;1.0;1.0;1.0;0.8;0.8
Family;No constitutional limitation on marriage;1.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
Family;Joint adoption;1.0;0.9;0.0;0.95;1.0;1.0;1.0;1.0;1.0;1.0
Family;Second-parent adoption;1.0;0.6;0.5;0.55;1.0;1.0;1.0;;0.0;0.0
Family;Automatic co-parent recognition;0.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
Family;Medically assisted insemination (couples);1.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
Family;Medically assisted insemination (singles);1.0;0.6;0.5;0.55;1.0;1.0;1.0;;0.0;0.0
Family;Recognition of trans parenthood;0.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
Hate crime & hate speech;Hate crime law (sexual orientation);1.0;0.6;0.4;0.6;1.0;1.0;1.0;1.0;0.2;0.2
Hate crime & hate speech;Hate speech law (sexual orientation);1.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
Hate crime & hate speech;Policy tackling hatred (sexual orientation);1.0;0.8;0.5;0.65;1.0;1.0;1.0;;0.0;0.0
Hate crime & hate speech;Hate crime law (gender identity);1.0;0.6;0.5;0.55;1.0;1.0;1.0;;0.0;0.0
Hate crime & hate speech;Hate speech law (gender identity);1.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
Hate crime & hate speech;Policy tackling hatred (gender identity);1.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
Hate crime & hate speech;Hate crime law (intersex);1.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
