criterion_id;Fact;Support;Opposition
0;"U Bosni i Hercegovini; zabranjuje li ustav diskriminaciju na temelju seksualne orijentacije?";"U Bosni i Hercegovini; bi li ustav trebao zabraniti diskriminaciju na temelju seksualne orijentacije?";"U Bosni i Hercegovini; bi li ustav trebao dopuštati diskriminaciju na temelju seksualne orijentacije?"
1;U Bosni i Hercegovini je li seksualna orijentacija izričito uključena u zakonodavstvo o antidiskriminaciji u zapošljavanju?;"U Bosni i Hercegovini; treba li seksualnu orijentaciju izričito uključiti u zakonodavstvo o zabrani diskriminacije pri zapošljavanju?";"U Bosni i Hercegovini; treba li seksualnu orijentaciju izuzeti iz zakonodavstva o zabrani diskriminacije u zapošljavanju?"
2;"U Bosni i Hercegovini; je li seksualna orijentacija izričito uključena u zakonodavstvo protiv diskriminacije u pružanju dobara i usluga?";"U Bosni i Hercegovini; treba li seksualnu orijentaciju izričito uključiti u zakonodavstvo protiv diskriminacije u pružanju dobara i usluga?";"U Bosni i Hercegovini; treba li seksualnu orijentaciju isključiti iz zakonodavstva protiv diskriminacije u proizvodima i uslugama?"
3;Je li u Bosni i Hercegovini diskriminacija na temelju seksualne orijentacije u području obrazovanja zabranjena zakonom?;"U Bosni i Hercegovini; bi li diskriminacija na temelju seksualne orijentacije u području obrazovanja trebala biti zabranjena zakonom?";"U Bosni i Hercegovini; bi li diskriminacija na temelju seksualne orijentacije u području obrazovanja trebala biti dopuštena zakonom?"
4;Je li u Bosni i Hercegovini diskriminacija na temelju seksualne orijentacije u području zdravstva zabranjena zakonom?;"U Bosni i Hercegovini; bi li diskriminacija na temelju seksualne orijentacije u području zdravstva trebala biti zabranjena zakonom?";"U Bosni i Hercegovini; bi li diskriminacija na temelju seksualne orijentacije u području zdravstva trebala biti dopuštena zakonom?"
5;Postoje li u Bosni i Hercegovini zakoni ili politike koje zabranjuju konverzijske ili reparativne prakse usmjerene na promjenu seksualne orijentacije maloljetnika?;"U Bosni i Hercegovini; bi li konverzijske ili reparativne prakse usmjerene na promjenu seksualne orijentacije maloljetnika trebale biti zabranjene zakonom ili politikama?";"U Bosni i Hercegovini; bi li zakonodavstvom ili politikama trebale biti dopuštene konverzijske ili reparativne prakse usmjerene na promjenu seksualne orijentacije maloljetnika?"
6;Postoji li u Bosni i Hercegovini nacionalna institucija za ljudska prava ili tijelo za ravnopravnost koje je izričito ovlašteno baviti se i sustavno raditi na pitanjima vezanim uz seksualnu orijentaciju?;"U Bosni i Hercegovini; bi li nacionalna institucija za ljudska prava ili tijelo za ravnopravnost trebali biti izričito ovlašteni da se bave i sustavno rade na pitanjima vezanim uz seksualnu orijentaciju?";"U Bosni i Hercegovini; bi li nacionalna institucija za ljudska prava ili tijelo za ravnopravnost trebali biti ovlašteni baviti se pitanjima vezanim uz seksualnu orijentaciju?"
7;Postoji li u Bosni i Hercegovini akcijski plan za ravnopravnost koji izričito uključuje seksualnu orijentaciju i konkretne mjere za napredak?;"U Bosni i Hercegovini; bi li trebalo postojati akcijsko plan za ravnopravnost koji izričito uključuje seksualnu orijentaciju i konkretne mjere za napredak?";"U Bosni i Hercegovini; treba li seksualnu orijentaciju isključiti iz akcijskih planova za ravnopravnost?"
8;"U Bosni i Hercegovini; zabranjuje li ustav diskriminaciju na temelju rodnog identiteta?";"U Bosni i Hercegovini; bi li ustav trebao zabraniti diskriminaciju na temelju rodnog identiteta?";"U Bosni i Hercegovini; bi li ustav trebao dopustiti diskriminaciju na temelju rodnog identiteta?"
9;U Bosni i Hercegovini je li rodni identitet izričito uključen u zakonodavstvo o zabrani diskriminacije pri zapošljavanju?;"U Bosni i Hercegovini; treba li rodni identitet izričito uključiti u zakonodavstvo o zabrani diskriminacije u zapošljavanju?";"U Bosni i Hercegovini; treba li rodni identitet biti isključen iz zakonodavstva o zabrani diskriminacije u zapošljavanju?"
10;U Bosni i Hercegovini je li rodni identitet izričito uključen u zakonodavstvo protiv diskriminacije u pružanju dobara i usluga?;"U Bosni i Hercegovini; treba li rodni identitet izričito uključiti u zakonodavstvo protiv diskriminacije u pružanju dobara i usluga?";"U Bosni i Hercegovini; treba li rodni identitet isključiti iz zakonodavstva protiv diskriminacije u pružanju dobara i usluga?"
11;Je li u Bosni i Hercegovini diskriminacija na temelju rodnog identiteta u području obrazovanja zabranjena zakonom?;"U Bosni i Hercegovini; bi li diskriminacija na temelju rodnog identiteta u području obrazovanja trebala biti zabranjena zakonom?";"U Bosni i Hercegovini; bi li diskriminacija na temelju rodnog identiteta u području obrazovanja trebala biti dopuštena zakonom?"
12;Je li diskriminacija na temelju rodnog identiteta u području zdravstva u Bosni i Hercegovini zabranjena zakonom?;"U Bosni i Hercegovini; bi li diskriminacija na temelju rodnog identiteta u području zdravstva trebala biti zabranjena zakonom?";"U Bosni i Hercegovini; bi li diskriminacija na temelju rodnog identiteta u području zdravstva trebala biti dopuštena zakonom?"
13;Postoje li u Bosni i Hercegovini zakoni ili politike koje zabranjuju konverzijske ili reparativne prakse usmjerene na promjenu rodnog identiteta maloljetnika?;"U Bosni i Hercegovini; bi li konverzione ili reparativne prakse usmjerene na promjenu rodnog identiteta maloljetnika trebale biti zabranjene zakonom ili politikama?";"U Bosni i Hercegovini; bi li zakonodavstvom ili politikama trebale biti dopuštene konverzione ili reparativne prakse usmjerene na promjenu rodnog identiteta maloljetnika?"
14;Postoji li u Bosni i Hercegovini nacionalna institucija za ljudska prava ili tijelo za ravnopravnost koje je izričito ovlašteno baviti se i sustavno raditi na pitanjima vezanim uz rodni identitet? (mislim da vam treba samo jedno);"U Bosni i Hercegovini; bi li nacionalna institucija za ljudska prava ili tijelo za ravnopravnost trebali imati izričito ovlaštenje za rješavanje pitanja vezanih uz rodni identitet?";"U Bosni i Hercegovini; bi li nacionalna institucija za ljudska prava ili tijelo za ravnopravnost trebali biti ovlašteni baviti se pitanjima vezanim uz rodni identitet?"
15;Postoji li u Bosni i Hercegovini akcijski plan za ravnopravnost koji izričito uključuje rodni identitet i konkretne mjere za napredak?;"U Bosni i Hercegovini; bi li trebalo postojati akcijsko plan za ravnopravnost koji izričito uključuje rodni identitet i konkretne mjere za napredak?";"U Bosni i Hercegovini; treba li rodni identitet isključiti iz akcijskih planova za ravnopravnost?"
16;U Bosni i Hercegovini je li rodni izraz izričito uključen u zakonodavstvo protiv diskriminacije?;"U Bosni i Hercegovini; treba li rodni izraz izričito uključiti u zakonodavstvo protiv diskriminacije?";"U Bosni i Hercegovini; treba li rodni izraz biti isključen iz zakonodavstva protiv diskriminacije?"
17;"U Bosni i Hercegovini; zabranjuje li ustav diskriminaciju na temelju spolnih karakteristika?";"U Bosni i Hercegovini; bi li ustav trebao zabraniti diskriminaciju na temelju spolnih karakteristika?";"U Bosni i Hercegovini; bi li ustav trebao dopuštati diskriminaciju na temelju spolnih karakteristika?"
18;"U Bosni i Hercegovini; jesu li spolne karakteristike izričito uključene u zakonodavstvo o antidiskriminaciji u zapošljavanju?";"U Bosni i Hercegovini; bi li spolne karakteristike trebalo izričito uključiti u zakonodavstvo o antidiskriminaciji u zapošljavanju?";"U Bosni i Hercegovini; bi li spolne karakteristike trebalo isključiti iz zakonodavstva o zabrani diskriminacije u zapošljavanju?"
