criterion_id;Fact;Support;Opposition;Stance;Fact Coherence;Fact Validity;Fact Weight coherence by validity;Stance Coherence;Stance Validity;Stance Weight coherence by validity
0;0.4;0.8;0.8;0.5;0.04;1.0;0.04;0.36;1.0;0.36
1;0.6;0.4;0.8;0.3;0.04;1.0;0.04;0.36;1.0;0.36
2;0.6;0.8;0.8;0.5;0.04;1.0;0.04;0.36;1.0;0.36
3;0.2;0.8;0.6;0.6;0.36;1.0;0.36;0.04;1.0;0.04
4;0.6;0.8;0.4;0.7;0.04;1.0;0.04;0.04;1.0;0.04
5;0.4;0.4;0.4;0.5;0.04;1.0;0.04;0.04;1.0;0.04
6;0.6;0.0;0.8;0.1;0.04;1.0;0.04;0.36;1.0;0.36
7;0.2;0.0;0.6;0.2;0.36;1.0;0.36;0.04;1.0;0.04
8;0.4;0.4;0.6;0.4;0.04;1.0;0.04;0.04;1.0;0.04
9;0.6;0.4;0.6;0.4;0.04;1.0;0.04;0.04;1.0;0.04
10;0.4;0.8;0.8;0.5;0.04;1.0;0.04;0.36;1.0;0.36
11;1.0;0.8;0.2;0.8;1.0;1.0;1.0;0.36;1.0;0.36
12;0.6;0.8;0.4;0.7;0.04;1.0;0.04;0.04;1.0;0.04
13;0.4;0.2;0.6;0.3;0.04;1.0;0.04;0.04;1.0;0.04
14;1.0;0.4;0.4;0.5;1.0;1.0;1.0;0.04;1.0;0.04
15;0.6;0.6;0.2;0.7;0.04;1.0;0.04;0.36;1.0;0.36
16;0.8;0.6;0.6;0.5;0.36;1.0;0.36;0.04;1.0;0.04
17;0.2;0.8;0.4;0.7;0.36;1.0;0.36;0.04;1.0;0.04
18;0.2;0.2;0.0;0.6;0.36;1.0;0.36;1.0;1.0;1.0
19;0.0;0.6;0.6;0.5;1.0;1.0;1.0;0.04;1.0;0.04
20;0.2;1.0;0.6;0.7;0.36;1.0;0.36;0.04;1.0;0.04
21;0.6;1.0;0.4;0.8;0.04;1.0;0.04;0.04;1.0;0.04
22;0.8;0.2;0.0;0.6;0.36;1.0;0.36;1.0;1.0;1.0
23;0.2;0.8;0.0;0.9;0.36;1.0;0.36;1.0;1.0;1.0
24;0.4;0.0;0.0;0.5;0.04;1.0;0.04;1.0;1.0;1.0
25;0.4;0.6;0.2;0.7;0.04;1.0;0.04;0.36;1.0;0.36
26;0.4;0.4;0.6;0.4;0.04;1.0;0.04;0.04;1.0;0.04
27;0.4;1.0;0.2;0.9;0.04;1.0;0.04;0.36;1.0;0.36
28;0.2;0.0;0.2;0.4;0.36;1.0;0.36;0.36;1.0;0.36
29;0.4;0.6;0.2;0.7;0.04;1.0;0.04;0.36;1.0;0.36
30;0.0;0.2;0.2;0.5;1.0;1.0;1.0;0.36;1.0;0.36
