criterion_id;Fact;Support;Opposition;Stance;Fact Coherence;Fact Validity;Fact Weight coherence by validity;Stance Coherence;Stance Validity;Stance Weight coherence by validity
0;0.0;0.4;0.1;0.65;1.0;1.0;1.0;1.0;0.8;0.8
1;0.1;0.3;0.0;0.65;1.0;0.8;0.8;1.0;1.0;1.0
2;0.1;0.1;0.2;0.45;1.0;0.8;0.8;1.0;0.6;0.6
3;0.0;0.4;0.3;0.55;1.0;1.0;1.0;1.0;0.4;0.4
4;0.0;0.2;0.2;0.5;1.0;1.0;1.0;1.0;0.6;0.6
5;0.1;0.1;0.0;0.55;1.0;0.8;0.8;1.0;1.0;1.0
6;0.1;0.1;0.1;0.5;1.0;0.8;0.8;1.0;0.8;0.8
7;0.0;0.4;0.0;0.7;1.0;1.0;1.0;1.0;1.0;1.0
8;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
9;0.2;0.0;0.0;0.5;1.0;0.6;0.6;1.0;1.0;1.0
10;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
11;0.0;0.1;0.1;0.5;1.0;1.0;1.0;1.0;0.8;0.8
12;0.1;0.1;0.1;0.5;1.0;0.8;0.8;1.0;0.8;0.8
13;0.0;0.2;0.1;0.55;1.0;1.0;1.0;1.0;0.8;0.8
14;0.0;0.2;0.2;0.5;1.0;1.0;1.0;1.0;0.6;0.6
15;0.1;0.3;0.1;0.6;1.0;0.8;0.8;1.0;0.8;0.8
16;0.4;0.0;0.0;0.5;1.0;0.2;0.2;1.0;1.0;1.0
17;0.2;0.0;0.0;0.5;1.0;0.6;0.6;1.0;1.0;1.0
18;0.0;0.1;0.1;0.5;1.0;1.0;1.0;1.0;0.8;0.8
19;0.1;0.0;0.0;0.5;1.0;0.8;0.8;1.0;1.0;1.0
20;0.2;0.0;0.1;0.45;1.0;0.6;0.6;1.0;0.8;0.8
21;0.1;0.0;0.2;0.4;1.0;0.8;0.8;1.0;0.6;0.6
22;0.0;0.1;0.2;0.45;1.0;1.0;1.0;1.0;0.6;0.6
23;0.3;0.1;0.0;0.55;1.0;0.4;0.4;1.0;1.0;1.0
24;0.1;0.1;0.2;0.45;1.0;0.8;0.8;1.0;0.6;0.6
25;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
26;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
27;0.1;0.1;0.0;0.55;1.0;0.8;0.8;1.0;1.0;1.0
28;0.1;0.0;0.0;0.5;1.0;0.8;0.8;1.0;1.0;1.0
29;0.0;0.0;0.1;0.45;1.0;1.0;1.0;1.0;0.8;0.8
