criterion_id;Fact;Support;Opposition;Stance;Fact Coherence;Fact Validity;Fact Weight coherence by validity;Stance Coherence;Stance Validity;Stance Weight coherence by validity
0;0.8;0.8;0.2;0.8;0.36;1.0;0.36;1.0;0.6;0.6
1;0.7;0.8;0.6;0.6;0.25;0.8;0.2;0.04;1.0;0.04
2;0.3;0.8;0.5;0.65;0.25;0.8;0.2;0.0;0.8;0.0
3;0.6;0.8;0.1;0.85;0.04;1.0;0.04;1.0;0.8;0.8
4;1.0;1.0;0.2;0.9;1.0;1.0;1.0;1.0;0.6;0.6
5;0.2;0.0;0.0;0.5;1.0;0.6;0.6;1.0;1.0;1.0
6;0.2;0.8;0.3;0.75;0.36;1.0;0.36;0.25;0.8;0.2
7;0.6;1.0;0.2;0.9;0.04;1.0;0.04;0.36;1.0;0.36
8;0.6;0.5;0.1;0.7;0.04;1.0;0.04;1.0;0.8;0.8
9;0.4;1.0;0.0;1.0;0.04;1.0;0.04;1.0;1.0;1.0
10;0.4;1.0;0.7;0.65;0.04;1.0;0.04;1.0;0.4;0.4
11;0.7;0.5;0.1;0.7;0.25;0.8;0.2;1.0;0.8;0.8
12;0.1;0.7;0.3;0.7;1.0;0.8;0.8;1.0;0.4;0.4
13;0.3;0.4;0.2;0.6;1.0;0.4;0.4;1.0;0.6;0.6
14;0.0;0.2;0.0;0.6;1.0;1.0;1.0;1.0;1.0;1.0
15;0.3;1.0;0.4;0.8;0.25;0.8;0.2;1.0;0.2;0.2
16;0.8;0.9;0.3;0.8;0.36;1.0;0.36;1.0;0.4;0.4
17;0.8;0.7;0.3;0.7;1.0;0.6;0.6;1.0;0.4;0.4
18;0.5;0.4;0.3;0.55;0.0;0.8;0.0;0.25;0.8;0.2
19;0.3;0.7;0.2;0.75;1.0;0.4;0.4;1.0;0.6;0.6
20;0.9;0.8;0.3;0.75;1.0;0.8;0.8;1.0;0.4;0.4
21;0.7;0.9;0.1;0.9;0.25;0.8;0.2;1.0;0.8;0.8
22;0.3;0.8;0.4;0.7;0.25;0.8;0.2;0.11;0.6;0.07
23;0.2;1.0;0.1;0.95;0.36;1.0;0.36;1.0;0.8;0.8
24;0.5;0.4;0.0;0.7;0.0;0.4;0.0;1.0;1.0;1.0
25;0.3;0.1;0.1;0.5;0.25;0.8;0.2;1.0;0.8;0.8
