criterion_id;Fact;Support;Opposition
0;Does the Constitution prohibit discrimination based on sexual orientation?;Should the Constitution prohibit discrimination based on sexual orientation?;Should the Constitution permit discrimination based on sexual orientation?
1;Is sexual orientation explicitly included in employment anti-discrimination legislation?;Should sexual orientation be explicitly included in employment anti-discrimination legislation?;Should sexual orientation be excluded from employment anti-discrimination legislation?
2;Is sexual orientation explicitly included in goods and services anti-discrimination legislation?;Should sexual orientation be explicitly included in goods and services anti-discrimination legislation?;Should sexual orientation be exluded in goods and services anti-discrimination legislation?
3;Is discrimination based on sexual orientation in the field of education prohibited by legislation?;Should discrimination based on sexual orientation in the field of education be prohibited by legislation?;Should discrimination based on sexual orientation in the field of education be permitted by legislation?
4;Is discrimination based on sexual orientation in the field of health prohibited by legislation?;Should discrimination based on sexual orientation in the field of health be prohibited by legislation?;Should discrimination based on sexual orientation in the field of health be permitted by legislation?
5;Are there any legislation or policies that prohibit conversion or reparative practices aimed at changing a minor’s sexual orientation?;Should conversion or reparative practices aimed at changing a minor’s sexual orientation be prohibited by legislation or policies?;Should conversion or reparative practices aimed at changing a minor’s sexual orientation be permitted by legislation or policies?
6;Is there a national human rights institution or equality body explicitly mandated to address and systematically work on issues related to sexual orientation?;Should a national human rights institution or equality body be explicitly mandated to address and systematically work on issues related to sexual orientation?;Should a national human rights institution or equality body not be mandated to address issues related to sexual orientation?
7;Is there an equality action plan that explicitly includes sexual orientation and specific measures for progress?;Should there be an equality action plan that explicitly includes sexual orientation and specific measures for progress?;Should sexual orientation be excluded from equality action plans?
8;Does the Constitution prohibit discrimination based on gender identity?;Should the Constitution prohibit discrimination based on gender identity?;Should the Constitution permit discrimination based on geneder identity?
9;Is gender identity explicitly included in employment anti-discrimination legislation?;Should gender identity be explicitly included in employment anti-discrimination legislation?;Should gender identity be exluded in employment anti-discrimination legislation?
10;Is gender identity explicitly included in goods and services anti-discrimination legislation?;Should gender identity be explicitly included in goods and services anti-discrimination legislation?;Should gender identity be excluded from goods and services anti-discrimination legislation?
11;Is discrimination based on gender identity in the field of education prohibited by legislation?;Should discrimination based on gender identity in the field of education be prohibited by legislation?;Should discrimination based on gender identity in the field of education be permitted by legislation?
12;Is discrimination based on gender identity in the field of health prohibited by legislation?;Should discrimination based on gender identity in the field of health be prohibited by legislation?;Should discrimination based on gender identity in the field of health be permitted by legislation?
13;Are there any legislation or policies that prohibit conversion or reparative practices aimed at changing a minor’s gender identity?;Should conversion or reparative practices aimed at changing a minor’s gender identity be prohibited by legislation or policies?;Should conversion or reparative practices aimed at changing a minor’s gender identity be permitted by legislation or policies?
14;Is there a national human rights institution or equality body explicitly mandated to address and systematically work on issues related to gender identity? (I think you just need one);Should a national human rights institution or equality body be explicitly mandated to address issues related to gender identity?;Should a national human rights institution or equality body not be mandated to address issues related to gender identity?
15;Is there an equality action plan that explicitly includes gender identity and specific measures for progress?;Should there be an equality action plan that explicitly includes gender identity and specific measures for progress?;Should gender identity be excluded from equality action plans?
16;Is gender expression explicitly included in anti-discrimination legislation?;Should gender expression explicitly be included in anti-discrimination legislation?;Should gender expression be excluded from anti-discrimination legislation?
17;Does the Constitution prohibit discrimination based on sex characteristics?;Should the Constitution prohibit discrimination based on sex characteristics?;Should the Constitution permit discrimination based on sex characteristics?
18;Are sex characteristics explicitly included in employment anti-discrimination legislation?;Should sex characteristics be explicitly included in employment anti-discrimination legislation?;Should sex characteristics be excluded from employment anti-discrimination legislation?
19;Are sex characteristics explicitly included in goods and services anti-discrimination legislation?;Should sex characteristics be explicitly included in goods and services anti-discrimination legislation?;Should sex characteristics be excluded from goods and services anti-discrimination legislation?
20;Is discrimination based on sex characteristics in the field of education prohibited by legislation?;Should discrimination based on sex characteristics in the field of education be prohibited by legislation?;Should discrimination based on sex characteristics in the field of education be permitted by legislation?
21;Is discrimination based on sex characteristics in the field of health prohibited by legislation?;Should discrimination based on sex characteristics in the field of health be prohibited by legislation?;Should discrimination based on sex characteristics in the field of health be permitted by legislation?
22;Is there a national human rights institution or equality body explicitly mandated to address and systematically work on issues related to sex characteristics?;Should national human rights institutions or equality bodies be explicitly mandated to address issues related to sex characteristics?;Should national human rights institutions or equality bodies not be mandated to address issues related to sex characteristics?
23;Is there an equality action plan that explicitly includes sex characteristics and specific measures for progress?;Should there be an equality action plan that explicitly includes gender identity and specific measures for progress?;Should sex characteristics be excluded from equality action plans?
24;Is donating blood or any kind of bodily tissues for LGBTI people based on their sexual orientation or gender identity free from legislative or administrative ban? ;Should donating blood or any kind of bodily tissues for LGBTI people based on their sexual orientation or gender identity free from legislative or administrative ban? ;Should donating blood or any kind of bodily tissues for LGBTI people based on their sexual orientation or gender identity be subjected to legislative or administrative ban? 
25;Are same-sex couples be allowed to marry with the same level of rights as married different-sex couples?;Should same-sex couples be allowed to marry with the same level of rights as married different-sex couples?;Should same-sex couples not be allowed to marry with the same level of rights as married different-sex couples?
26;Are same-sex couples allowed to enter a registered partnership/civil partnership and obtain the same level of rights as they would if they were married?;Should same-sex couples be allowed to enter a registered partnership/civil partnership and obtain the same level of rights as they would if they were married?;Should same-sex couples not be allowed to enter a registered partnership/civil partnership and obtain the same level of rights as they would if they were married?
27;Are same-sex couples allowed to enter a registered partnership/civil partnership?;Should same-sex couples be allowed to enter a registered partnership/civil partnership?;Should same-sex couples not be allowed to enter a registered partnership/civil partnership?
28;Are same-sex couples included in legislation or legal measures on cohabitation?;Should same-sex couples be included in legislation or legal measures on cohabitation?;Should same-sex couples be excluded from legislation or legal measures on cohabitation?
29;Is there no constitutional definition of marriage as being only a union between a man and a woman?;Should there be no constitutional definition of marriage as being only a union between a man and a woman?;Should there be a constitutional definition of marriage as being only a union between a man and a woman?
30;Are same-sex couples allowed to legally apply for joint adoption?;Should same-sex couples be allowed to apply for joint adoption legally?;Should same-sex couples not be allowed to apply for joint adoption legally?
31;Are same-sex couples allowed to legally apply for second-parent adoption?;Should same-sex couples be allowed to apply for second-parent adoption?;Should same-sex couples not be allowed to apply for second-parent adoption?
32;Are children born to couples automatically legally recognised from birth as the children of both parents, regardless of the partners’ sexual orientation and/or gender identity?;Should children born to couples automatically be legally recognised from birth as the children of both parents, regardless of the partners’ sexual orientation and/or gender identity?;Should children born to couples not be automatically legally recognised from birth as the children of both parents, depending on the partners’ sexual orientation and/or gender identity?
33;Are couples (regardless of the partners’ sexual orientation and/or gender identity) facing no legal barriers to accessing fertility treatment?;Should couples (regardless of the partners’ sexual orientation and/or gender identity) face no legal barriers to accessing fertility treatment?;Should couples (regardless of the partners’ sexual orientation and/or gender identity) face legal barriers to accessing fertility treatment?
34;Is fertility treatment for individuals legally possible regardless of the individuals' sexual orientation and/or gender identity?;Should fertility treatment for individuals be legally possible regardless of the individuals' sexual orientation and/or gender identity?;Should fertility treatment for individuals be legally possible based on the individuals' sexual orientation and/or gender identity?
35;Is a trans parent’s legal gender identity fully recognized and correctly reflected in the child’s documentation of kinship, and are regulations on parenthood aligned with all available gender options (when more than two gender markers exist) according to the parent’s recognized gender identity?;Should a trans parent’s legal gender identity be fully recognized and reflected in the child’s documentation of kinship, and should regulations on parenthood align with all available gender options (when more than two gender markers exist) according to the parent’s recognized gender identity?;Should trans parents have their legal gender identity not recognized and correctly reflected in the documentation of kinship according to the parent’s recognised gender identity?
36;Is sexual orientation explicitly included in hate crime legislation as an aggravating factor?;Should sexual orientation be explicitly included in hate crime legislation as an aggravating factor?;Should sexual orientation be excluded from hate crime legislation as an aggravating factor?
37;Is sexual orientation explicitly included in hate speech legislation as an aggravating factor?;Should sexual orientation be explicitly included in hate speech legislation as an aggravating factor?;Should sexual orientation be excluded from hate speech legislation as an aggravating factor?
38;Is sexual orientation explicitly included in a national strategy tackling hate crimes and hate speech, as part of a recurrent framework by state actors?;Should sexual orientation be explicitly included in a national strategy tackling hate crimes and hate speech, as part of a recurrent framework by state actors?;Should sexual orientation be excluded from a national strategy tackling hate crimes and hate speech?
39;Is gender identity explicitly included in hate crime legislation as an aggravating factor?;Should gender identity be explicitly included in hate crime legislation as an aggravating factor?;Should gender identity be excluded from hate crime legislation as an aggravating factor?
40;Is gender identity explicitly included in hate speech legislation as an aggravating factor?;Should gender identity be explicitly included in hate speech legislation as an aggravating factor?;Should gender identity be excluded from hate speech legislation as an aggravating factor?
41;Is gender identity included in a national strategy tackling hate crimes and hate speech, as part of an ongoing, systematic, and officially organized set of measures by the state?;Should gender identity be explicitly included in a national strategy tackling hate crimes and hate speech, as part of a recurrent framework by state actors?;Should gender identity be excluded from a national strategy tackling hate crimes and hate speech?
42;Are the (perceived) sex characteristics or intersex status explicitly included in hate crime legislation as an aggravating factor?;Should the (perceived) sex characteristics or intersex status be explicitly included in hate crime legislation as an aggravating factor?;Should the (perceived) sex characteristics or intersex status be excluded from hate crime legislation as an aggravating factor?
43;Are sex characteristics or intersex status explicitly included in hate speech legislation as an aggravating factor?;Should sex characteristics or intersex status be explicitly included in hate speech legislation as an aggravating factor?;Should sex characteristics or intersex status be excluded from hate speech legislation as an aggravating factor?
44;Are sex characteristics or intersex status included in a national strategy tackling hate crimes and hate speech, as part of an ongoing, systematic, and officially organized set of measures by the state?;Should sex characteristics or intersex status be included in a national strategy tackling hate crimes and hate speech, as part of a recurrent framework by state actors?;Should sex characteristics or intersex status be excluded from a national strategy tackling hate crimes and hate speech, as part of a recurrent framework by state actors?
