criterion_id;Fact;Support;Opposition
0;Забранява ли конституцията на България дискриминацията въз основа на сексуална ориентация?;Трябва ли в България конституцията да забранява дискриминацията въз основа на сексуална ориентация?;Трябва ли конституцията в България да разрешава дискриминация въз основа на сексуална ориентация?
1;В България изрично ли е включена сексуалната ориентация в законодателството за борба с дискриминацията в областта на заетостта?;Трябва ли в България сексуалната ориентация да бъде изрично включена в антидискриминационното законодателство в областта на заетостта?;Трябва ли в България сексуалната ориентация да бъде изключена от антидискриминационното законодателство в областта на заетостта?
2;В България изрично ли е включена сексуалната ориентация в законодателството за борба с дискриминацията по отношение на стоките и услугите?;Трябва ли в България сексуалната ориентация да бъде изрично включена в антидискриминационното законодателство за стоките и услугите?;Трябва ли в България сексуалната ориентация да бъде изключена от антидискриминационното законодателство по отношение на стоките и услугите?
3;В България забранена ли е със закон дискриминацията, основана на сексуална ориентация, в областта на образованието?;Трябва ли в България дискриминацията, основана на сексуална ориентация, в областта на образованието да бъде забранена със закон?;Трябва ли в България законодателството да разрешава дискриминация, основана на сексуална ориентация, в областта на образованието?
4;Забранена ли е от законодателството в България дискриминацията, основана на сексуална ориентация, в областта на здравеопазването?;Трябва ли в България дискриминацията, основана на сексуална ориентация в областта на здравеопазването, да бъде забранена със закон?;Трябва ли в България законодателството да разрешава дискриминация, основана на сексуална ориентация, в областта на здравеопазването?
5;В България има ли законодателство или политики, които забраняват конверсията или репаративните практики, насочени към промяна на сексуалната ориентация на непълнолетни?;Трябва ли в България конверсията или репаративните практики, насочени към промяна на сексуалната ориентация на непълнолетни, да бъдат забранени от законодателството или политиките?;Трябва ли в България законодателството или политиките да разрешават конверсия или репаративни практики, насочени към промяна на сексуалната ориентация на непълнолетни?
6;В България има ли национална институция за правата на човека или орган по въпросите на равенството, който да е изрично упълномощен да разглежда и систематично да работи по въпроси, свързани със сексуалната ориентация?;Трябва ли в България национална институция по правата на човека или орган по равнопоставеността да бъдат изрично упълномощени да разглеждат и систематично да работят по въпроси, свързани със сексуалната ориентация?;В България не трябва ли да се дава мандат на национална институция по правата на човека или на орган по равнопоставеността да разглежда въпроси, свързани със сексуалната ориентация?
7;В България има ли план за действие по въпросите на равенството, който изрично да включва сексуалната ориентация и конкретни мерки за постигане на напредък?;Трябва ли в България да има план за действие по въпросите на равенството, който изрично да включва сексуалната ориентация и конкретни мерки за постигане на напредък?;Трябва ли в България сексуалната ориентация да бъде изключена от плановете за действие за равенство?
8;Забранява ли конституцията на България дискриминацията, основана на полова идентичност?;Трябва ли в България конституцията да забрани дискриминацията, основана на полова идентичност?;Трябва ли в България конституцията да разрешава дискриминация, основана на половата идентичност?
9;В България изрично ли е включена половата идентичност в антидискриминационното законодателство в областта на заетостта?;Трябва ли в България половата идентичност да бъде изрично включена в антидискриминационното законодателство в областта на заетостта?;Трябва ли в България половата идентичност да бъде изключена от антидискриминационното законодателство в областта на заетостта?
10;В България изрично ли е включена половата идентичност в антидискриминационното законодателство за стоки и услуги?;Трябва ли в България половата идентичност да бъде изрично включена в законодателството за борба с дискриминацията по отношение на стоките и услугите?;Трябва ли в България половата идентичност да бъде изключена от антидискриминационното законодателство по отношение на стоките и услугите?
11;В България забранена ли е със закон дискриминацията, основана на полова идентичност, в областта на образованието?;Трябва ли в България дискриминацията, основана на полова идентичност, в областта на образованието да бъде забранена със закон?;Трябва ли в България законодателството да разрешава дискриминация, основана на полова идентичност, в областта на образованието?
12;В България забранена ли е със закон дискриминацията, основана на полова идентичност, в областта на здравеопазването?;Трябва ли в България дискриминацията, основана на полова идентичност, в областта на здравеопазването да бъде забранена със закон?;Трябва ли в България законодателството да разрешава дискриминация, основана на полова идентичност, в областта на здравеопазването?
13;В България има ли законодателство или политики, които забраняват конверсията или репаративните практики, насочени към промяна на половата идентичност на непълнолетни лица?;Трябва ли в България конверсията или репаративните практики, целящи промяна на половата идентичност на непълнолетни, да бъдат забранени със законодателство или политики?;Трябва ли в България законодателството или политиките да разрешават конверсия или репаративни практики, насочени към промяна на половата идентичност на непълнолетни лица?
