criterion_id;Fact;Support;Opposition
0;In Poland, does the constitution prohibit discrimination based on sexual orientation?;In Poland, should the constitution prohibit discrimination based on sexual orientation?;In Poland, should the constitution permit discrimination based on sexual orientation?
1;In Poland, is sexual orientation explicitly included in employment anti-discrimination legislation?;In Poland, should sexual orientation be explicitly included in employment anti-discrimination legislation?;In Poland, should sexual orientation be excluded from employment anti-discrimination legislation?
2;In Poland, is sexual orientation explicitly included in goods and services anti-discrimination legislation?;In Poland, should sexual orientation be explicitly included in goods and services anti-discrimination legislation?;In Poland, should sexual orientation be exluded in goods and services anti-discrimination legislation?
3;In Poland, is discrimination based on sexual orientation in the field of education prohibited by legislation?;In Poland, should discrimination based on sexual orientation in the field of education be prohibited by legislation?;In Poland, should discrimination based on sexual orientation in the field of education be permitted by legislation?
4;In Poland, is discrimination based on sexual orientation in the field of health prohibited by legislation?;In Poland, should discrimination based on sexual orientation in the field of health be prohibited by legislation?;In Poland, should discrimination based on sexual orientation in the field of health be permitted by legislation?
5;In Poland, are there any legislation or policies that prohibit conversion or reparative practices aimed at changing a minor’s sexual orientation?;In Poland, should conversion or reparative practices aimed at changing a minor’s sexual orientation be prohibited by legislation or policies?;In Poland, should conversion or reparative practices aimed at changing a minor’s sexual orientation be permitted by legislation or policies?
6;In Poland, is there a national human rights institution or equality body explicitly mandated to address and systematically work on issues related to sexual orientation?;In Poland, should a national human rights institution or equality body be explicitly mandated to address and systematically work on issues related to sexual orientation?;In Poland, should a national human rights institution or equality body not be mandated to address issues related to sexual orientation?
7;In Poland, is there an equality action plan that explicitly includes sexual orientation and specific measures for progress?;In Poland, should there be an equality action plan that explicitly includes sexual orientation and specific measures for progress?;In Poland, should sexual orientation be excluded from equality action plans?
8;In Poland, does the constitution prohibit discrimination based on gender identity?;In Poland, should the constitution prohibit discrimination based on gender identity?;In Poland, should the constitution permit discrimination based on geneder identity?
9;In Poland, is gender identity explicitly included in employment anti-discrimination legislation?;In Poland, should gender identity be explicitly included in employment anti-discrimination legislation?;In Poland, should gender identity be exluded in employment anti-discrimination legislation?
10;In Poland, is gender identity explicitly included in goods and services anti-discrimination legislation?;In Poland, should gender identity be explicitly included in goods and services anti-discrimination legislation?;In Poland, should gender identity be excluded from goods and services anti-discrimination legislation?
11;In Poland, is discrimination based on gender identity in the field of education prohibited by legislation?;In Poland, should discrimination based on gender identity in the field of education be prohibited by legislation?;In Poland, should discrimination based on gender identity in the field of education be permitted by legislation?
12;In Poland, is discrimination based on gender identity in the field of health prohibited by legislation?;In Poland, should discrimination based on gender identity in the field of health be prohibited by legislation?;In Poland, should discrimination based on gender identity in the field of health be permitted by legislation?
13;In Poland, are there any legislation or policies that prohibit conversion or reparative practices aimed at changing a minor’s gender identity?;In Poland, should conversion or reparative practices aimed at changing a minor’s gender identity be prohibited by legislation or policies?;In Poland, should conversion or reparative practices aimed at changing a minor’s gender identity be permitted by legislation or policies?
14;In Poland, is there a national human rights institution or equality body explicitly mandated to address and systematically work on issues related to gender identity? (i think you just need one);In Poland, should a national human rights institution or equality body be explicitly mandated to address issues related to gender identity?;In Poland, should a national human rights institution or equality body not be mandated to address issues related to gender identity?
15;In Poland, is there an equality action plan that explicitly includes gender identity and specific measures for progress?;In Poland, should there be an equality action plan that explicitly includes gender identity and specific measures for progress?;In Poland, should gender identity be excluded from equality action plans?
16;In Poland, is gender expression explicitly included in anti-discrimination legislation?;In Poland, should gender expression explicitly be included in anti-discrimination legislation?;In Poland, should gender expression be excluded from anti-discrimination legislation?
17;In Poland, does the constitution prohibit discrimination based on sex characteristics?;In Poland, should the constitution prohibit discrimination based on sex characteristics?;In Poland, should the constitution permit discrimination based on sex characteristics?
18;In Poland, are sex characteristics explicitly included in employment anti-discrimination legislation?;In Poland, should sex characteristics be explicitly included in employment anti-discrimination legislation?;In Poland, should sex characteristics be excluded from employment anti-discrimination legislation?
19;In Poland, are sex characteristics explicitly included in goods and services anti-discrimination legislation?;In Poland, should sex characteristics be explicitly included in goods and services anti-discrimination legislation?;In Poland, should sex characteristics be excluded from goods and services anti-discrimination legislation?
20;In Poland, is discrimination based on sex characteristics in the field of education prohibited by legislation?;In Poland, should discrimination based on sex characteristics in the field of education be prohibited by legislation?;In Poland, should discrimination based on sex characteristics in the field of education be permitted by legislation?
21;In Poland, is discrimination based on sex characteristics in the field of health prohibited by legislation?;In Poland, should discrimination based on sex characteristics in the field of health be prohibited by legislation?;In Poland, should discrimination based on sex characteristics in the field of health be permitted by legislation?
22;In Poland, is there a national human rights institution or equality body explicitly mandated to address and systematically work on issues related to sex characteristics?;In Poland, should national human rights institutions or equality bodies be explicitly mandated to address issues related to sex characteristics?;In Poland, should national human rights institutions or equality bodies not be mandated to address issues related to sex characteristics?
23;In Poland, is there an equality action plan that explicitly includes sex characteristics and specific measures for progress?;In Poland, should there be an equality action plan that explicitly includes gender identity and specific measures for progress?;In Poland, should sex characteristics be excluded from equality action plans?
24;In Poland, is donating blood or any kind of bodily tissues for lgbti people based on their sexual orientation or gender identity free from legislative or administrative ban? ;In Poland, should donating blood or any kind of bodily tissues for lgbti people based on their sexual orientation or gender identity free from legislative or administrative ban? ;In Poland, should donating blood or any kind of bodily tissues for lgbti people based on their sexual orientation or gender identity be subjected to legislative or administrative ban? 
25;In Poland, are same-sex couples be allowed to marry with the same level of rights as married different-sex couples?;In Poland, should same-sex couples be allowed to marry with the same level of rights as married different-sex couples?;In Poland, should same-sex couples not be allowed to marry with the same level of rights as married different-sex couples?
26;In Poland, are same-sex couples allowed to enter a registered partnership/civil partnership and obtain the same level of rights as they would if they were married?;In Poland, should same-sex couples be allowed to enter a registered partnership/civil partnership and obtain the same level of rights as they would if they were married?;In Poland, should same-sex couples not be allowed to enter a registered partnership/civil partnership and obtain the same level of rights as they would if they were married?
27;In Poland, are same-sex couples allowed to enter a registered partnership/civil partnership?;In Poland, should same-sex couples be allowed to enter a registered partnership/civil partnership?;In Poland, should same-sex couples not be allowed to enter a registered partnership/civil partnership?
28;In Poland, are same-sex couples included in legislation or legal measures on cohabitation?;In Poland, should same-sex couples be included in legislation or legal measures on cohabitation?;In Poland, should same-sex couples be excluded from legislation or legal measures on cohabitation?
29;In Poland, is there no constitutional definition of marriage as being only a union between a man and a woman?;In Poland, should there be no constitutional definition of marriage as being only a union between a man and a woman?;In Poland, should there be a constitutional definition of marriage as being only a union between a man and a woman?
30;In Poland, are same-sex couples allowed to legally apply for joint adoption?;In Poland, should same-sex couples be allowed to apply for joint adoption legally?;In Poland, should same-sex couples not be allowed to apply for joint adoption legally?
31;In Poland, are same-sex couples allowed to legally apply for second-parent adoption?;In Poland, should same-sex couples be allowed to apply for second-parent adoption?;In Poland, should same-sex couples not be allowed to apply for second-parent adoption?
32;In Poland, are children born to couples automatically legally recognised from birth as the children of both parents, regardless of the partners’ sexual orientation and/or gender identity?;In Poland, should children born to couples automatically be legally recognised from birth as the children of both parents, regardless of the partners’ sexual orientation and/or gender identity?;In Poland, should children born to couples not be automatically legally recognised from birth as the children of both parents, depending on the partners’ sexual orientation and/or gender identity?
33;In Poland, are couples (regardless of the partners’ sexual orientation and/or gender identity) facing no legal barriers to accessing fertility treatment?;In Poland, should couples (regardless of the partners’ sexual orientation and/or gender identity) face no legal barriers to accessing fertility treatment?;In Poland, should couples (regardless of the partners’ sexual orientation and/or gender identity) face legal barriers to accessing fertility treatment?
34;In Poland, is fertility treatment for individuals legally possible regardless of the individuals' sexual orientation and/or gender identity?;In Poland, should fertility treatment for individuals be legally possible regardless of the individuals' sexual orientation and/or gender identity?;In Poland, should fertility treatment for individuals be legally possible based on the individuals' sexual orientation and/or gender identity?
