criterion_id;Fact;Support;Opposition;Stance;Fact Coherence;Fact Validity;Fact Weight coherence by validity;Stance Coherence;Stance Validity;Stance Weight coherence by validity
0;0.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
1;1.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
2;1.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
3;1.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
4;1.0;0.6;0.3;0.65;1.0;1.0;1.0;1.0;0.4;0.4
5;0.8;0.5;0.5;0.5;0.36;1.0;0.36;;0.0;0.0
6;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
7;1.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
8;0.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
9;1.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
10;0.4;0.5;0.5;0.5;0.04;1.0;0.04;;0.0;0.0
11;1.0;0.5;0.4;0.55;1.0;1.0;1.0;1.0;0.2;0.2
12;1.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
13;0.6;0.5;0.5;0.5;0.04;1.0;0.04;;0.0;0.0
14;1.0;0.9;0.4;0.75;1.0;1.0;1.0;1.0;0.2;0.2
15;1.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
16;1.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
17;0.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
18;1.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
19;1.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
20;1.0;1.0;0.2;0.9;1.0;1.0;1.0;1.0;0.6;0.6
21;1.0;1.0;0.3;0.85;1.0;1.0;1.0;1.0;0.4;0.4
22;0.4;1.0;0.6;0.7;0.04;1.0;0.04;0.04;1.0;0.04
23;1.0;0.5;0.4;0.55;1.0;1.0;1.0;1.0;0.2;0.2
24;0.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
