Category;Subcategory;Fact;Support;Opposition
Equality & non-discrimination;Constitution (sexual orientation);La constitució prohibeix la discriminació per orientació sexual?;Hauria la constitució de prohibir la discriminació per orientació sexual?;Hauria de permetre la constitució la discriminació per orientació sexual?
Equality & non-discrimination;Employment (sexual orientation);Està inclosa explícitament l'orientació sexual en la legislació contra la discriminació laboral?;S'hauria d'incloure explícitament l'orientació sexual en la legislació laboral antidiscriminatòria?;S'hauria d'excloure l'orientació sexual de la legislació laboral antidiscriminatòria?
Equality & non-discrimination;Goods & services (sexual orientation);Està inclosa explícitament l'orientació sexual en la legislació antidiscriminatòria sobre béns i serveis?;S'hauria d'incloure explícitament l'orientació sexual en la legislació antidiscriminatòria sobre béns i serveis?;S'hauria d'excloure l'orientació sexual de la legislació antidiscriminatòria en béns i serveis?
Equality & non-discrimination;Education (sexual orientation);La legislació prohibeix la discriminació per orientació sexual en l'àmbit de l'educació?;Hauria d'estar prohibida per llei la discriminació per orientació sexual en l'àmbit de l'educació?;Hauria de permetre la legislació la discriminació per orientació sexual en l'àmbit de l'educació?
Equality & non-discrimination;Health (sexual orientation);La legislació prohibeix la discriminació per orientació sexual en l'àmbit de la salut?;Hauria d'estar prohibida per llei la discriminació per orientació sexual en l'àmbit de la salut?;Hauria de permetre's per llei la discriminació per orientació sexual en l'àmbit de la salut?
Equality & non-discrimination;Conversion practices ban (sexual orientation);Hi ha alguna legislació o política que prohibeixi les pràctiques de conversió o reparatives destinades a canviar l'orientació sexual d'un menor?;Haurien de ser prohibides per la legislació o les polítiques les pràctiques de conversió o reparatives destinades a canviar l'orientació sexual d'un menor?;Haurien de permetre's per llei o per polítiques les pràctiques de conversió o reparatives destinades a canviar l'orientació sexual d'un menor?
Equality & non-discrimination;Equality body mandate (sexual orientation);Hi ha una institució nacional de drets humans o un organisme d'igualtat amb un mandat explícit per abordar i treballar de manera sistemàtica les qüestions relacionades amb l'orientació sexual?;S'hauria de donar mandat explícit a una institució nacional de drets humans o a un organisme d'igualtat perquè abordi i treballi de manera sistemàtica les qüestions relacionades amb l'orientació sexual?;No s'hauria de donar mandat a una institució nacional de drets humans o a un organisme d'igualtat per tractar qüestions relacionades amb l'orientació sexual?
Equality & non-discrimination;Equality action plan (sexual orientation);Hi ha un pla d'acció per a la igualtat que inclogui explícitament l'orientació sexual i mesures específiques per al progrés?;Hauria d'existir un pla d'acció per a la igualtat que inclogui explícitament l'orientació sexual i mesures específiques per al progrés?;S'hauria d'excloure l'orientació sexual dels plans d'acció per a la igualtat?
Equality & non-discrimination;Constitution (gender identity);La constitució prohibeix la discriminació per raó d'identitat de gènere?;Hauria d'incloure la constitució una prohibició de la discriminació per raó d'identitat de gènere?;Hauria de permetre la constitució la discriminació per raó d'identitat de gènere?
Equality & non-discrimination;Employment (gender identity);La identitat de gènere està explícitament inclosa en la legislació antidiscriminatòria laboral?;S'hauria d'incloure explícitament la identitat de gènere en la legislació laboral antidiscriminatòria?;S'hauria d'excloure la identitat de gènere de la legislació antidiscriminatòria laboral?
Equality & non-discrimination;Goods & services (gender identity);Està inclosa explícitament la identitat de gènere en la legislació antidiscriminatòria sobre béns i serveis?;S'hauria d'incloure explícitament la identitat de gènere en la legislació antidiscriminatòria sobre béns i serveis?;S'hauria d'excloure la identitat de gènere de la legislació antidiscriminatòria en matèria de béns i serveis?
