criterion_id;Fact;Support;Opposition;Stance;Fact Coherence;Fact Validity;Fact Weight coherence by validity;Stance Coherence;Stance Validity;Stance Weight coherence by validity
0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
1;1.0;1.0;0.8;0.6;1.0;1.0;1.0;0.36;1.0;0.36
2;1.0;1.0;0.6;0.7;1.0;1.0;1.0;0.04;1.0;0.04
3;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
4;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
5;0.4;0.2;0.0;0.6;0.04;1.0;0.04;1.0;1.0;1.0
6;1.0;1.0;0.6;0.7;1.0;1.0;1.0;0.04;1.0;0.04
7;1.0;1.0;0.4;0.8;1.0;1.0;1.0;0.04;1.0;0.04
8;0.2;1.0;0.0;1.0;0.36;1.0;0.36;1.0;1.0;1.0
9;1.0;1.0;0.6;0.7;1.0;1.0;1.0;0.04;1.0;0.04
10;0.6;1.0;0.8;0.6;0.04;1.0;0.04;0.36;1.0;0.36
11;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
12;1.0;1.0;0.2;0.9;1.0;1.0;1.0;0.36;1.0;0.36
13;0.6;0.4;0.0;0.7;0.04;1.0;0.04;1.0;1.0;1.0
14;0.6;0.8;0.6;0.6;0.04;1.0;0.04;0.04;1.0;0.04
15;0.6;1.0;0.4;0.8;0.04;1.0;0.04;0.04;1.0;0.04
16;0.8;1.0;0.6;0.7;0.36;1.0;0.36;0.04;1.0;0.04
17;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
18;1.0;1.0;0.6;0.7;1.0;1.0;1.0;0.04;1.0;0.04
19;0.4;1.0;1.0;0.5;0.04;1.0;0.04;1.0;1.0;1.0
20;1.0;1.0;0.2;0.9;1.0;1.0;1.0;0.36;1.0;0.36
21;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
22;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
23;1.0;1.0;0.4;0.8;1.0;1.0;1.0;0.04;1.0;0.04
24;0.8;1.0;0.2;0.9;0.36;1.0;0.36;0.36;1.0;0.36
25;1.0;1.0;0.2;0.9;1.0;1.0;1.0;0.36;1.0;0.36
26;0.8;1.0;0.6;0.7;0.36;1.0;0.36;0.04;1.0;0.04
27;1.0;1.0;0.6;0.7;1.0;1.0;1.0;0.04;1.0;0.04
28;0.8;0.4;0.2;0.6;0.36;1.0;0.36;0.36;1.0;0.36
29;0.2;0.4;0.0;0.7;0.36;1.0;0.36;1.0;1.0;1.0
30;1.0;1.0;0.2;0.9;1.0;1.0;1.0;0.36;1.0;0.36
31;1.0;0.8;0.8;0.5;1.0;1.0;1.0;0.36;1.0;0.36
32;1.0;0.8;0.4;0.7;1.0;1.0;1.0;0.04;1.0;0.04
33;0.8;0.8;0.2;0.8;0.36;1.0;0.36;0.36;1.0;0.36
34;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
35;0.0;1.0;0.6;0.7;1.0;1.0;1.0;0.04;1.0;0.04
36;0.4;0.4;0.4;0.5;0.04;1.0;0.04;0.04;1.0;0.04
37;0.8;0.8;0.8;0.5;0.36;1.0;0.36;0.36;1.0;0.36
38;0.6;0.6;0.6;0.5;0.04;1.0;0.04;0.04;1.0;0.04
39;0.8;0.8;0.4;0.7;0.36;1.0;0.36;0.04;1.0;0.04
40;0.6;1.0;0.8;0.6;0.04;1.0;0.04;0.36;1.0;0.36
41;0.4;1.0;0.4;0.8;0.04;1.0;0.04;0.04;1.0;0.04
42;0.4;0.8;0.6;0.6;0.04;1.0;0.04;0.04;1.0;0.04
43;0.8;0.4;0.2;0.6;0.36;1.0;0.36;0.36;1.0;0.36
44;0.4;0.6;0.8;0.4;0.04;1.0;0.04;0.36;1.0;0.36
45;1.0;0.6;0.4;0.6;1.0;1.0;1.0;0.04;1.0;0.04
46;0.8;1.0;0.8;0.6;0.36;1.0;0.36;0.36;1.0;0.36
47;0.8;0.6;1.0;0.3;0.36;1.0;0.36;1.0;1.0;1.0
48;0.6;0.2;1.0;0.1;0.04;1.0;0.04;1.0;1.0;1.0
49;0.8;1.0;1.0;0.5;0.36;1.0;0.36;1.0;1.0;1.0
50;0.6;1.0;0.6;0.7;0.04;1.0;0.04;0.04;1.0;0.04
51;0.8;0.4;0.4;0.5;0.36;1.0;0.36;0.04;1.0;0.04
52;1.0;0.4;1.0;0.2;1.0;1.0;1.0;1.0;1.0;1.0
53;0.4;0.6;0.6;0.5;0.04;1.0;0.04;0.04;1.0;0.04
54;0.4;1.0;0.6;0.7;0.04;1.0;0.04;0.04;1.0;0.04
55;0.8;0.8;0.4;0.7;0.36;1.0;0.36;0.04;1.0;0.04
56;0.4;0.6;0.6;0.5;0.04;1.0;0.04;0.04;1.0;0.04
57;0.2;0.8;0.2;0.8;0.36;1.0;0.36;0.36;1.0;0.36
58;0.2;1.0;0.6;0.7;0.36;1.0;0.36;0.04;1.0;0.04
59;0.4;1.0;1.0;0.5;0.04;1.0;0.04;1.0;1.0;1.0
60;0.8;0.8;0.0;0.9;0.36;1.0;0.36;1.0;1.0;1.0
61;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
62;0.4;1.0;1.0;0.5;0.04;1.0;0.04;1.0;1.0;1.0
63;0.4;1.0;0.6;0.7;0.04;1.0;0.04;0.04;1.0;0.04
64;1.0;1.0;0.4;0.8;1.0;1.0;1.0;0.04;1.0;0.04
65;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
66;0.2;0.6;0.6;0.5;0.36;1.0;0.36;0.04;1.0;0.04
