criterion_id;Fact;Support;Opposition
0;Zakazuje ústava na Slovensku diskrimináciu na základe sexuálnej orientácie?;Mala by ústava na Slovensku zakázať diskrimináciu na základe sexuálnej orientácie?;Mala by ústava na Slovensku umožňovať diskrimináciu na základe sexuálnej orientácie?
1;Je na Slovensku sexuálna orientácia výslovne zahrnutá do antidiskriminačných právnych predpisov v oblasti zamestnanosti?;Mala by byť na Slovensku sexuálna orientácia výslovne zahrnutá do antidiskriminačných právnych predpisov v oblasti zamestnanosti?;Mala by byť na Slovensku sexuálna orientácia vylúčená z antidiskriminačnej legislatívy v zamestnaní?
2;Je na Slovensku sexuálna orientácia výslovne zahrnutá do antidiskriminačných právnych predpisov týkajúcich sa tovarov a služieb?;Mala by byť na Slovensku sexuálna orientácia výslovne zahrnutá do antidiskriminačnej legislatívy v oblasti tovarov a služieb?;Mala by byť na Slovensku sexuálna orientácia vylúčená z antidiskriminačnej legislatívy v oblasti tovarov a služieb?
3;Je na Slovensku legislatívne zakázaná diskriminácia na základe sexuálnej orientácie v oblasti vzdelávania?;Mala by byť na Slovensku legislatívne zakázaná diskriminácia na základe sexuálnej orientácie v oblasti vzdelávania?;Mala by byť na Slovensku legislatívne povolená diskriminácia na základe sexuálnej orientácie v oblasti vzdelávania?
4;Je na Slovensku legislatívne zakázaná diskriminácia na základe sexuálnej orientácie v oblasti zdravia?;Mala by byť na Slovensku legislatívne zakázaná diskriminácia na základe sexuálnej orientácie v oblasti zdravia?;Mala by byť na Slovensku legislatívne povolená diskriminácia na základe sexuálnej orientácie v oblasti zdravia?
5;Existujú na Slovensku právne predpisy alebo politiky, ktoré zakazujú konverziu alebo reparačné praktiky zamerané na zmenu sexuálnej orientácie neplnoletých osôb?;Mala by byť na Slovensku legislatívne alebo politicky zakázaná konverzia alebo reparačné praktiky zamerané na zmenu sexuálnej orientácie maloletých?;Mala by byť na Slovensku legislatívne alebo politicky povolená konverzia alebo reparačné praktiky zamerané na zmenu sexuálnej orientácie maloletých?
6;Existuje na Slovensku vnútroštátna inštitúcia pre ľudské práva alebo orgán pre rovnosť, ktorý by bol výslovne poverený riešiť a systematicky sa zaoberať otázkami súvisiacimi so sexuálnou orientáciou?;Mala by byť na Slovensku národná ľudskoprávna inštitúcia alebo orgán pre rovnosť výslovne poverený riešiť a systematicky sa zaoberať otázkami súvisiacimi so sexuálnou orientáciou?;Nemala by byť na Slovensku národná inštitúcia pre ľudské práva alebo orgán pre rovnosť poverená riešením otázok súvisiacich so sexuálnou orientáciou?
7;Existuje na Slovensku akčný plán pre rovnosť, ktorý výslovne zahŕňa sexuálnu orientáciu a konkrétne opatrenia na dosiahnutie pokroku?;Mal by na Slovensku existovať akčný plán rovnosti, ktorý by výslovne zahŕňal sexuálnu orientáciu a konkrétne opatrenia na dosiahnutie pokroku?;Mala by byť na Slovensku sexuálna orientácia vylúčená z akčných plánov pre rovnosť?
8;Zakazuje ústava na Slovensku diskrimináciu na základe rodovej identity?;Mala by ústava na Slovensku zakázať diskrimináciu na základe rodovej identity?;Mala by ústava na Slovensku umožňovať diskrimináciu na základe rodovej identity?
9;Je na Slovensku rodová identita výslovne zahrnutá do antidiskriminačných právnych predpisov v oblasti zamestnávania?;Mala by byť na Slovensku rodová identita výslovne zahrnutá do antidiskriminačných právnych predpisov v oblasti zamestnávania?;Mala by byť na Slovensku rodová identita vylúčená z antidiskriminačnej legislatívy v zamestnaní?
10;Je na Slovensku rodová identita výslovne zahrnutá do antidiskriminačných právnych predpisov týkajúcich sa tovarov a služieb?;Mala by byť na Slovensku rodová identita výslovne zahrnutá do antidiskriminačnej legislatívy v oblasti tovarov a služieb?;Mala by byť na Slovensku rodová identita vylúčená z antidiskriminačnej legislatívy v oblasti tovarov a služieb?
11;Je na Slovensku legislatívne zakázaná diskriminácia na základe rodovej identity v oblasti vzdelávania?;Mala by byť na Slovensku legislatívne zakázaná diskriminácia na základe rodovej identity v oblasti vzdelávania?;Mala by byť na Slovensku legislatívne povolená diskriminácia na základe rodovej identity v oblasti vzdelávania?
12;Je na Slovensku legislatívne zakázaná diskriminácia na základe rodovej identity v oblasti zdravia?;Mala by byť na Slovensku legislatívne zakázaná diskriminácia na základe rodovej identity v oblasti zdravia?;Mala by byť na Slovensku legislatívne povolená diskriminácia na základe rodovej identity v oblasti zdravotníctva?
13;Existujú na Slovensku právne predpisy alebo politiky, ktoré zakazujú konverziu alebo reparačné praktiky zamerané na zmenu rodovej identity maloletých?;Mala by byť na Slovensku legislatívne alebo politicky zakázaná konverzia alebo reparačné praktiky zamerané na zmenu rodovej identity maloletých?;Mala by byť na Slovensku legislatívne alebo politicky povolená konverzia alebo reparačné praktiky zamerané na zmenu rodovej identity maloletých?
