criterion_id;Fact;Support;Opposition;Stance;Fact Coherence;Fact Validity;Fact Weight coherence by validity;Stance Coherence;Stance Validity;Stance Weight coherence by validity
0;0.7;0.8;0.2;0.8;0.25;0.8;0.2;1.0;0.6;0.6
1;0.3;0.1;0.1;0.5;1.0;0.4;0.4;1.0;0.8;0.8
2;0.3;0.1;0.3;0.4;1.0;0.4;0.4;0.25;0.8;0.2
3;0.8;0.4;0.0;0.7;0.36;1.0;0.36;1.0;1.0;1.0
4;1.0;0.3;0.0;0.65;1.0;1.0;1.0;1.0;1.0;1.0
5;0.2;0.1;0.1;0.5;1.0;0.6;0.6;1.0;0.8;0.8
6;0.3;0.1;0.5;0.3;0.25;0.8;0.2;0.0;0.4;0.0
7;0.5;0.5;0.4;0.55;0.0;0.8;0.0;0.11;0.6;0.07
8;1.0;0.9;0.0;0.95;1.0;1.0;1.0;1.0;1.0;1.0
9;0.1;0.4;0.3;0.55;1.0;0.8;0.8;0.25;0.8;0.2
10;0.5;0.3;0.3;0.5;0.0;0.8;0.0;0.25;0.8;0.2
11;0.6;0.2;0.2;0.5;0.11;0.6;0.07;1.0;0.6;0.6
12;1.0;0.7;0.2;0.75;1.0;1.0;1.0;1.0;0.6;0.6
13;0.5;0.2;0.3;0.45;0.0;0.4;0.0;1.0;0.4;0.4
14;0.5;0.0;0.5;0.25;0.0;0.8;0.0;0.0;0.4;0.0
15;0.7;0.2;0.4;0.4;0.25;0.8;0.2;0.04;1.0;0.04
16;0.4;0.6;0.6;0.5;0.11;0.6;0.07;0.04;1.0;0.04
17;0.8;0.7;0.0;0.85;0.36;1.0;0.36;1.0;1.0;1.0
18;0.0;0.1;0.3;0.4;1.0;1.0;1.0;0.25;0.8;0.2
19;0.3;0.2;0.0;0.6;1.0;0.4;0.4;1.0;1.0;1.0
20;0.9;0.7;0.0;0.85;1.0;0.8;0.8;1.0;1.0;1.0
21;0.8;0.8;0.1;0.85;0.36;1.0;0.36;1.0;0.8;0.8
22;0.2;0.3;0.3;0.5;1.0;0.6;0.6;1.0;0.4;0.4
23;0.5;0.4;0.4;0.5;0.0;0.8;0.0;0.11;0.6;0.07
24;0.7;0.5;0.5;0.5;1.0;0.4;0.4;0.0;0.4;0.0
25;0.9;0.7;0.0;0.85;1.0;0.8;0.8;1.0;1.0;1.0
26;0.1;0.6;0.2;0.7;1.0;0.8;0.8;1.0;0.6;0.6
