criterion_id;Fact;Support;Opposition;Stance;Fact Coherence;Fact Validity;Fact Weight coherence by validity;Stance Coherence;Stance Validity;Stance Weight coherence by validity
0;0.2;1.0;1.0;0.5;0.36;1.0;0.36;1.0;1.0;1.0
1;0.6;0.6;0.4;0.6;0.04;1.0;0.04;0.04;1.0;0.04
2;0.8;0.6;0.6;0.5;0.36;1.0;0.36;0.04;1.0;0.04
3;1.0;0.6;0.2;0.7;1.0;1.0;1.0;0.36;1.0;0.36
4;0.2;1.0;0.2;0.9;0.36;1.0;0.36;0.36;1.0;0.36
5;0.2;0.2;0.4;0.4;0.36;1.0;0.36;0.04;1.0;0.04
6;0.6;0.4;0.6;0.4;0.04;1.0;0.04;0.04;1.0;0.04
7;0.4;0.4;0.4;0.5;0.04;1.0;0.04;0.04;1.0;0.04
8;0.6;1.0;0.6;0.7;0.04;1.0;0.04;0.04;1.0;0.04
9;0.2;1.0;0.4;0.8;0.36;1.0;0.36;0.04;1.0;0.04
10;0.6;0.8;0.8;0.5;0.04;1.0;0.04;0.36;1.0;0.36
11;0.6;1.0;0.2;0.9;0.04;1.0;0.04;0.36;1.0;0.36
12;0.8;0.8;0.4;0.7;0.36;1.0;0.36;0.04;1.0;0.04
13;0.6;0.8;0.4;0.7;0.04;1.0;0.04;0.04;1.0;0.04
14;1.0;0.4;0.8;0.3;1.0;1.0;1.0;0.36;1.0;0.36
15;0.6;0.6;0.0;0.8;0.04;1.0;0.04;1.0;1.0;1.0
16;1.0;0.4;0.6;0.4;1.0;1.0;1.0;0.04;1.0;0.04
17;0.6;1.0;0.8;0.6;0.04;1.0;0.04;0.36;1.0;0.36
18;0.8;0.2;0.4;0.4;0.36;1.0;0.36;0.04;1.0;0.04
19;0.4;0.0;0.8;0.1;0.04;1.0;0.04;0.36;1.0;0.36
20;0.6;0.8;0.4;0.7;0.04;1.0;0.04;0.04;1.0;0.04
21;1.0;0.8;0.4;0.7;1.0;1.0;1.0;0.04;1.0;0.04
22;0.4;1.0;0.4;0.8;0.04;1.0;0.04;0.04;1.0;0.04
23;0.6;0.4;0.2;0.6;0.04;1.0;0.04;0.36;1.0;0.36
24;0.4;0.4;0.4;0.5;0.04;1.0;0.04;0.04;1.0;0.04
25;0.4;0.2;0.2;0.5;0.04;1.0;0.04;0.36;1.0;0.36
26;0.8;0.8;0.4;0.7;0.36;1.0;0.36;0.04;1.0;0.04
27;0.6;0.4;0.4;0.5;0.04;1.0;0.04;0.04;1.0;0.04
28;0.4;0.2;0.2;0.5;0.04;1.0;0.04;0.36;1.0;0.36
29;0.4;0.4;0.6;0.4;0.04;1.0;0.04;0.04;1.0;0.04
30;0.4;0.2;0.2;0.5;0.04;1.0;0.04;0.36;1.0;0.36
31;0.2;0.2;0.0;0.6;0.36;1.0;0.36;1.0;1.0;1.0
32;0.6;0.6;0.8;0.4;0.04;1.0;0.04;0.36;1.0;0.36
33;0.8;0.6;0.8;0.4;0.36;1.0;0.36;0.36;1.0;0.36
34;0.8;0.4;0.6;0.4;0.36;1.0;0.36;0.04;1.0;0.04
35;0.6;0.4;0.6;0.4;0.04;1.0;0.04;0.04;1.0;0.04
36;0.2;0.2;0.2;0.5;0.36;1.0;0.36;0.36;1.0;0.36
37;0.8;0.4;0.2;0.6;0.36;1.0;0.36;0.36;1.0;0.36
38;0.2;0.6;0.2;0.7;0.36;1.0;0.36;0.36;1.0;0.36
39;0.4;0.0;0.6;0.2;0.04;1.0;0.04;0.04;1.0;0.04
40;0.6;0.6;0.2;0.7;0.04;1.0;0.04;0.36;1.0;0.36
41;0.4;0.6;0.4;0.6;0.04;1.0;0.04;0.04;1.0;0.04
42;0.4;0.2;0.6;0.3;0.04;1.0;0.04;0.04;1.0;0.04
43;0.8;0.4;0.2;0.6;0.36;1.0;0.36;0.36;1.0;0.36
44;0.6;0.6;0.6;0.5;0.04;1.0;0.04;0.04;1.0;0.04
45;0.2;0.2;0.0;0.6;0.36;1.0;0.36;1.0;1.0;1.0
46;0.4;0.2;0.2;0.5;0.04;1.0;0.04;0.36;1.0;0.36
47;0.8;0.2;0.2;0.5;0.36;1.0;0.36;0.36;1.0;0.36
48;0.0;0.4;0.6;0.4;1.0;1.0;1.0;0.04;1.0;0.04
49;0.4;0.2;0.6;0.3;0.04;1.0;0.04;0.04;1.0;0.04
50;0.4;0.4;0.8;0.3;0.04;1.0;0.04;0.36;1.0;0.36
