criterion_id;Fact;Support;Opposition;Stance;Fact Coherence;Fact Validity;Fact Weight coherence by validity;Stance Coherence;Stance Validity;Stance Weight coherence by validity
0;0.1;0.2;0.0;0.6;1.0;0.8;0.8;1.0;1.0;1.0
1;0.4;0.4;0.3;0.55;1.0;0.2;0.2;1.0;0.4;0.4
2;0.2;0.0;0.1;0.45;1.0;0.6;0.6;1.0;0.8;0.8
3;0.4;1.0;0.4;0.8;1.0;0.2;0.2;1.0;0.2;0.2
4;0.2;1.0;0.5;0.75;1.0;0.6;0.6;;0.0;0.0
5;0.4;0.1;0.1;0.5;1.0;0.2;0.2;1.0;0.8;0.8
6;0.4;0.2;0.1;0.55;0.11;0.6;0.07;1.0;0.8;0.8
7;0.2;0.4;0.0;0.7;1.0;0.6;0.6;1.0;1.0;1.0
8;0.0;0.3;0.0;0.65;1.0;1.0;1.0;1.0;1.0;1.0
9;0.1;0.3;0.2;0.55;1.0;0.8;0.8;1.0;0.6;0.6
10;0.2;0.4;0.1;0.65;1.0;0.6;0.6;1.0;0.8;0.8
11;0.3;0.9;0.0;0.95;1.0;0.4;0.4;1.0;1.0;1.0
12;0.2;0.8;0.0;0.9;1.0;0.6;0.6;1.0;1.0;1.0
13;0.1;0.0;0.1;0.45;1.0;0.8;0.8;1.0;0.8;0.8
14;0.1;0.3;0.2;0.55;1.0;0.8;0.8;0.36;1.0;0.36
15;0.2;1.0;0.0;1.0;1.0;0.6;0.6;1.0;1.0;1.0
16;0.2;0.2;0.0;0.6;1.0;0.6;0.6;1.0;1.0;1.0
17;0.0;0.1;0.1;0.5;1.0;1.0;1.0;1.0;0.8;0.8
18;0.4;0.2;0.0;0.6;1.0;0.2;0.2;1.0;1.0;1.0
19;0.3;0.1;0.1;0.5;1.0;0.4;0.4;1.0;0.8;0.8
20;0.2;1.0;0.1;0.95;1.0;0.6;0.6;1.0;0.8;0.8
21;0.0;0.2;0.0;0.6;1.0;1.0;1.0;1.0;1.0;1.0
22;0.1;0.5;0.3;0.6;1.0;0.8;0.8;1.0;0.4;0.4
23;0.4;0.7;0.2;0.75;1.0;0.2;0.2;1.0;0.6;0.6
24;0.2;0.5;0.5;0.5;1.0;0.6;0.6;;0.0;0.0
25;0.0;0.3;0.1;0.6;1.0;1.0;1.0;1.0;0.8;0.8
26;0.5;0.0;0.1;0.45;;0.0;0.0;1.0;0.8;0.8
27;0.2;0.0;0.4;0.3;1.0;0.6;0.6;0.11;0.6;0.07
28;0.1;0.3;0.2;0.55;1.0;0.8;0.8;1.0;0.6;0.6
29;0.3;0.1;0.0;0.55;1.0;0.4;0.4;1.0;1.0;1.0
30;0.4;0.1;0.0;0.55;1.0;0.2;0.2;1.0;1.0;1.0
31;0.4;0.0;0.1;0.45;0.11;0.6;0.07;1.0;0.8;0.8
32;0.5;0.3;0.3;0.5;;0.0;0.0;1.0;0.4;0.4
33;0.3;0.2;0.6;0.3;1.0;0.4;0.4;0.11;0.6;0.07
34;0.2;0.4;0.4;0.5;1.0;0.6;0.6;1.0;0.2;0.2
35;0.3;0.5;0.0;0.75;1.0;0.4;0.4;1.0;1.0;1.0
36;0.2;0.2;0.3;0.45;1.0;0.6;0.6;1.0;0.4;0.4
37;0.1;0.4;0.0;0.7;1.0;0.8;0.8;1.0;1.0;1.0
38;0.2;0.0;0.1;0.45;1.0;0.6;0.6;1.0;0.8;0.8
39;0.2;0.3;0.1;0.6;1.0;0.6;0.6;1.0;0.8;0.8
40;0.3;0.3;0.0;0.65;1.0;0.4;0.4;1.0;1.0;1.0
41;0.1;0.0;0.1;0.45;1.0;0.8;0.8;1.0;0.8;0.8
42;0.4;0.1;0.1;0.5;1.0;0.2;0.2;1.0;0.8;0.8
43;0.4;0.4;0.3;0.55;1.0;0.2;0.2;1.0;0.4;0.4
44;0.5;0.5;0.1;0.7;;0.0;0.0;1.0;0.8;0.8
45;0.1;0.6;0.0;0.8;1.0;0.8;0.8;1.0;1.0;1.0
46;1.0;0.2;0.6;0.3;1.0;1.0;1.0;0.11;0.6;0.07
47;0.1;0.3;0.0;0.65;1.0;0.8;0.8;1.0;1.0;1.0
48;0.0;0.1;0.4;0.35;1.0;1.0;1.0;0.04;1.0;0.04
49;0.0;0.1;0.1;0.5;1.0;1.0;1.0;1.0;0.8;0.8
50;0.2;0.1;0.0;0.55;1.0;0.6;0.6;1.0;1.0;1.0
51;0.2;0.4;0.2;0.6;1.0;0.6;0.6;0.36;1.0;0.36
