Model;Country;languages;Fact;Stance;Rainbow Map
Qwen/Qwen3.5-2B;Albania;Albanian;24.46;23.46;35.449999999999996
Qwen/Qwen3.5-2B;Andorra;Catalan;47.42999999999999;47.42999999999999;42.99999999999999
Qwen/Qwen3.5-2B;Armenia;Armenian;23.240000000000002;23.240000000000002;9.16
Qwen/Qwen3.5-2B;Austria;German;18.58;18.58;53.98369999999999
Qwen/Qwen3.5-2B;Azerbaijan;Azerbaijani;42.92999999999999;44.92999999999999;2.25
Qwen/Qwen3.5-2B;Belarus;Belarusian;90.23;90.23;10.16
Qwen/Qwen3.5-2B;Belarus;Russian;71.73000000000002;71.73000000000002;10.16
Qwen/Qwen3.5-2B;Belgium;Dutch;21.96;22.71;85.31000000000002
Qwen/Qwen3.5-2B;Belgium;German;18.58;18.58;85.31000000000002
Qwen/Qwen3.5-2B;Belgium;French;23.14;23.14;85.31000000000002
Qwen/Qwen3.5-2B;Bosnia & Herzegovina;Bosnian;70.36;67.61;39.633537000000004
Qwen/Qwen3.5-2B;Bosnia & Herzegovina;Serbian;66.28999999999999;66.28999999999999;39.633537000000004
Qwen/Qwen3.5-2B;Bosnia & Herzegovina;Croatian;72.93;72.93;39.633537000000004
Qwen/Qwen3.5-2B;Bulgaria;Bulgarian;57.89999999999999;57.89999999999999;21.259999999999998
Qwen/Qwen3.5-2B;Croatia;Croatian;72.93;72.93;49.13999999999999
Qwen/Qwen3.5-2B;Cyprus;Modern Greek;75.43;75.43;33.69
Qwen/Qwen3.5-2B;Cyprus;Greek;75.43;75.43;33.69
Qwen/Qwen3.5-2B;Cyprus;Turkish;0.0;0.0;33.69
Qwen/Qwen3.5-2B;Czechia;Czech;74.18;73.43;33.17
Qwen/Qwen3.5-2B;Denmark;Danish;36.06;36.06;80.10000000000002
Qwen/Qwen3.5-2B;Estonia;Estonian;73.31;73.31;45.91
Qwen/Qwen3.5-2B;Finland;Swedish;19.09;19.09;69.85000000000001
Qwen/Qwen3.5-2B;Finland;Finnish;22.0;22.0;69.85000000000001
Qwen/Qwen3.5-2B;France;French;23.14;23.14;61.38
Qwen/Qwen3.5-2B;Georgia;Georgian;64.62;64.62;11.88
Qwen/Qwen3.5-2B;Germany;German;18.58;18.58;69.09562499999998
Qwen/Qwen3.5-2B;Greece;Modern Greek;75.43;75.43;69.18
Qwen/Qwen3.5-2B;Greece;Greek;75.43;75.43;69.18
Qwen/Qwen3.5-2B;Hungary;Hungarian;62.75;62.75;22.7
Qwen/Qwen3.5-2B;Iceland;Icelandic;16.48;16.48;84.06000000000002
Qwen/Qwen3.5-2B;Ireland;Irish;99.99000000000002;99.99000000000002;62.839999999999996
Qwen/Qwen3.5-2B;Ireland;English;85.26000000000002;85.26000000000002;62.839999999999996
Qwen/Qwen3.5-2B;Italy;Italian;76.16;76.16;24.41
Qwen/Qwen3.5-2B;Netherlands;Dutch;21.96;22.71;63.82000000000001
Qwen/Qwen3.5-2B;Kosovo;Serbian;66.28999999999999;66.28999999999999;34.81999999999999
Qwen/Qwen3.5-2B;Kosovo;Albanian;24.46;23.46;34.81999999999999
Qwen/Qwen3.5-2B;Latvia;Latvian;31.49;31.49;25.740000000000002
Qwen/Qwen3.5-2B;Liechtenstein;German;18.58;18.58;28.96
