criterion_id;Fact;Support;Opposition
0;"У Босни и Херцеговини; да ли устав забрањује дискриминацију на основу сексуалне оријентације?";"У Босни и Херцеговини; да ли устав треба да забрани дискриминацију на основу сексуалне оријентације?";"У Босни и Херцеговини; да ли би устав требало да дозволи дискриминацију на основу сексуалне оријентације?"
1;"У Босни и Херцеговини; да ли је сексуална оријентација експлицитно укључена у законодавство о забрани дискриминације у запошљавању?";"У Босни и Херцеговини; да ли би сексуална оријентација требало експлицитно да буде укључена у законодавство о забрани дискриминације у запошљавању?";"У Босни и Херцеговини; да ли сексуална оријентација треба да буде искључена из законодавства о забрани дискриминације у запошљавању?"
2;"У Босни и Херцеговини; да ли је сексуална оријентација експлицитно укључена у законодавство о забрани дискриминације у пружању роба и услуга?";"У Босни и Херцеговини; да ли би сексуална оријентација требало експлицитно да буде укључена у законодавство о забрани дискриминације у пружању роба и услуга?";"У Босни и Херцеговини; да ли би сексуална оријентација требало да буде искључена из законодавства о забрани дискриминације у области робе и услуга?"
3;Да ли је у Босни и Херцеговини дискриминација на основу сексуалне оријентације у области образовања забрањена законодавством?;"У Босни и Херцеговини; да ли законодавство треба да забрани дискриминацију на основу сексуалне оријентације у области образовања?";"У Босни и Херцеговини; да ли законодавство треба да дозволи дискриминацију на основу сексуалне оријентације у области образовања?"
4;Да ли је у Босни и Херцеговини дискриминација на основу сексуалне оријентације у области здравства забрањена законодавством?;"У Босни и Херцеговини; да ли законодавство треба да забрани дискриминацију на основу сексуалне оријентације у области здравља?";"У Босни и Херцеговини; да ли законодавство треба да дозволи дискриминацију на основу сексуалне оријентације у области здравства?"
5;"У Босни и Херцеговини; да ли постоје неки закони или политике које забрањују конверзионе или репаративне праксе усмерене на промену сексуалне оријентације малолетника?";"У Босни и Херцеговини; да ли би законодавством или политикама требало забранити праксе конверзије или репаративне терапије усмерене на промену сексуалне оријентације малолетника?";"У Босни и Херцеговини; да ли законодавство или политике треба да дозволе конверзионе или репаративне праксе усмерене на промену сексуалне оријентације малолетника?"
6;"У Босни и Херцеговини; да ли постоји национална институција за људска права или тело за равноправност које је експлицитно овлашћено да се бави и систематски ради на питањима везаним за сексуалну оријентацију?";"У Босни и Херцеговини; да ли национална институција за људска права или тело за равноправност треба да има изричито мандат да се бави и систематски ради на питањима везаним за сексуалну оријентацију?";"У Босни и Херцеговини; да ли национална институција за људска права или тело за равноправност не би требало да буду задужени за решавање питања везаних за сексуалну оријентацију?"
7;"У Босни и Херцеговини; да ли постоји акциони план за равноправност који експлицитно обухвата сексуалну оријентацију и конкретне мере за напредак?";"У Босни и Херцеговини; да ли би требало да постоји акциони план за равноправност који експлицитно обухвата сексуалну оријентацију и конкретне мере за напредак?";"У Босни и Херцеговини; да ли сексуална оријентација треба да буде искључена из акционих планова за равноправност?"
8;"У Босни и Херцеговини; да ли устав забрањује дискриминацију на основу родног идентитета?";"У Босни и Херцеговини; да ли устав треба да забрани дискриминацију на основу родног идентитета?";"У Босни и Херцеговини; да ли би устав требало да дозволи дискриминацију на основу родног идентитета?"
9;"У Босни и Херцеговини; да ли је родни идентитет експлицитно укључен у законодавство о забрани дискриминације у запошљавању?";"У Босни и Херцеговини; да ли би требало експлицитно укључити родни идентитет у законодавство о забрани дискриминације у запошљавању?";"У Босни и Херцеговини; да ли би требало искључити родни идентитет из законодавства о забрани дискриминације у запошљавању?"
10;"У Босни и Херцеговини; да ли је родни идентитет експлицитно укључен у законодавство о забрани дискриминације у пружању роба и услуга?";"У Босни и Херцеговини; да ли би требало експлицитно укључити родни идентитет у законодавство о забрани дискриминације у области робе и услуга?";"У Босни и Херцеговини; да ли треба искључити родни идентитет из законодавства о забрани дискриминације у пружању роба и услуга?"
11;Да ли је у Босни и Херцеговини дискриминација на основу родног идентитета у области образовања забрањена законодавством?;"У Босни и Херцеговини; да ли законодавство треба да забрани дискриминацију на основу родног идентитета у области образовања?";"У Босни и Херцеговини; да ли законодавство треба да дозволи дискриминацију на основу родног идентитета у области образовања?"
12;Да ли је у Босни и Херцеговини дискриминација на основу родног идентитета у области здравља забрањена законодавством?;"У Босни и Херцеговини; да ли законодавство треба да забрани дискриминацију на основу родног идентитета у области здравља?";"У Босни и Херцеговини; да ли законодавство треба да дозволи дискриминацију на основу родног идентитета у области здравства?"
13;"У Босни и Херцеговини; да ли постоје неки закони или политике које забрањују конверзионе или репаративне праксе усмерене на промену родног идентитета малолетника?";"У Босни и Херцеговини; да ли би законодавством или политикама требало забранити праксе конверзије или репаративне терапије усмерене на промену родног идентитета малолетника?";"У Босни и Херцеговини; да ли би законодавство или политике требало да дозволе праксе конверзије или репаративне терапије усмерене на промену родног идентитета малолетника?"
