criterion_id;Fact;Support;Opposition
0;Forbyder forfatningen diskrimination på grund af seksuel orientering?;Bør forfatningen forbyde diskrimination på grund af seksuel orientering?;Bør forfatningen tillade diskrimination på grund af seksuel orientering?
1;Er seksuel orientering udtrykkeligt inkluderet i lovgivningen om antidiskrimination på arbejdsmarkedet?;Bør seksuel orientering eksplicit indgå i lovgivningen om antidiskrimination på arbejdsmarkedet?;Bør seksuel orientering udelukkes fra antidiskriminationslovgivningen på arbejdsmarkedet?
2;Er seksuel orientering udtrykkeligt inkluderet i antidiskriminationslovgivningen for varer og tjenesteydelser?;Bør seksuel orientering være eksplicit inkluderet i antidiskriminationslovgivningen for varer og tjenesteydelser?;Bør seksuel orientering undtages fra antidiskriminationslovgivningen for varer og tjenesteydelser?
3;Er diskrimination på grund af seksuel orientering på uddannelsesområdet forbudt ved lov?;Bør diskrimination på grund af seksuel orientering på uddannelsesområdet forbydes ved lov?;Bør lovgivningen tillade diskrimination på grund af seksuel orientering inden for uddannelsesområdet?
4;Er diskrimination på grund af seksuel orientering inden for sundhedsområdet forbudt ifølge lovgivningen?;Bør diskrimination på grund af seksuel orientering på sundhedsområdet forbydes i lovgivningen?;Bør lovgivningen tillade diskrimination på grund af seksuel orientering inden for sundhedsområdet?
5;Er der nogen lovgivning eller politikker, der forbyder omvendelse eller reparativ praksis, der har til formål at ændre en mindreårigs seksuelle orientering?;Bør omvendelse eller reparativ praksis, der har til formål at ændre en mindreårigs seksuelle orientering, forbydes ved lovgivning eller politikker?;Bør omvendelse eller reparativ praksis, der har til formål at ændre en mindreårigs seksuelle orientering, være tilladt i henhold til lovgivning eller politikker?
6;Er der en national menneskerettighedsinstitution eller et ligestillingsorgan, der udtrykkeligt har mandat til at behandle og systematisk arbejde med spørgsmål vedrørende seksuel orientering?;Bør en national menneskerettighedsinstitution eller et ligestillingsorgan have et eksplicit mandat til at behandle og arbejde systematisk med spørgsmål om seksuel orientering?;Bør en national menneskerettighedsinstitution eller et ligestillingsorgan ikke have mandat til at behandle spørgsmål om seksuel orientering?
7;Er der en ligestillingshandlingsplan, der eksplicit omfatter seksuel orientering og specifikke foranstaltninger for fremskridt?;Bør der være en ligestillingshandlingsplan, der eksplicit omfatter seksuel orientering og specifikke foranstaltninger for fremskridt?;Bør seksuel orientering udelukkes fra ligestillingshandlingsplaner?
8;Forbyder forfatningen diskrimination på grund af kønsidentitet?;Bør forfatningen forbyde diskrimination på grund af kønsidentitet?;Bør forfatningen tillade diskrimination baseret på kønsidentitet?
9;Er kønsidentitet udtrykkeligt inkluderet i antidiskriminationslovgivningen på arbejdsmarkedet?;Bør kønsidentitet eksplicit inkluderes i antidiskriminationslovgivningen på arbejdsmarkedet?;Bør kønsidentitet udelukkes fra antidiskriminationslovgivningen på arbejdsmarkedet?
