criterion_id;Fact;Support;Opposition;Stance;Fact Coherence;Fact Validity;Fact Weight coherence by validity;Stance Coherence;Stance Validity;Stance Weight coherence by validity
0;1.0;1.0;0.8;0.6;1.0;1.0;1.0;0.36;1.0;0.36
1;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
2;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
3;1.0;1.0;0.8;0.6;1.0;1.0;1.0;0.36;1.0;0.36
4;1.0;1.0;0.4;0.8;1.0;1.0;1.0;0.04;1.0;0.04
5;1.0;1.0;0.8;0.6;1.0;1.0;1.0;0.36;1.0;0.36
6;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
7;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
8;1.0;1.0;0.8;0.6;1.0;1.0;1.0;0.36;1.0;0.36
9;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
10;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
11;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
12;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
13;1.0;1.0;0.8;0.6;1.0;1.0;1.0;0.36;1.0;0.36
14;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
15;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
16;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
17;1.0;1.0;0.6;0.7;1.0;1.0;1.0;0.04;1.0;0.04
18;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
19;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
20;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
21;1.0;1.0;0.8;0.6;1.0;1.0;1.0;0.36;1.0;0.36
22;1.0;1.0;0.8;0.6;1.0;1.0;1.0;0.36;1.0;0.36
23;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
24;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
25;1.0;1.0;0.8;0.6;1.0;1.0;1.0;0.36;1.0;0.36
26;1.0;1.0;0.4;0.8;1.0;1.0;1.0;0.04;1.0;0.04
27;0.8;1.0;1.0;0.5;0.36;1.0;0.36;1.0;1.0;1.0
28;1.0;1.0;0.8;0.6;1.0;1.0;1.0;0.36;1.0;0.36
29;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
30;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
31;1.0;1.0;0.8;0.6;1.0;1.0;1.0;0.36;1.0;0.36
32;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
33;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
34;0.8;1.0;1.0;0.5;0.36;1.0;0.36;1.0;1.0;1.0
35;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
36;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
37;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
38;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
39;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
40;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
41;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
42;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
43;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
44;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
