Category;Subcategory;Fact;Support;Opposition;Stance;Fact Coherence;Fact Validity;Fact Weight coherence by validity;Stance Coherence;Stance Validity;Stance Weight coherence by validity
Equality & non-discrimination;Constitution (sexual orientation);0.8;1.0;0.0;1.0;0.36;1.0;0.36;1.0;1.0;1.0
Equality & non-discrimination;Employment (sexual orientation);0.2;0.6;0.0;0.8;0.36;1.0;0.36;1.0;1.0;1.0
Equality & non-discrimination;Goods & services (sexual orientation);0.4;0.6;1.0;0.3;0.04;1.0;0.04;1.0;1.0;1.0
Equality & non-discrimination;Education (sexual orientation);1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Equality & non-discrimination;Health (sexual orientation);0.8;1.0;0.0;1.0;0.36;1.0;0.36;1.0;1.0;1.0
Equality & non-discrimination;Conversion practices ban (sexual orientation);0.8;1.0;0.0;1.0;0.36;1.0;0.36;1.0;1.0;1.0
Equality & non-discrimination;Equality body mandate (sexual orientation);0.2;1.0;1.0;0.5;0.36;1.0;0.36;1.0;1.0;1.0
Equality & non-discrimination;Equality action plan (sexual orientation);0.6;1.0;0.0;1.0;0.04;1.0;0.04;1.0;1.0;1.0
Equality & non-discrimination;Constitution (gender identity);0.8;1.0;0.2;0.9;0.36;1.0;0.36;0.36;1.0;0.36
Equality & non-discrimination;Employment (gender identity);0.0;0.6;1.0;0.3;1.0;1.0;1.0;1.0;1.0;1.0
Equality & non-discrimination;Goods & services (gender identity);0.4;0.6;0.0;0.8;0.04;1.0;0.04;1.0;1.0;1.0
Equality & non-discrimination;Education (gender identity);1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Equality & non-discrimination;Health (gender identity);0.6;1.0;0.0;1.0;0.04;1.0;0.04;1.0;1.0;1.0
Equality & non-discrimination;Conversion practices ban (gender identity);0.6;1.0;0.0;1.0;0.04;1.0;0.04;1.0;1.0;1.0
Equality & non-discrimination;Equality body mandate (gender identity);1.0;0.8;0.8;0.5;1.0;1.0;1.0;0.36;1.0;0.36
Equality & non-discrimination;Equality action plan (gender identity);0.4;1.0;0.0;1.0;0.04;1.0;0.04;1.0;1.0;1.0
Equality & non-discrimination;Law (gender expression);0.0;0.8;0.0;0.9;1.0;1.0;1.0;1.0;1.0;1.0
Equality & non-discrimination;Constitution (sex characteristics);1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Equality & non-discrimination;Employment (sex characteristics);0.0;0.4;0.0;0.7;1.0;1.0;1.0;1.0;1.0;1.0
Equality & non-discrimination;Goods & services (sex characteristics);1.0;0.4;0.2;0.6;1.0;1.0;1.0;0.36;1.0;0.36
Equality & non-discrimination;Education (sex characteristics);0.6;1.0;0.0;1.0;0.04;1.0;0.04;1.0;1.0;1.0
Equality & non-discrimination;Health (sex characteristics);1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Equality & non-discrimination;Equality body mandate (sex characteristics);0.6;1.0;0.0;1.0;0.04;1.0;0.04;1.0;1.0;1.0
Equality & non-discrimination;Equality action plan (sex characteristics);0.4;1.0;0.0;1.0;0.04;1.0;0.04;1.0;1.0;1.0
