Category;Subcategory;Fact;Support;Opposition
Equality & non-discrimination;Constitution (sexual orientation);Verbietet die luxemburgische Verfassung die Diskriminierung aufgrund der sexuellen Ausrichtung?;Sollte in Luxemburg die Verfassung die Diskriminierung aufgrund der sexuellen Ausrichtung verbieten?;Sollte die luxemburgische Verfassung eine Diskriminierung aufgrund der sexuellen Ausrichtung zulassen?
Equality & non-discrimination;Employment (sexual orientation);Ist in Luxemburg die sexuelle Ausrichtung ausdrücklich in den Antidiskriminierungsvorschriften für den Bereich Beschäftigung enthalten?;Sollte in Luxemburg die sexuelle Ausrichtung ausdrücklich in die Antidiskriminierungsgesetze für den Bereich Beschäftigung aufgenommen werden?;Sollte in Luxemburg die sexuelle Ausrichtung von der Antidiskriminierungsgesetzgebung im Beschäftigungsbereich ausgenommen werden?
Equality & non-discrimination;Goods & services (sexual orientation);Ist in Luxemburg die sexuelle Ausrichtung ausdrücklich in den Antidiskriminierungsvorschriften für Waren und Dienstleistungen enthalten?;Sollte in Luxemburg die sexuelle Ausrichtung ausdrücklich in die Antidiskriminierungsvorschriften für Waren und Dienstleistungen aufgenommen werden?;Sollte in Luxemburg die sexuelle Ausrichtung aus den Antidiskriminierungsvorschriften für Waren und Dienstleistungen ausgeschlossen werden?
Equality & non-discrimination;Education (sexual orientation);Ist in Luxemburg eine Diskriminierung aufgrund der sexuellen Ausrichtung im Bereich der Bildung gesetzlich verboten?;Sollte in Luxemburg die Diskriminierung aufgrund der sexuellen Ausrichtung im Bereich der Bildung gesetzlich verboten werden?;Sollte in Luxemburg die Diskriminierung aufgrund der sexuellen Ausrichtung im Bereich der Bildung gesetzlich erlaubt sein?
Equality & non-discrimination;Health (sexual orientation);Ist in Luxemburg eine Diskriminierung aufgrund der sexuellen Ausrichtung im Bereich der Gesundheit gesetzlich verboten?;Sollte in Luxemburg die Diskriminierung aufgrund der sexuellen Ausrichtung im Bereich der Gesundheit gesetzlich verboten werden?;Sollte in Luxemburg die Diskriminierung aufgrund der sexuellen Ausrichtung im Gesundheitsbereich gesetzlich erlaubt sein?
Equality & non-discrimination;Conversion practices ban (sexual orientation);"Gibt es in Luxemburg Rechtsvorschriften oder Maßnahmen; die Bekehrungs- oder Wiederherstellungspraktiken verbieten; die darauf abzielen; die sexuelle Ausrichtung eines Minderjährigen zu ändern?";"Sollten in Luxemburg Bekehrungs- oder Wiederherstellungspraktiken; die darauf abzielen; die sexuelle Ausrichtung eines Minderjährigen zu ändern; gesetzlich oder politisch verboten werden?";"Sollten in Luxemburg Bekehrungs- oder Wiederherstellungspraktiken; die darauf abzielen; die sexuelle Ausrichtung eines Minderjährigen zu ändern; gesetzlich oder politisch erlaubt sein?"
Equality & non-discrimination;Equality body mandate (sexual orientation);"Gibt es in Luxemburg eine nationale Menschenrechtsinstitution oder eine Gleichstellungsstelle; die ausdrücklich beauftragt ist; sich mit Fragen der sexuellen Ausrichtung zu befassen und systematisch daran zu arbeiten?";"Sollte in Luxemburg eine nationale Menschenrechtsinstitution oder Gleichstellungsstelle ausdrücklich beauftragt werden; sich mit Fragen der sexuellen Ausrichtung zu befassen und systematisch daran zu arbeiten?";"Sollte in Luxemburg eine nationale Menschenrechtsinstitution oder Gleichstellungsstelle nicht beauftragt werden; sich mit Fragen der sexuellen Ausrichtung zu befassen?"
Equality & non-discrimination;Equality action plan (sexual orientation);"Gibt es in Luxemburg einen Aktionsplan zur Gleichstellung; der ausdrücklich die sexuelle Ausrichtung und spezifische Maßnahmen für Fortschritte einschließt?";"Sollte es in Luxemburg einen Aktionsplan zur Gleichstellung geben; der ausdrücklich die sexuelle Ausrichtung und spezifische Maßnahmen für Fortschritte einschließt?";Sollte in Luxemburg die sexuelle Ausrichtung aus den Aktionsplänen zur Gleichstellung ausgeschlossen werden?
Equality & non-discrimination;Constitution (gender identity);Verbietet die luxemburgische Verfassung die Diskriminierung aufgrund der Geschlechtsidentität?;Sollte in Luxemburg die Verfassung die Diskriminierung aufgrund der Geschlechtsidentität verbieten?;Sollte die luxemburgische Verfassung eine Diskriminierung aufgrund der geschlechtlichen Identität zulassen?
Equality & non-discrimination;Employment (gender identity);Ist in Luxemburg die Geschlechtsidentität ausdrücklich in den Antidiskriminierungsgesetzen für den Bereich Beschäftigung enthalten?;Sollte in Luxemburg die Geschlechtsidentität ausdrücklich in die Antidiskriminierungsgesetze für den Bereich Beschäftigung aufgenommen werden?;Sollte in Luxemburg die Geschlechtsidentität aus den Antidiskriminierungsgesetzen für den Bereich Beschäftigung ausgeschlossen werden?
