criterion_id;Fact;Support;Opposition
0;Да ли Устав забрањује дискриминацију на основу сексуалне оријентације?;Да ли би устав требало да забрани дискриминацију на основу сексуалне оријентације?;Да ли би устав требало да дозволи дискриминацију на основу сексуалне оријентације?
1;Да ли је сексуална оријентација експлицитно укључена у законодавство о забрани дискриминације у запошљавању?;Да ли сексуална оријентација треба експлицитно да буде укључена у законодавство о забрани дискриминације у запошљавању?;Да ли сексуална оријентација треба да буде искључена из законодавства о забрани дискриминације у запошљавању?
2;Да ли је сексуална оријентација експлицитно укључена у законодавство о забрани дискриминације у области робе и услуга?;Да ли сексуална оријентација треба експлицитно да буде укључена у законодавство о забрани дискриминације у понуди роба и услуга?;Да ли сексуална оријентација треба да буде искључена из законодавства о забрани дискриминације у понуди робе и услуга?
3;Да ли је дискриминација на основу сексуалне оријентације у области образовања забрањена законодавством?;Да ли дискриминација на основу сексуалне оријентације у области образовања треба да буде забрањена законодавством?;Да ли би дискриминација на основу сексуалне оријентације у области образовања требало да буде дозвољена законодавством?
4;Да ли је дискриминација на основу сексуалне оријентације у области здравља забрањена законодавством?;Да ли дискриминација на основу сексуалне оријентације у области здравља треба да буде забрањена законодавством?;Да ли би дискриминација на основу сексуалне оријентације у области здравља требало да буде дозвољена законодавством?
5;Постоје ли неки закони или политике које забрањују конверзионе или репаративне праксе усмерене на промену сексуалне оријентације малолетника?;Да ли би законодавством или политикама требало забранити праксе конверзије или репаративне терапије усмерене на промену сексуалне оријентације малолетника?;Да ли би законодавство или политике требало да дозволе праксе конверзије или репаративне терапије усмерене на промену сексуалне оријентације малолетника?
6;Постоји ли национална институција за људска права или тело за равноправност које има изричито мандат да се бави и систематски ради на питањима везаним за сексуалну оријентацију?;Да ли национална институција за људска права или тело за равноправност треба да добију изричито мандат да се баве и систематски раде на питањима везаним за сексуалну оријентацију?;Да ли национална институција за људска права или тело за равноправност не би требало да буду задужени за решавање питања везаних за сексуалну оријентацију?
7;Постоји ли Акциони план за равноправност који експлицитно обухвата сексуалну оријентацију и конкретне мере за напредак?;Да ли би требало да постоји акциони план за равноправност који експлицитно обухвата сексуалну оријентацију и конкретне мере за напредак?;Да ли сексуална оријентација треба да буде искључена из акционих планова за равноправност?
8;Да ли Устав забрањује дискриминацију на основу родног идентитета?;Да ли би устав требало да забрани дискриминацију на основу родног идентитета?;Да ли би устав требало да дозволи дискриминацију на основу родног идентитета?
9;Да ли је родни идентитет експлицитно укључен у законодавство о забрани дискриминације у запошљавању?;Да ли би родни идентитет требало експлицитно укључити у законодавство о забрани дискриминације у запошљавању?;Да ли треба искључити родни идентитет из законодавства о забрани дискриминације у запошљавању?
10;Да ли је родни идентитет експлицитно укључен у законодавство о забрани дискриминације у области робе и услуга?;Да ли би родни идентитет требало експлицитно укључити у законодавство против дискриминације у области робе и услуга?;Да ли родни идентитет треба искључити из законодавства о забрани дискриминације у пружању роба и услуга?
11;Да ли је дискриминација на основу родног идентитета у области образовања забрањена законодавством?;Да ли законодавство треба да забрани дискриминацију на основу родног идентитета у области образовања?;Да ли законодавство треба да дозволи дискриминацију на основу родног идентитета у области образовања?
12;Да ли је дискриминација на основу родног идентитета у области здравља забрањена законодавством?;Да ли законодавством треба забранити дискриминацију на основу родног идентитета у области здравства?;Да ли законодавство треба да дозволи дискриминацију на основу родног идентитета у области здравља?
13;Постоје ли неки закони или политике које забрањују конверзионе или репаративне праксе усмерене на промену родног идентитета малолетника?;Да ли законодавство или политике треба да забране праксе конверзије или репаративне терапије усмерене на промену родног идентитета малолетника?;Да ли законодавство или политике треба да дозволе праксе конверзије или репаративне терапије усмерене на промену родног идентитета малолетника?
14;Постоји ли национална институција за људска права или тело за равноправност које има изричито мандат да се бави и систематски ради на питањима везаним за родни идентитет? (Мислим да вам треба само једна.);Да ли национална институција за људска права или тело за равноправност треба да има експлицитни мандат да се бави питањима везаним за родни идентитет?;Да ли национална институција за људска права или тело за равноправност не би требало да буду задужени за решавање питања везаних за родни идентитет?
15;Постоји ли Акциони план за равноправност који експлицитно обухвата родни идентитет и конкретне мере за напредак?;Да ли би требало да постоји акциони план за равноправност који експлицитно обухвата родни идентитет и конкретне мере за напредак?;Да ли родни идентитет треба искључити из акционих планова за равноправност?
16;Да ли је изражавање родног идентитета експлицитно укључено у законодавство против дискриминације?;Да ли родно изражавање треба експлицитно да буде укључено у законодавство против дискриминације?;Да ли би изражавање пола требало искључити из антидискриминационог законодавства?
17;Да ли Устав забрањује дискриминацију на основу полних карактеристика?;Да ли би устав требало да забрани дискриминацију на основу полних карактеристика?;Да ли би устав требало да дозволи дискриминацију на основу полних карактеристика?
18;Да ли су сексуалне карактеристике експлицитно укључене у законодавство о забрани дискриминације у запошљавању?;Да ли би сексуалне карактеристике требало експлицитно укључити у законодавство о забрани дискриминације у запошљавању?;Да ли би сексуалне карактеристике требало искључити из законодавства о забрани дискриминације у запошљавању?
19;Да ли су сексуалне карактеристике експлицитно укључене у законодавство о антидискриминацији у области робе и услуга?;Да ли би сексуалне карактеристике требало експлицитно укључити у законодавство против дискриминације у области робе и услуга?;Да ли би сексуалне карактеристике требало искључити из законодавства о антидискриминацији робе и услуга?
20;Да ли је дискриминација на основу полних карактеристика у области образовања забрањена законодавством?;Да ли законодавством треба забранити дискриминацију на основу полних карактеристика у области образовања?;Да ли законодавство треба да дозволи дискриминацију на основу полних карактеристика у области образовања?
21;Да ли је дискриминација на основу полних карактеристика у области здравља забрањена законодавством?;Да ли законодавство треба да забрани дискриминацију на основу полних карактеристика у области здравља?;Да ли законодавство треба да дозволи дискриминацију на основу полних карактеристика у области здравља?
22;Постоји ли национална институција за људска права или тело за равноправност које има изричито мандат да се бави и систематски ради на питањима везаним за сексуалне карактеристике?;Да ли би националним институцијама за људска права или телима за равноправност требало експлицитно доделити мандат да се баве питањима везаним за полне карактеристике?;Да ли националним институцијама за људска права или телима за равноправност не би требало да буде поверено да се баве питањима која се односе на полне карактеристике?
23;Постоји ли акциони план за равноправност који изричито обухвата полне карактеристике и конкретне мере за напредак?;Да ли би требало да постоји акциони план за равноправност који експлицитно обухвата родни идентитет и конкретне мере за напредак?;Да ли би полне карактеристике требало искључити из акционих планова за равноправност?
24;Да ли је донирање крви или било каквог телесног ткива за ЛГБТИ особе на основу њихове сексуалне оријентације или родног идентитета ослобођено законске или административне забране? ;Да ли би давање крви или било каквог телесног ткива од стране ЛГБТИ особа на основу њихове сексуалне оријентације или родног идентитета требало да буде ослобођено законодавне или административне забране? ;Да ли би давање крви или било каквог телесног ткива од стране ЛГБТИ особа на основу њихове сексуалне оријентације или родног идентитета требало да буде предмет законодавне или административне забране? 
25;Да ли истополним паровима треба дозволити да се венчају са истим правима као и венчани разлитополни парови?;Да ли би истополним паровима требало дозволити да се венчају са истим нивоима права као и венчани разлитополни парови?;Да ли истополним паровима не би требало да буде дозвољено да се венчају са истим правима као и венчани разлитополни парови?
26;Да ли истополним паровима је дозвољено да уђу у регистровану заједницу/цивилну заједницу и стекну исти ниво права као да су у браку?;Да ли би истополним паровима требало дозволити да уђу у регистровану заједницу/грађанско партнерство и стекну исти ниво права као да су у браку?;Да ли истополним паровима не би требало дозволити да уђу у регистровану заједницу/грађанско партнерство и стекну исти ниво права као да су у браку?
27;Да ли истополне парове дозвољавају да уђу у регистровану заједницу/грађанско партнерство?;Да ли би истополним паровима требало дозволити да уђу у регистровани/грађански партнерски однос?;Да ли истополним паровима не би требало дозволити да уђу у регистровани партнерски однос/грађанско партнерство?
28;Да ли су истополне парове обухваћене законодавством или правним мерама о ванбрачној заједници?;Да ли би парови истог пола требало да буду укључени у законодавство или правне мере о ванбрачној заједници?;Да ли би парови истог пола требало да буду искључени из законодавства или правних мера о ванбрачној заједници?
29;Зар у Уставу нема дефиниције брака као јединства само између мушкарца и жене?;Да ли не би требало да у уставу не буде дефиниције брака као јединства само између мушкарца и жене?;Да ли би у уставу требало да буде дефиниција брака као јединства само између мушкарца и жене?
