criterion_id;Fact;Support;Opposition
0;Kıbrıs'ta anayasa cinsel yönelime dayalı ayrımcılığı yasaklıyor mu?;Kıbrıs'ta anayasa cinsel yönelime dayalı ayrımcılığı yasaklamalı mıdır?;Kıbrıs'ta anayasa cinsel yönelime dayalı ayrımcılığa izin vermeli mi?
1;Kıbrıs'ta cinsel yönelim istihdamda ayrımcılık karşıtı mevzuata açıkça dahil edilmiş midir?;Kıbrıs'ta cinsel yönelim istihdamda ayrımcılık karşıtı mevzuata açıkça dahil edilmeli midir?;Kıbrıs'ta cinsel yönelim istihdamda ayrımcılık karşıtı mevzuatın dışında tutulmalı mı?
2;"Kıbrıs'ta cinsel yönelim; mal ve hizmetlere ilişkin ayrımcılık karşıtı mevzuata açıkça dahil edilmiş midir?";"Kıbrıs'ta cinsel yönelim; mal ve hizmetlere ilişkin ayrımcılık karşıtı mevzuata açıkça dahil edilmeli midir?";"Kıbrıs'ta cinsel yönelim; mal ve hizmetlere ilişkin ayrımcılık karşıtı mevzuatın dışında tutulmalı mıdır?"
3;Kıbrıs'ta eğitim alanında cinsel yönelime dayalı ayrımcılık mevzuat tarafından yasaklanmış mıdır?;"Kıbrıs'ta; eğitim alanında cinsel yönelime dayalı ayrımcılık mevzuatla yasaklanmalı mıdır?";"Kıbrıs'ta; eğitim alanında cinsel yönelime dayalı ayrımcılığa mevzuat tarafından izin verilmeli midir?"
4;Kıbrıs'ta sağlık alanında cinsel yönelime dayalı ayrımcılık mevzuat tarafından yasaklanmış mıdır?;Kıbrıs'ta sağlık alanında cinsel yönelime dayalı ayrımcılık mevzuatla yasaklanmalı mıdır?;"Kıbrıs'ta; sağlık alanında cinsel yönelime dayalı ayrımcılığa mevzuat tarafından izin verilmeli midir?"
5;"Kıbrıs'ta; reşit olmayan bir kişinin cinsel yönelimini değiştirmeyi amaçlayan dönüştürme veya onarıcı uygulamaları yasaklayan herhangi bir mevzuat veya politika var mı?";"Kıbrıs'ta; reşit olmayan bir kişinin cinsel yönelimini değiştirmeyi amaçlayan dönüştürme veya onarıcı uygulamalar mevzuat veya politikalarla yasaklanmalı mıdır?";"Kıbrıs'ta; reşit olmayan bir kişinin cinsel yönelimini değiştirmeyi amaçlayan dönüştürme veya onarıcı uygulamalara mevzuat veya politikalar tarafından izin verilmeli midir?"
6;"Kıbrıs'ta; cinsel yönelimle ilgili konuları ele almak ve sistematik olarak çalışmak üzere açıkça yetkilendirilmiş bir ulusal insan hakları kurumu veya eşitlik kurumu var mıdır?";"Kıbrıs'ta; ulusal bir insan hakları kurumu veya eşitlik kurumu cinsel yönelimle ilgili konuları ele almak ve sistematik olarak çalışmak üzere açıkça yetkilendirilmeli midir?";"Kıbrıs'ta; ulusal bir insan hakları kurumu veya eşitlik kurumu cinsel yönelimle ilgili konuları ele almakla görevlendirilmemeli midir?"
7;"Kıbrıs'ta; cinsel yönelimi ve ilerleme için özel önlemleri açıkça içeren bir eşitlik eylem planı var mı?";"Kıbrıs'ta; cinsel yönelimi ve ilerleme için özel önlemleri açıkça içeren bir eşitlik eylem planı olmalı mıdır?";Kıbrıs'ta cinsel yönelim eşitlik eylem planlarından çıkarılmalı mı?
8;Kıbrıs'ta anayasa cinsiyet kimliğine dayalı ayrımcılığı yasaklıyor mu?;Kıbrıs'ta anayasa cinsiyet kimliğine dayalı ayrımcılığı yasaklamalı mı?;Kıbrıs'ta anayasa genetik kimliğe dayalı ayrımcılığa izin vermeli mi?
9;Kıbrıs'ta cinsiyet kimliği istihdamda ayrımcılık karşıtı mevzuata açıkça dahil edilmiş midir?;"Kıbrıs'ta; cinsiyet kimliği istihdamda ayrımcılık karşıtı mevzuata açıkça dahil edilmeli midir?";Kıbrıs'ta istihdamda ayrımcılık karşıtı mevzuatta cinsiyet kimliği hariç tutulmalı mı?
10;"Kıbrıs'ta; cinsiyet kimliği mal ve hizmetlerde ayrımcılıkla mücadele mevzuatına açıkça dahil edilmiş midir?";"Kıbrıs'ta; cinsiyet kimliği mal ve hizmetlere ilişkin ayrımcılık karşıtı mevzuata açıkça dahil edilmeli midir?";Kıbrıs'ta cinsiyet kimliği mal ve hizmetlere ilişkin ayrımcılık karşıtı mevzuatın dışında tutulmalı mıdır?
11;Kıbrıs'ta eğitim alanında cinsiyet kimliğine dayalı ayrımcılık mevzuat tarafından yasaklanmış mıdır?;"Kıbrıs'ta; eğitim alanında cinsiyet kimliğine dayalı ayrımcılık mevzuatla yasaklanmalı mıdır?";"Kıbrıs'ta; eğitim alanında cinsiyet kimliğine dayalı ayrımcılığa mevzuat tarafından izin verilmeli midir?"
12;Kıbrıs'ta sağlık alanında cinsiyet kimliğine dayalı ayrımcılık mevzuat tarafından yasaklanmış mıdır?;Kıbrıs'ta sağlık alanında cinsiyet kimliğine dayalı ayrımcılık mevzuatla yasaklanmalı mıdır?;"Kıbrıs'ta; sağlık alanında cinsiyet kimliğine dayalı ayrımcılığa mevzuat tarafından izin verilmeli midir?"
