criterion_id;Fact;Support;Opposition;Stance;Fact Coherence;Fact Validity;Fact Weight coherence by validity;Stance Coherence;Stance Validity;Stance Weight coherence by validity
0;0.2;0.4;0.4;0.5;1.0;0.6;0.6;1.0;0.2;0.2
1;0.5;0.5;0.4;0.55;;0.0;0.0;1.0;0.2;0.2
2;0.5;0.3;0.4;0.45;;0.0;0.0;1.0;0.2;0.2
3;0.1;0.0;0.0;0.5;1.0;0.8;0.8;1.0;1.0;1.0
4;0.0;0.1;0.0;0.55;1.0;1.0;1.0;1.0;1.0;1.0
5;0.3;0.3;0.4;0.45;1.0;0.4;0.4;1.0;0.2;0.2
6;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
7;0.0;0.1;0.5;0.3;1.0;1.0;1.0;;0.0;0.0
8;0.0;0.4;0.3;0.55;1.0;1.0;1.0;1.0;0.4;0.4
9;0.2;0.2;0.0;0.6;1.0;0.6;0.6;1.0;1.0;1.0
10;0.2;0.0;0.1;0.45;1.0;0.6;0.6;1.0;0.8;0.8
11;0.0;0.1;0.1;0.5;1.0;1.0;1.0;1.0;0.8;0.8
12;0.1;0.0;0.0;0.5;1.0;0.8;0.8;1.0;1.0;1.0
13;0.2;0.2;0.3;0.45;1.0;0.6;0.6;1.0;0.4;0.4
14;0.1;0.1;0.0;0.55;1.0;0.8;0.8;1.0;1.0;1.0
15;0.1;0.0;0.1;0.45;1.0;0.8;0.8;1.0;0.8;0.8
16;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
17;0.0;0.2;0.3;0.45;1.0;1.0;1.0;1.0;0.4;0.4
18;0.5;0.5;0.4;0.55;;0.0;0.0;1.0;0.2;0.2
19;0.5;0.5;0.3;0.6;;0.0;0.0;1.0;0.4;0.4
20;0.0;0.0;0.2;0.4;1.0;1.0;1.0;1.0;0.6;0.6
21;0.0;0.1;0.0;0.55;1.0;1.0;1.0;1.0;1.0;1.0
22;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
23;0.2;0.0;0.3;0.35;1.0;0.6;0.6;1.0;0.4;0.4
24;0.1;0.1;0.0;0.55;1.0;0.8;0.8;1.0;1.0;1.0
25;0.1;0.2;0.2;0.5;1.0;0.8;0.8;1.0;0.6;0.6
26;0.0;0.0;0.1;0.45;1.0;1.0;1.0;1.0;0.8;0.8
27;0.1;0.1;0.1;0.5;1.0;0.8;0.8;1.0;0.8;0.8
28;0.4;0.2;0.0;0.6;1.0;0.2;0.2;1.0;1.0;1.0
29;0.3;0.1;0.0;0.55;1.0;0.4;0.4;1.0;1.0;1.0
30;0.1;0.0;0.0;0.5;1.0;0.8;0.8;1.0;1.0;1.0
31;0.0;0.1;0.1;0.5;1.0;1.0;1.0;1.0;0.8;0.8
32;0.5;0.2;0.5;0.35;;0.0;0.0;;0.0;0.0
33;0.3;0.1;0.3;0.4;1.0;0.4;0.4;1.0;0.4;0.4
34;0.3;0.3;0.5;0.4;1.0;0.4;0.4;;0.0;0.0
35;0.0;0.0;0.1;0.45;1.0;1.0;1.0;1.0;0.8;0.8
36;0.3;0.5;0.1;0.7;1.0;0.4;0.4;1.0;0.8;0.8
37;0.3;0.5;0.3;0.6;1.0;0.4;0.4;1.0;0.4;0.4
38;0.5;0.5;0.1;0.7;;0.0;0.0;1.0;0.8;0.8
39;0.0;0.1;0.1;0.5;1.0;1.0;1.0;1.0;0.8;0.8
40;0.4;0.2;0.0;0.6;1.0;0.2;0.2;1.0;1.0;1.0
41;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
42;0.4;0.4;0.1;0.65;1.0;0.2;0.2;1.0;0.8;0.8
43;0.5;0.5;0.3;0.6;;0.0;0.0;1.0;0.4;0.4
44;0.0;0.2;0.2;0.5;1.0;1.0;1.0;1.0;0.6;0.6
45;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
46;0.1;0.1;0.0;0.55;1.0;0.8;0.8;1.0;1.0;1.0
47;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
48;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
49;0.2;0.0;0.0;0.5;1.0;0.6;0.6;1.0;1.0;1.0
50;0.0;0.1;0.0;0.55;1.0;1.0;1.0;1.0;1.0;1.0
51;0.1;0.0;0.0;0.5;1.0;0.8;0.8;1.0;1.0;1.0
52;0.0;0.1;0.2;0.45;1.0;1.0;1.0;1.0;0.6;0.6
53;0.0;0.1;0.0;0.55;1.0;1.0;1.0;1.0;1.0;1.0
54;0.2;0.2;0.0;0.6;1.0;0.6;0.6;1.0;1.0;1.0
55;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
56;0.0;0.0;0.2;0.4;1.0;1.0;1.0;1.0;0.6;0.6
57;0.1;0.0;0.1;0.45;1.0;0.8;0.8;1.0;0.8;0.8
58;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
59;0.0;0.2;0.1;0.55;1.0;1.0;1.0;1.0;0.8;0.8
60;0.4;0.5;0.4;0.55;1.0;0.2;0.2;1.0;0.2;0.2
61;0.0;0.2;0.2;0.5;1.0;1.0;1.0;1.0;0.6;0.6
62;0.3;0.3;0.3;0.5;1.0;0.4;0.4;1.0;0.4;0.4
63;0.5;0.4;0.2;0.6;;0.0;0.0;1.0;0.6;0.6
64;0.1;0.3;0.4;0.45;1.0;0.8;0.8;1.0;0.2;0.2
65;0.2;0.3;0.0;0.65;1.0;0.6;0.6;1.0;1.0;1.0
66;0.3;0.1;0.1;0.5;1.0;0.4;0.4;1.0;0.8;0.8
67;0.0;0.1;0.0;0.55;1.0;1.0;1.0;1.0;1.0;1.0
68;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
69;0.4;0.1;0.2;0.45;1.0;0.2;0.2;1.0;0.6;0.6
70;0.1;0.4;0.0;0.7;1.0;0.8;0.8;1.0;1.0;1.0
71;0.5;0.2;0.5;0.35;;0.0;0.0;;0.0;0.0
72;0.0;0.1;0.0;0.55;1.0;1.0;1.0;1.0;1.0;1.0
73;0.2;0.2;0.3;0.45;1.0;0.6;0.6;1.0;0.4;0.4
