criterion_id;Fact;Support;Opposition
0;In Azerbaijan, does the constitution prohibit discrimination based on sexual orientation?;In Azerbaijan, should the constitution prohibit discrimination based on sexual orientation?;In Azerbaijan, should the constitution permit discrimination based on sexual orientation?
1;In Azerbaijan, is sexual orientation explicitly included in employment anti-discrimination legislation?;In Azerbaijan, should sexual orientation be explicitly included in employment anti-discrimination legislation?;In Azerbaijan, should sexual orientation be excluded from employment anti-discrimination legislation?
2;In Azerbaijan, is sexual orientation explicitly included in goods and services anti-discrimination legislation?;In Azerbaijan, should sexual orientation be explicitly included in goods and services anti-discrimination legislation?;In Azerbaijan, should sexual orientation be exluded in goods and services anti-discrimination legislation?
3;In Azerbaijan, is discrimination based on sexual orientation in the field of education prohibited by legislation?;In Azerbaijan, should discrimination based on sexual orientation in the field of education be prohibited by legislation?;In Azerbaijan, should discrimination based on sexual orientation in the field of education be permitted by legislation?
4;In Azerbaijan, is discrimination based on sexual orientation in the field of health prohibited by legislation?;In Azerbaijan, should discrimination based on sexual orientation in the field of health be prohibited by legislation?;In Azerbaijan, should discrimination based on sexual orientation in the field of health be permitted by legislation?
5;In Azerbaijan, are there any legislation or policies that prohibit conversion or reparative practices aimed at changing a minor’s sexual orientation?;In Azerbaijan, should conversion or reparative practices aimed at changing a minor’s sexual orientation be prohibited by legislation or policies?;In Azerbaijan, should conversion or reparative practices aimed at changing a minor’s sexual orientation be permitted by legislation or policies?
6;In Azerbaijan, is there a national human rights institution or equality body explicitly mandated to address and systematically work on issues related to sexual orientation?;In Azerbaijan, should a national human rights institution or equality body be explicitly mandated to address and systematically work on issues related to sexual orientation?;In Azerbaijan, should a national human rights institution or equality body not be mandated to address issues related to sexual orientation?
7;In Azerbaijan, is there an equality action plan that explicitly includes sexual orientation and specific measures for progress?;In Azerbaijan, should there be an equality action plan that explicitly includes sexual orientation and specific measures for progress?;In Azerbaijan, should sexual orientation be excluded from equality action plans?
8;In Azerbaijan, does the constitution prohibit discrimination based on gender identity?;In Azerbaijan, should the constitution prohibit discrimination based on gender identity?;In Azerbaijan, should the constitution permit discrimination based on geneder identity?
9;In Azerbaijan, is gender identity explicitly included in employment anti-discrimination legislation?;In Azerbaijan, should gender identity be explicitly included in employment anti-discrimination legislation?;In Azerbaijan, should gender identity be exluded in employment anti-discrimination legislation?
10;In Azerbaijan, is gender identity explicitly included in goods and services anti-discrimination legislation?;In Azerbaijan, should gender identity be explicitly included in goods and services anti-discrimination legislation?;In Azerbaijan, should gender identity be excluded from goods and services anti-discrimination legislation?
11;In Azerbaijan, is discrimination based on gender identity in the field of education prohibited by legislation?;In Azerbaijan, should discrimination based on gender identity in the field of education be prohibited by legislation?;In Azerbaijan, should discrimination based on gender identity in the field of education be permitted by legislation?
12;In Azerbaijan, is discrimination based on gender identity in the field of health prohibited by legislation?;In Azerbaijan, should discrimination based on gender identity in the field of health be prohibited by legislation?;In Azerbaijan, should discrimination based on gender identity in the field of health be permitted by legislation?
13;In Azerbaijan, are there any legislation or policies that prohibit conversion or reparative practices aimed at changing a minor’s gender identity?;In Azerbaijan, should conversion or reparative practices aimed at changing a minor’s gender identity be prohibited by legislation or policies?;In Azerbaijan, should conversion or reparative practices aimed at changing a minor’s gender identity be permitted by legislation or policies?
14;In Azerbaijan, is there a national human rights institution or equality body explicitly mandated to address and systematically work on issues related to gender identity? (i think you just need one);In Azerbaijan, should a national human rights institution or equality body be explicitly mandated to address issues related to gender identity?;In Azerbaijan, should a national human rights institution or equality body not be mandated to address issues related to gender identity?
15;In Azerbaijan, is there an equality action plan that explicitly includes gender identity and specific measures for progress?;In Azerbaijan, should there be an equality action plan that explicitly includes gender identity and specific measures for progress?;In Azerbaijan, should gender identity be excluded from equality action plans?
16;In Azerbaijan, is gender expression explicitly included in anti-discrimination legislation?;In Azerbaijan, should gender expression explicitly be included in anti-discrimination legislation?;In Azerbaijan, should gender expression be excluded from anti-discrimination legislation?
17;In Azerbaijan, does the constitution prohibit discrimination based on sex characteristics?;In Azerbaijan, should the constitution prohibit discrimination based on sex characteristics?;In Azerbaijan, should the constitution permit discrimination based on sex characteristics?
18;In Azerbaijan, are sex characteristics explicitly included in employment anti-discrimination legislation?;In Azerbaijan, should sex characteristics be explicitly included in employment anti-discrimination legislation?;In Azerbaijan, should sex characteristics be excluded from employment anti-discrimination legislation?
19;In Azerbaijan, are sex characteristics explicitly included in goods and services anti-discrimination legislation?;In Azerbaijan, should sex characteristics be explicitly included in goods and services anti-discrimination legislation?;In Azerbaijan, should sex characteristics be excluded from goods and services anti-discrimination legislation?
20;In Azerbaijan, is discrimination based on sex characteristics in the field of education prohibited by legislation?;In Azerbaijan, should discrimination based on sex characteristics in the field of education be prohibited by legislation?;In Azerbaijan, should discrimination based on sex characteristics in the field of education be permitted by legislation?
21;In Azerbaijan, is discrimination based on sex characteristics in the field of health prohibited by legislation?;In Azerbaijan, should discrimination based on sex characteristics in the field of health be prohibited by legislation?;In Azerbaijan, should discrimination based on sex characteristics in the field of health be permitted by legislation?
22;In Azerbaijan, is there a national human rights institution or equality body explicitly mandated to address and systematically work on issues related to sex characteristics?;In Azerbaijan, should national human rights institutions or equality bodies be explicitly mandated to address issues related to sex characteristics?;In Azerbaijan, should national human rights institutions or equality bodies not be mandated to address issues related to sex characteristics?
23;In Azerbaijan, is there an equality action plan that explicitly includes sex characteristics and specific measures for progress?;In Azerbaijan, should there be an equality action plan that explicitly includes gender identity and specific measures for progress?;In Azerbaijan, should sex characteristics be excluded from equality action plans?
24;In Azerbaijan, is donating blood or any kind of bodily tissues for lgbti people based on their sexual orientation or gender identity free from legislative or administrative ban? ;In Azerbaijan, should donating blood or any kind of bodily tissues for lgbti people based on their sexual orientation or gender identity free from legislative or administrative ban? ;In Azerbaijan, should donating blood or any kind of bodily tissues for lgbti people based on their sexual orientation or gender identity be subjected to legislative or administrative ban? 
25;In Azerbaijan, are same-sex couples be allowed to marry with the same level of rights as married different-sex couples?;In Azerbaijan, should same-sex couples be allowed to marry with the same level of rights as married different-sex couples?;In Azerbaijan, should same-sex couples not be allowed to marry with the same level of rights as married different-sex couples?
26;In Azerbaijan, are same-sex couples allowed to enter a registered partnership/civil partnership and obtain the same level of rights as they would if they were married?;In Azerbaijan, should same-sex couples be allowed to enter a registered partnership/civil partnership and obtain the same level of rights as they would if they were married?;In Azerbaijan, should same-sex couples not be allowed to enter a registered partnership/civil partnership and obtain the same level of rights as they would if they were married?
27;In Azerbaijan, are same-sex couples allowed to enter a registered partnership/civil partnership?;In Azerbaijan, should same-sex couples be allowed to enter a registered partnership/civil partnership?;In Azerbaijan, should same-sex couples not be allowed to enter a registered partnership/civil partnership?
28;In Azerbaijan, are same-sex couples included in legislation or legal measures on cohabitation?;In Azerbaijan, should same-sex couples be included in legislation or legal measures on cohabitation?;In Azerbaijan, should same-sex couples be excluded from legislation or legal measures on cohabitation?
29;In Azerbaijan, is there no constitutional definition of marriage as being only a union between a man and a woman?;In Azerbaijan, should there be no constitutional definition of marriage as being only a union between a man and a woman?;In Azerbaijan, should there be a constitutional definition of marriage as being only a union between a man and a woman?
30;In Azerbaijan, are same-sex couples allowed to legally apply for joint adoption?;In Azerbaijan, should same-sex couples be allowed to apply for joint adoption legally?;In Azerbaijan, should same-sex couples not be allowed to apply for joint adoption legally?
