criterion_id;Fact;Support;Opposition;Stance;Fact Coherence;Fact Validity;Fact Weight coherence by validity;Stance Coherence;Stance Validity;Stance Weight coherence by validity
0;1.0;0.8;0.0;0.9;1.0;1.0;1.0;1.0;1.0;1.0
1;1.0;0.8;0.1;0.85;1.0;1.0;1.0;1.0;0.8;0.8
2;1.0;0.7;0.0;0.85;1.0;1.0;1.0;1.0;1.0;1.0
3;1.0;0.9;0.0;0.95;1.0;1.0;1.0;1.0;1.0;1.0
4;1.0;0.7;0.0;0.85;1.0;1.0;1.0;1.0;1.0;1.0
5;1.0;0.5;0.0;0.75;1.0;1.0;1.0;1.0;1.0;1.0
6;1.0;0.5;0.0;0.75;1.0;1.0;1.0;1.0;1.0;1.0
7;1.0;1.0;0.5;0.75;1.0;1.0;1.0;;0.0;0.0
8;0.8;0.5;0.5;0.5;0.36;1.0;0.36;;0.0;0.0
9;1.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
10;1.0;0.5;0.3;0.6;1.0;1.0;1.0;1.0;0.4;0.4
11;1.0;0.5;0.2;0.65;1.0;1.0;1.0;1.0;0.6;0.6
12;1.0;0.5;0.1;0.7;1.0;1.0;1.0;1.0;0.8;0.8
13;0.6;0.6;0.5;0.55;0.04;1.0;0.04;;0.0;0.0
14;1.0;0.5;0.0;0.75;1.0;1.0;1.0;1.0;1.0;1.0
15;1.0;0.7;0.5;0.6;1.0;1.0;1.0;;0.0;0.0
16;1.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
17;1.0;0.5;0.0;0.75;1.0;1.0;1.0;1.0;1.0;1.0
18;1.0;0.5;0.0;0.75;1.0;1.0;1.0;1.0;1.0;1.0
19;1.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
20;1.0;0.6;0.0;0.8;1.0;1.0;1.0;1.0;1.0;1.0
21;1.0;0.5;0.0;0.75;1.0;1.0;1.0;1.0;1.0;1.0
22;1.0;0.5;1.0;0.25;1.0;1.0;1.0;1.0;1.0;1.0
23;1.0;0.7;0.5;0.6;1.0;1.0;1.0;;0.0;0.0
24;1.0;0.7;0.4;0.65;1.0;1.0;1.0;1.0;0.2;0.2
25;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
26;0.2;0.9;0.0;0.95;0.36;1.0;0.36;1.0;1.0;1.0
27;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
28;1.0;0.5;0.0;0.75;1.0;1.0;1.0;1.0;1.0;1.0
29;0.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
30;1.0;0.6;0.0;0.8;1.0;1.0;1.0;1.0;1.0;1.0
31;1.0;0.7;0.0;0.85;1.0;1.0;1.0;1.0;1.0;1.0
32;0.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
33;0.2;1.0;0.5;0.75;0.36;1.0;0.36;;0.0;0.0
34;1.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
35;0.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
36;1.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
37;1.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
38;1.0;0.9;0.5;0.7;1.0;1.0;1.0;;0.0;0.0
39;1.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
40;1.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
41;1.0;0.9;0.5;0.7;1.0;1.0;1.0;;0.0;0.0
42;1.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
43;1.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
44;1.0;1.0;0.2;0.9;1.0;1.0;1.0;1.0;0.6;0.6
45;0.8;1.0;0.2;0.9;0.36;1.0;0.36;1.0;0.6;0.6
46;1.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
47;1.0;0.5;1.0;0.25;1.0;1.0;1.0;1.0;1.0;1.0
48;0.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
49;0.2;0.6;0.9;0.35;0.36;1.0;0.36;1.0;0.8;0.8
50;1.0;0.5;0.0;0.75;1.0;1.0;1.0;1.0;1.0;1.0
51;0.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
52;1.0;1.0;0.5;0.75;1.0;1.0;1.0;;0.0;0.0
53;1.0;0.9;0.0;0.95;1.0;1.0;1.0;1.0;1.0;1.0
54;1.0;1.0;0.1;0.95;1.0;1.0;1.0;1.0;0.8;0.8
55;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
56;0.4;0.8;0.0;0.9;0.04;1.0;0.04;1.0;1.0;1.0
57;0.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
58;0.8;0.5;0.5;0.5;0.36;1.0;0.36;;0.0;0.0
59;0.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
60;1.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
61;1.0;0.9;0.0;0.95;1.0;1.0;1.0;1.0;1.0;1.0
62;0.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
63;0.0;0.9;0.0;0.95;1.0;1.0;1.0;1.0;1.0;1.0
64;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
65;1.0;1.0;0.7;0.65;1.0;1.0;1.0;1.0;0.4;0.4
66;0.0;0.8;0.4;0.7;1.0;1.0;1.0;1.0;0.2;0.2
67;0.2;1.0;0.0;1.0;0.36;1.0;0.36;1.0;1.0;1.0
68;0.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
69;0.0;0.1;0.5;0.3;1.0;1.0;1.0;;0.0;0.0
70;1.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
71;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
72;1.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
73;0.0;0.9;0.8;0.55;1.0;1.0;1.0;1.0;0.6;0.6
74;0.2;0.5;0.5;0.5;0.36;1.0;0.36;;0.0;0.0
75;0.0;0.4;0.0;0.7;1.0;1.0;1.0;1.0;1.0;1.0
