criterion_id;Fact;Support;Opposition
0;Constituția interzice discriminarea bazată pe orientarea sexuală?;ar trebui constituția să interzică discriminarea bazată pe orientarea sexuală?;ar trebui constituția să permită discriminarea pe baza orientării sexuale?
1;orientarea sexuală este inclusă în mod explicit în legislația antidiscriminare la angajare?;ar trebui ca orientarea sexuală să fie inclusă în mod explicit în legislația antidiscriminare la angajare?;ar trebui ca orientarea sexuală să fie exclusă din legislația antidiscriminare la angajare?
2;orientarea sexuală este inclusă în mod explicit în legislația anti-discriminare privind bunurile și serviciile?;ar trebui ca orientarea sexuală să fie inclusă în mod explicit în legislația antidiscriminare privind bunurile și serviciile?;ar trebui ca orientarea sexuală să fie exclusă din legislația anti-discriminare în domeniul bunurilor și serviciilor?
3;discriminarea bazată pe orientarea sexuală în domeniul educației este interzisă de legislație?;ar trebui să fie interzisă prin lege discriminarea bazată pe orientarea sexuală în domeniul educației?;ar trebui ca discriminarea bazată pe orientarea sexuală în domeniul educației să fie permisă prin legislație?
4;discriminarea bazată pe orientarea sexuală în domeniul sănătății este interzisă de legislație?;ar trebui ca discriminarea bazată pe orientarea sexuală în domeniul sănătății să fie interzisă prin legislație?;ar trebui ca discriminarea bazată pe orientarea sexuală în domeniul sănătății să fie permisă prin legislație?
5;există legislație sau politici care interzic conversia sau practicile reparatorii menite să schimbe orientarea sexuală a unui minor?;ar trebui să fie interzise prin legislație sau politici practicile de conversie sau reparatorii care vizează schimbarea orientării sexuale a unui minor?;ar trebui să fie permise prin legislație sau politici practicile de conversie sau reparatorii care vizează schimbarea orientării sexuale a unui minor?
6;există o instituție națională pentru drepturile omului sau un organism pentru egalitatea de șanse mandatat în mod explicit să abordeze și să lucreze în mod sistematic asupra problemelor legate de orientarea sexuală?;ar trebui ca o instituție națională pentru drepturile omului sau un organism pentru egalitate să fie mandatat în mod explicit să abordeze și să se ocupe în mod sistematic de problemele legate de orientarea sexuală?;o instituție națională pentru drepturile omului sau un organism pentru egalitate nu ar trebui să fie mandatat să abordeze aspecte legate de orientarea sexuală?
7;există un plan de acțiune pentru egalitate care include în mod explicit orientarea sexuală și măsuri specifice pentru progres?;ar trebui să existe un plan de acțiune pentru egalitate care să includă în mod explicit orientarea sexuală și măsuri specifice pentru progres?;ar trebui ca orientarea sexuală să fie exclusă din planurile de acțiune pentru egalitate?
8;Constituția interzice discriminarea bazată pe identitatea de gen?;ar trebui constituția să interzică discriminarea bazată pe identitatea de gen?;ar trebui constituția să permită discriminarea bazată pe identitatea de gen?
9;identitatea de gen este inclusă în mod explicit în legislația antidiscriminare la angajare?;ar trebui ca identitatea de gen să fie inclusă în mod explicit în legislația antidiscriminare la angajare?;ar trebui ca identitatea de gen să fie exclusă din legislația antidiscriminare la angajare?
