Category,Subcategory,Fact,Support,Opposition
Equality & non-discrimination,Constitution (sexual orientation),"У Босни и Херцеговини, да ли устав забрањује дискриминацију на основу сексуалне оријентације?","У Босни и Херцеговини, да ли устав треба да забрани дискриминацију на основу сексуалне оријентације?","У Босни и Херцеговини, да ли би устав требало да дозволи дискриминацију на основу сексуалне оријентације?"
Equality & non-discrimination,Employment (sexual orientation),"У Босни и Херцеговини, да ли је сексуална оријентација експлицитно укључена у законодавство о забрани дискриминације у запошљавању?","У Босни и Херцеговини, да ли би сексуална оријентација требало експлицитно да буде укључена у законодавство о забрани дискриминације у запошљавању?","У Босни и Херцеговини, да ли сексуална оријентација треба да буде искључена из законодавства о забрани дискриминације у запошљавању?"
Equality & non-discrimination,Goods & services (sexual orientation),"У Босни и Херцеговини, да ли је сексуална оријентација експлицитно укључена у законодавство о забрани дискриминације у пружању роба и услуга?","У Босни и Херцеговини, да ли би сексуална оријентација требало експлицитно да буде укључена у законодавство о забрани дискриминације у пружању роба и услуга?","У Босни и Херцеговини, да ли би сексуална оријентација требало да буде искључена из законодавства о забрани дискриминације у области робе и услуга?"
Equality & non-discrimination,Education (sexual orientation),Да ли је у Босни и Херцеговини дискриминација на основу сексуалне оријентације у области образовања забрањена законодавством?,"У Босни и Херцеговини, да ли законодавство треба да забрани дискриминацију на основу сексуалне оријентације у области образовања?","У Босни и Херцеговини, да ли законодавство треба да дозволи дискриминацију на основу сексуалне оријентације у области образовања?"
Equality & non-discrimination,Health (sexual orientation),Да ли је у Босни и Херцеговини дискриминација на основу сексуалне оријентације у области здравства забрањена законодавством?,"У Босни и Херцеговини, да ли законодавство треба да забрани дискриминацију на основу сексуалне оријентације у области здравља?","У Босни и Херцеговини, да ли законодавство треба да дозволи дискриминацију на основу сексуалне оријентације у области здравства?"
Equality & non-discrimination,Conversion practices ban (sexual orientation),"У Босни и Херцеговини, да ли постоје неки закони или политике које забрањују конверзионе или репаративне праксе усмерене на промену сексуалне оријентације малолетника?","У Босни и Херцеговини, да ли би законодавством или политикама требало забранити праксе конверзије или репаративне терапије усмерене на промену сексуалне оријентације малолетника?","У Босни и Херцеговини, да ли законодавство или политике треба да дозволе конверзионе или репаративне праксе усмерене на промену сексуалне оријентације малолетника?"
Equality & non-discrimination,Equality body mandate (sexual orientation),"У Босни и Херцеговини, да ли постоји национална институција за људска права или тело за равноправност које је експлицитно овлашћено да се бави и систематски ради на питањима везаним за сексуалну оријентацију?","У Босни и Херцеговини, да ли национална институција за људска права или тело за равноправност треба да има изричито мандат да се бави и систематски ради на питањима везаним за сексуалну оријентацију?","У Босни и Херцеговини, да ли национална институција за људска права или тело за равноправност не би требало да буду задужени за решавање питања везаних за сексуалну оријентацију?"
Equality & non-discrimination,Equality action plan (sexual orientation),"У Босни и Херцеговини, да ли постоји акциони план за равноправност који експлицитно обухвата сексуалну оријентацију и конкретне мере за напредак?","У Босни и Херцеговини, да ли би требало да постоји акциони план за равноправност који експлицитно обухвата сексуалну оријентацију и конкретне мере за напредак?","У Босни и Херцеговини, да ли сексуална оријентација треба да буде искључена из акционих планова за равноправност?"
Equality & non-discrimination,Constitution (gender identity),"У Босни и Херцеговини, да ли устав забрањује дискриминацију на основу родног идентитета?","У Босни и Херцеговини, да ли устав треба да забрани дискриминацију на основу родног идентитета?","У Босни и Херцеговини, да ли би устав требало да дозволи дискриминацију на основу родног идентитета?"
Equality & non-discrimination,Employment (gender identity),"У Босни и Херцеговини, да ли је родни идентитет експлицитно укључен у законодавство о забрани дискриминације у запошљавању?","У Босни и Херцеговини, да ли би требало експлицитно укључити родни идентитет у законодавство о забрани дискриминације у запошљавању?","У Босни и Херцеговини, да ли би требало искључити родни идентитет из законодавства о забрани дискриминације у запошљавању?"
Equality & non-discrimination,Goods & services (gender identity),"У Босни и Херцеговини, да ли је родни идентитет експлицитно укључен у законодавство о забрани дискриминације у пружању роба и услуга?","У Босни и Херцеговини, да ли би требало експлицитно укључити родни идентитет у законодавство о забрани дискриминације у области робе и услуга?","У Босни и Херцеговини, да ли треба искључити родни идентитет из законодавства о забрани дискриминације у пружању роба и услуга?"
Equality & non-discrimination,Education (gender identity),Да ли је у Босни и Херцеговини дискриминација на основу родног идентитета у области образовања забрањена законодавством?,"У Босни и Херцеговини, да ли законодавство треба да забрани дискриминацију на основу родног идентитета у области образовања?","У Босни и Херцеговини, да ли законодавство треба да дозволи дискриминацију на основу родног идентитета у области образовања?"
Equality & non-discrimination,Health (gender identity),Да ли је у Босни и Херцеговини дискриминација на основу родног идентитета у области здравља забрањена законодавством?,"У Босни и Херцеговини, да ли законодавство треба да забрани дискриминацију на основу родног идентитета у области здравља?","У Босни и Херцеговини, да ли законодавство треба да дозволи дискриминацију на основу родног идентитета у области здравства?"
Equality & non-discrimination,Conversion practices ban (gender identity),"У Босни и Херцеговини, да ли постоје неки закони или политике које забрањују конверзионе или репаративне праксе усмерене на промену родног идентитета малолетника?","У Босни и Херцеговини, да ли би законодавством или политикама требало забранити праксе конверзије или репаративне терапије усмерене на промену родног идентитета малолетника?","У Босни и Херцеговини, да ли би законодавство или политике требало да дозволе праксе конверзије или репаративне терапије усмерене на промену родног идентитета малолетника?"
Equality & non-discrimination,Equality body mandate (gender identity),"У Босни и Херцеговини, да ли постоји национална институција за људска права или тело за равноправност које је експлицитно овлашћено да се бави и систематски ради на питањима везаним за родни идентитет? (мислим да вам треба само једно)","У Босни и Херцеговини, да ли би национална институција за људска права или тело за равноправност требало да има изричито мандат да се бави питањима везаним за родни идентитет?","У Босни и Херцеговини, да ли национална институција за људска права или тело за равноправност не би требало да буду задужени за решавање питања везаних за родни идентитет?"
Equality & non-discrimination,Equality action plan (gender identity),"У Босни и Херцеговини, да ли постоји акциони план за равноправност који експлицитно обухвата родни идентитет и конкретне мере за напредак?","У Босни и Херцеговини, да ли би требало да постоји акциони план за равноправност који експлицитно обухвата родни идентитет и конкретне мере за напредак?","У Босни и Херцеговини, да ли би родни идентитет требало искључити из акционих планова за равноправност?"
Equality & non-discrimination,Law (gender expression),"У Босни и Херцеговини, да ли је родна изражајност експлицитно укључена у законодавство против дискриминације?","У Босни и Херцеговини, да ли би изражавање пола требало експлицитно укључити у законодавство против дискриминације?","У Босни и Херцеговини, да ли би изражавање пола требало искључити из законодавства против дискриминације?"
Equality & non-discrimination,Constitution (sex characteristics),"У Босни и Херцеговини, да ли устав забрањује дискриминацију на основу полних карактеристика?","У Босни и Херцеговини, да ли устав треба да забрани дискриминацију на основу полних карактеристика?","У Босни и Херцеговини, да ли би устав требало да дозволи дискриминацију на основу полних карактеристика?"
Equality & non-discrimination,Employment (sex characteristics),"У Босни и Херцеговини, да ли су сексуалне карактеристике експлицитно укључене у законодавство о забрани дискриминације у запошљавању?","У Босни и Херцеговини, да ли би требало експлицитно укључити сексуалне карактеристике у законодавство о забрани дискриминације у запошљавању?","У Босни и Херцеговини, да ли би требало искључити сексуалне карактеристике из законодавства о забрани дискриминације у запошљавању?"
Equality & non-discrimination,Goods & services (sex characteristics),"У Босни и Херцеговини, да ли су сексуалне карактеристике експлицитно укључене у законодавство о забрани дискриминације у пружању роба и услуга?","У Босни и Херцеговини, да ли би требало експлицитно укључити сексуалне карактеристике у законодавство о забрани дискриминације у пружању роба и услуга?","У Босни и Херцеговини, да ли би требало искључити полне карактеристике из законодавства о антидискриминацији робе и услуга?"
Equality & non-discrimination,Education (sex characteristics),Да ли је у Босни и Херцеговини дискриминација на основу полних карактеристика у области образовања забрањена законодавством?,"У Босни и Херцеговини, да ли законодавством треба забранити дискриминацију на основу полних карактеристика у области образовања?","У Босни и Херцеговини, да ли законодавство треба да дозволи дискриминацију на основу полних карактеристика у области образовања?"
Equality & non-discrimination,Health (sex characteristics),Да ли је у Босни и Херцеговини дискриминација на основу полних карактеристика у области здравља забрањена законодавством?,"У Босни и Херцеговини, да ли законодавство треба да забрани дискриминацију на основу полних карактеристика у области здравља?","У Босни и Херцеговини, да ли законодавство треба да дозволи дискриминацију на основу полних карактеристика у области здравља?"
Equality & non-discrimination,Equality body mandate (sex characteristics),"У Босни и Херцеговини, да ли постоји национална институција за људска права или тело за равноправност које има изричит мандат да се бави и систематски ради на питањима везаним за полне карактеристике?","У Босни и Херцеговини, да ли националним институцијама за људска права или телима за равноправност треба изричито доделити мандат да се баве питањима везаним за полне карактеристике?","У Босни и Херцеговини, да ли националним институцијама за људска права или телима за равноправност не би требало да буде поверено да се баве питањима која се односе на полне карактеристике?"
Equality & non-discrimination,Equality action plan (sex characteristics),"У Босни и Херцеговини, да ли постоји акциони план за равноправност који експлицитно обухвата полне карактеристике и конкретне мере за напредак?","У Босни и Херцеговини, да ли би требало да постоји акциони план за равноправност који експлицитно обухвата родни идентитет и конкретне мере за напредак?","У Босни и Херцеговини, да ли би сексуалне карактеристике требало искључити из акционих планова за равноправност?"
Equality & non-discrimination,Blood donations,"У Босни и Херцеговини, да ли је давање крви или било каквих ткива тела за ЛГБТИ особе на основу њихове сексуалне оријентације или родног идентитета ослобођено законодавне или административне забране? ","У Босни и Херцеговини, да ли би давање крви или било каквих ткива људима ЛГБТИ на основу њихове сексуалне оријентације или родног идентитета требало да буде ослобођено законодавне или административне забране? ","У Босни и Херцеговини, да ли би давање крви или било каквих ткива људима ЛГБТИ због њихове сексуалне оријентације или родног идентитета требало бити предмет законодавне или административне забране? "
Family,Marriage equality,"У Босни и Херцеговини, да ли се истополним паровима дозвољава да се венчају са истим нивоом права као и венчани разлитополни парови?","У Босни и Херцеговини, да ли би истополним паровима требало дозволити да се венчају са истим правима као и супротполним брачним паровима?","У Босни и Херцеговини, да ли истополним паровима не би требало дозволити да се венчају са истим нивоима права као и венчани разлитополни парови?"
Family,Registered partnership (similar rights to marriage),"У Босни и Херцеговини, да ли истополне парове дозвољавају да уђу у регистровану заједницу/цивилну заједницу и стекну исти ниво права као да су у браку?","У Босни и Херцеговини, да ли би истополним паровима требало дозволити да успоставе регистровани или грађански партнерски однос и стекну исту меру права као да су у браку?","У Босни и Херцеговини, да ли истополним паровима не би требало дозволити да успоставе регистровани или грађански партнерски однос и стекну исту меру права као да су у браку?"
Family,Registered partnership (limited rights),"У Босни и Херцеговини, да ли истополне парове дозвољавају да уђу у регистровану заједницу/цивилну заједницу?","У Босни и Херцеговини, да ли би истополним паровима требало дозволити успостављање регистрованог партнерства/грађанског партнерства?","У Босни и Херцеговини, да ли истополним паровима не би требало бити дозвољено да уђу у регистровану заједницу/грађанско партнерство?"
Family,Cohabitation,"У Босни и Херцеговини, да ли су истополне парове обухваћене законодавством или правним мерама о заједничком животу?","У Босни и Херцеговини, да ли би истополне парове требало укључити у законодавство или правне мере о заједничком животу?","У Босни и Херцеговини, да ли би истополне парове требало искључити из законодавства или правних мера о заједничком животу?"
Family,No constitutional limitation on marriage,У Босни и Херцеговини не постоји уставно дефинисање брака као јединства само између мушкарца и жене?,"У Босни и Херцеговини, да ли би требало да у уставу не постоји дефиниција брака као заједнице искључиво мушкарца и жене?","У Босни и Херцеговини, да ли би у уставу требало дефинисати брак само као заједницу мушкарца и жене?"
Family,Joint adoption,"У Босни и Херцеговини, да ли истополне парове законски дозвољава да поднесу заједнички захтев за усвајање?","У Босни и Херцеговини, да ли би истополним паровима требало законски дозволити да поднесу захтев за заједничко усвајање?","У Босни и Херцеговини, да ли истополним паровима не би требало законски дозволити да поднесу захтев за заједничко усвајање?"
Family,Second-parent adoption,"У Босни и Херцеговини, да ли истополне парове законски дозвољава да поднесу захтев за усвајање од стране другог родитеља?","У Босни и Херцеговини, да ли би истополним паровима требало дозволити да поднесу захтев за усвајање од стране другог родитеља?","У Босни и Херцеговини, да ли истополним паровима не би требало бити дозвољено да поднесу захтев за усвајање од стране другог родитеља?"
Family,Automatic co-parent recognition,"У Босни и Херцеговини, да ли се деца рођена у паровима аутоматски и законски признају од рођења као деца оба родитеља, без обзира на сексуалну оријентацију и/или родни идентитет партнера?","У Босни и Херцеговини, да ли би дјеца рођена у паровима требало аутоматски да буду правно призната од рођења као дјеца оба родитеља, без обзира на сексуалну оријентацију и/или родни идентитет партнера?","У Босни и Херцеговини, да ли дјеца рођена у паровима не би требало да буду аутоматски и законски призната од рођења као дјеца оба родитеља, у зависности од сексуалне оријентације и/или родног идентитета партнера?"
