Category;Subcategory;Fact;Support;Opposition
Equality & non-discrimination;Constitution (sexual orientation);;;
Equality & non-discrimination;Employment (sexual orientation);;;
Equality & non-discrimination;Goods & services (sexual orientation);;;
Equality & non-discrimination;Education (sexual orientation);;;
Equality & non-discrimination;Health (sexual orientation);;;
Equality & non-discrimination;Conversion practices ban (sexual orientation);;;
Equality & non-discrimination;Equality body mandate (sexual orientation);;;
Equality & non-discrimination;Equality action plan (sexual orientation);;;
Equality & non-discrimination;Constitution (gender identity);;;
Equality & non-discrimination;Employment (gender identity);;;
Equality & non-discrimination;Goods & services (gender identity);;;
Equality & non-discrimination;Education (gender identity);;;
Equality & non-discrimination;Health (gender identity);;;
Equality & non-discrimination;Conversion practices ban (gender identity);;;
Equality & non-discrimination;Equality body mandate (gender identity);;;
Equality & non-discrimination;Equality action plan (gender identity);;;
Equality & non-discrimination;Law (gender expression);;;
Equality & non-discrimination;Constitution (sex characteristics);;;
Equality & non-discrimination;Employment (sex characteristics);;;
Equality & non-discrimination;Goods & services (sex characteristics);;;
Equality & non-discrimination;Education (sex characteristics);;;
Equality & non-discrimination;Health (sex characteristics);;;
Equality & non-discrimination;Equality body mandate (sex characteristics);;;
Equality & non-discrimination;Equality action plan (sex characteristics);;;
Equality & non-discrimination;Blood donations;;;
Family;Marriage equality;;;
Family;Registered partnership (similar rights to marriage);;;
Family;Registered partnership (limited rights);;;
Family;Cohabitation;;;
Family;No constitutional limitation on marriage;;;
Family;Joint adoption;;;
Family;Second-parent adoption;;;
Family;Automatic co-parent recognition;;;
Family;Medically assisted insemination (couples);;;
Family;Medically assisted insemination (singles);;;
Family;Recognition of trans parenthood;;;
Hate crime & hate speech;Hate crime law (sexual orientation);;;
Hate crime & hate speech;Hate speech law (sexual orientation);;;
Hate crime & hate speech;Policy tackling hatred (sexual orientation);;;
Hate crime & hate speech;Hate crime law (gender identity);;;
Hate crime & hate speech;Hate speech law (gender identity);;;
Hate crime & hate speech;Policy tackling hatred (gender identity);;;
Hate crime & hate speech;Hate crime law (intersex);;;
Hate crime & hate speech;Hate speech law (sex characteristics);;;
Hate crime & hate speech;Policies tackling hatred (intersex);;;
Legal gender recognition;No legal framework making legal gender recognition impossible;;;
Legal gender recognition;Existence of legal measures;;;
Legal gender recognition;Existence of administrative procedures;;;
Legal gender recognition;Name change;;;
Legal gender recognition;No age restriction (Name change);;;
Legal gender recognition;Self-determination;;;
Legal gender recognition;Non-binary recognition;;;
Legal gender recognition;No 'Gender Identity Disorder' diagnosis/psychological opinion required;;;
Legal gender recognition;No compulsory medical intervention required;;;
Legal gender recognition;No compulsory surgical intervention required;;;
Legal gender recognition;No compulsory sterilisation required;;;
Legal gender recognition;No compulsory divorce required;;;
Legal gender recognition;No age restriction;;;
Legal gender recognition;Legal gender recognition procedures exist for minors;;;
Legal gender recognition;Depathologisation;;;
Intersex bodily integrity;Prohibition of medical intervention without informed consent (intersex);;;
Intersex bodily integrity;Universality of prohibition of medical interventions;;;
Intersex bodily integrity;Existence of effective monitoring mechanism;;;
Intersex bodily integrity;Access to justice for victims and reparations;;;
Civil society space;Public event held, no state obstruction of freedom of assembly (last 3 years);;;
Civil society space;Public event held, there is enough protection (last 3 years);;;
Civil society space;Associations operate, no state obstruction of freedom association (last 3 years);;;
Civil society space;LGBTI human rights defenders are not at risk;;;
Civil society space;No laws limiting external funding;;;
Civil society space;No laws limiting freedom of expression (national/local);;;
Asylum;Asylum law (sexual orientation);;;
Asylum;Other positive measures (sexual orientation);;;
Asylum;Asylum law (gender identity);;;
Asylum;Other positive measures (gender identity);;;
Asylum;Asylum law (intersex);;;
Asylum;Other positive measures (intersex);;;
