criterion_id;Fact;Support;Opposition;Stance;Fact Coherence;Fact Validity;Fact Weight coherence by validity;Stance Coherence;Stance Validity;Stance Weight coherence by validity
0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
1;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
2;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
3;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
4;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
5;0.6;0.4;0.0;0.7;0.04;1.0;0.04;1.0;1.0;1.0
6;0.2;1.0;0.6;0.7;0.36;1.0;0.36;0.04;1.0;0.04
7;1.0;1.0;0.8;0.6;1.0;1.0;1.0;0.36;1.0;0.36
8;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
9;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
10;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
11;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
12;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
13;0.6;0.6;0.6;0.5;0.04;1.0;0.04;0.04;1.0;0.04
14;1.0;0.8;0.4;0.7;1.0;1.0;1.0;0.04;1.0;0.04
15;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
16;1.0;1.0;0.6;0.7;1.0;1.0;1.0;0.04;1.0;0.04
17;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
18;1.0;1.0;0.8;0.6;1.0;1.0;1.0;0.36;1.0;0.36
19;0.8;1.0;1.0;0.5;0.36;1.0;0.36;1.0;1.0;1.0
20;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
21;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
22;1.0;0.6;0.6;0.5;1.0;1.0;1.0;0.04;1.0;0.04
23;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
24;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
25;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
26;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
27;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
28;0.8;1.0;1.0;0.5;0.36;1.0;0.36;1.0;1.0;1.0
29;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
30;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
31;1.0;1.0;0.2;0.9;1.0;1.0;1.0;0.36;1.0;0.36
32;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
