criterion_id;Fact;Support;Opposition;Stance;Fact Coherence;Fact Validity;Fact Weight coherence by validity;Stance Coherence;Stance Validity;Stance Weight coherence by validity
0;0.6;0.4;0.6;0.4;0.04;1.0;0.04;0.04;1.0;0.04
1;0.0;0.8;0.8;0.5;1.0;1.0;1.0;0.36;1.0;0.36
2;0.6;0.8;0.4;0.7;0.04;1.0;0.04;0.04;1.0;0.04
3;0.4;0.4;0.8;0.3;0.04;1.0;0.04;0.36;1.0;0.36
4;0.4;0.2;0.2;0.5;0.04;1.0;0.04;0.36;1.0;0.36
5;0.8;0.6;0.0;0.8;0.36;1.0;0.36;1.0;1.0;1.0
6;0.4;0.6;0.6;0.5;0.04;1.0;0.04;0.04;1.0;0.04
7;0.2;0.0;0.4;0.3;0.36;1.0;0.36;0.04;1.0;0.04
8;0.6;0.6;0.8;0.4;0.04;1.0;0.04;0.36;1.0;0.36
9;0.8;0.6;0.0;0.8;0.36;1.0;0.36;1.0;1.0;1.0
10;0.4;1.0;0.4;0.8;0.04;1.0;0.04;0.04;1.0;0.04
11;0.8;0.4;1.0;0.2;0.36;1.0;0.36;1.0;1.0;1.0
12;0.8;0.6;0.6;0.5;0.36;1.0;0.36;0.04;1.0;0.04
13;0.8;0.8;0.6;0.6;0.36;1.0;0.36;0.04;1.0;0.04
14;1.0;0.8;0.8;0.5;1.0;1.0;1.0;0.36;1.0;0.36
15;0.4;1.0;0.2;0.9;0.04;1.0;0.04;0.36;1.0;0.36
16;0.8;0.8;0.8;0.5;0.36;1.0;0.36;0.36;1.0;0.36
17;0.0;0.4;0.2;0.6;1.0;1.0;1.0;0.36;1.0;0.36
18;0.4;0.4;0.4;0.5;0.04;1.0;0.04;0.04;1.0;0.04
19;0.4;0.2;0.0;0.6;0.04;1.0;0.04;1.0;1.0;1.0
20;0.4;0.8;0.8;0.5;0.04;1.0;0.04;0.36;1.0;0.36
21;0.4;0.2;0.0;0.6;0.04;1.0;0.04;1.0;1.0;1.0
22;0.2;0.8;0.2;0.8;0.36;1.0;0.36;0.36;1.0;0.36
23;0.0;1.0;0.2;0.9;1.0;1.0;1.0;0.36;1.0;0.36
24;0.8;0.2;0.4;0.4;0.36;1.0;0.36;0.04;1.0;0.04
