Category;Subcategory;Fact;Support;Opposition
Equality & non-discrimination;Constitution (sexual orientation);An gcuireann an bhunreacht cosc ar idirdhealú ar bhonn gnéaschlaonta?;ar cheart don bhunreacht cosc a chur ar idirdhealú ar bhonn gnéaschlaonta?;Ar cheart don bhunreacht idirdhealú ar bhonn gnéaschlaonta a cheadú?
Equality & non-discrimination;Employment (sexual orientation);An bhfuil gnéaschlaonadh san áireamh go follasach i reachtaíocht fostaíochta frith-idirdhealaithe?;Ar cheart gnéaschlaonadh a chur san áireamh go sainráite i reachtaíocht fostaíochta frith-idirdhealaithe?;ar cheart gnéaschlaonadh a eisiamh ó reachtaíocht fostaíochta frith-idirdhealaithe?
Equality & non-discrimination;Goods & services (sexual orientation);An bhfuil gnéaschlaonadh san áireamh go follasach i reachtaíocht frith-idirdhealaithe maidir le hearraí agus seirbhísí?;Ar cheart gnéaschlaonadh a chur go sainráite san reachtaíocht frith-idirdhealaithe maidir le hearraí agus seirbhísí?;Ar cheart gnéaschlaonadh a eisiamh as reachtaíocht frith-idirdhealaithe i leith earraí agus seirbhísí?
Equality & non-discrimination;Education (sexual orientation);An bhfuil séachrán ar bhonn gnéaschlaonta i réimse an oideachais toirmiscthe le reachtaíocht?;ar cheart dlíthe a achtú chun cosc a chur ar idirdhealú ar bhonn gnéaschlaonta i réimse an oideachais?;Ar cheart go gceadófaí le reachtaíocht idirdhealú ar bhonn gnéaschlaonta i réimse an oideachais?
Equality & non-discrimination;Health (sexual orientation);An bhfuil idirdhealú ar bhonn gnéaschlaonta i réimse na sláinte toirmiscthe ag an reachtaíocht?;ar cheart idirdhealú ar bhonn gnéaschlaonta i réimse na sláinte a chosc le reachtaíocht?;ar cheart dlíthe cead a thabhairt do leithcheal ar bhonn gnéaschlaonta i réimse na sláinte?
Equality & non-discrimination;Conversion practices ban (sexual orientation);An bhfuil aon reachtaíocht nó polasaithe ann a choisceann cleachtais chomhthiontaithe nó athshlánaithe atá dírithe ar gheanmnaí a athrú?;ar cheart cosc a chur le reachtaíocht nó le polasaithe ar chleachtais chomhshó nó leasaitheach atá dírithe ar ghéireas gnéis mionaoiseora a athrú?;ar cheart cead a thabhairt le reachtaíocht nó le polasaithe do chleachtais chomhshó nó leasaitheacha atá dírithe ar ghéarthreoirghnéaschlaonadh mionaoiseach a athrú?
Equality & non-discrimination;Equality body mandate (sexual orientation);An bhfuil institiúid náisiúnta um chearta an duine nó comhlacht comhionannais ann a bhfuil sainordú sainráite aige chun aghaidh a thabhairt ar shaincheisteanna a bhaineann le treoirlínte gnéis agus chun oibriú go córasach orthu?;ar cheart sainordú sainráite a thabhairt d'institiúid náisiúnta um chearta an duine nó do chomhlacht comhionannais chun aghaidh a thabhairt ar shaincheisteanna a bhaineann le treoirlínte gnéis agus chun oibriú go córasach orthu?;An níor cheart sainordú a thabhairt d'institiúid náisiúnta um chearta an duine nó do chomhlacht comhionannais chun aghaidh a thabhairt ar shaincheisteanna a bhaineann le gnéaschlaonadh?
Equality & non-discrimination;Equality action plan (sexual orientation);An bhfuil plean gníomhaíochta comhionannais ann a chuimsíonn go sainráite gnéaschlaonadh agus bearta sonracha chun dul chun cinn a dhéanamh?;Ar cheart plean gníomhaíochta comhionannais a bheith ann a chuimseodh go sainráite gnéaschlaonadh agus bearta sonracha don dul chun cinn?;ar cheart gnéaschlaonadh a eisiamh ó phleananna gníomhaíochta comhionannais?
Equality & non-discrimination;Constitution (gender identity);An gcuireann an bhunreacht cosc ar idirdhealú ar bhonn féiniúlachta inscne?;ar cheart don bhunreacht cosc a chur ar idirdhealú ar bhonn féiniúlachta inscne?;Ar cheart don bhunreacht idirdhealú ar bhonn féiniúlachta inscne a cheadú?
Equality & non-discrimination;Employment (gender identity);An bhfuil aitheantas inscne san áireamh go sainráite i reachtaíocht fostaíochta frith-idirdhealaithe?;Ar cheart féiniúlacht inscne a chur san áireamh go sainráite i reachtaíocht fostaíochta frith-idirdhealaithe?;ar cheart féiniúlacht inscne a eisiamh as reachtaíocht fhrith-idirdhealaithe fostaíochta?
Equality & non-discrimination;Goods & services (gender identity);An bhfuil aitheantas inscne san áireamh go follasach i reachtaíocht frith-idirdhealaithe maidir le hearraí agus seirbhísí?;ar cheart féiniúlacht inscne a chur go sainráite san reachtaíocht frith-idirdhealaithe maidir le hearraí agus seirbhísí?;ar cheart féiniúlacht inscne a eisiamh as reachtaíocht frith-idirdhealaithe maidir le hearraí agus seirbhísí?
Equality & non-discrimination;Education (gender identity);An bhfuil idirdhealú ar bhonn féiniúlachta inscne i réimse an oideachais toirmiscthe ag an reachtaíocht?;ar cheart idirdhealú ar bhonn féiniúlachta inscne i réimse an oideachais a chosc le reachtaíocht?;Ar cheart go gceadófaí le reachtaíocht idirdhealú ar bhonn féiniúlachta inscne i réimse an oideachais?
Equality & non-discrimination;Health (gender identity);An bhfuil idirdhealú ar bhonn féiniúlachta inscne i réimse na sláinte toirmiscthe ag an reachtaíocht?;ar cheart idirdhealú ar bhonn féiniúlachta inscne i réimse na sláinte a chosc le reachtaíocht?;ar cheart go gceadófaí le reachtaíocht idirdhealú ar bhonn féiniúlachta inscne i réimse na sláinte?
Equality & non-discrimination;Conversion practices ban (gender identity);An bhfuil aon reachtaíocht nó polasaithe ann a choisceann cleachtais chomhshó nó athshlánúcháin atá dírithe ar aitheantas inscne mionaoiseora a athrú?;ar cheart cleachtais chomhshó nó leasaitheacha atá dírithe ar aithne inscne mionaoiseora a athrú a chosc le reachtaíocht nó le polasaithe?;ar cheart cead a thabhairt le reachtaíocht nó le polasaithe do chleachtais chomhshó nó leasaitheacha atá dírithe ar aitheantas inscne mionaoiseora a athrú?
Equality & non-discrimination;Equality body mandate (gender identity);An bhfuil institiúid náisiúnta um chearta an duine nó comhlacht comhionannais ann a bhfuil sainordú sainráite aige chun aghaidh a thabhairt ar shaincheisteanna a bhaineann le féiniúlacht inscne agus chun oibriú go córasach orthu? (Ceapaim nach dteastaíonn ach ceann amháin uait.);ar cheart sainordú sainráite a thabhairt d'institiúid náisiúnta um chearta an duine nó do chomhlacht comhionannais chun aghaidh a thabhairt ar shaincheisteanna a bhaineann le féiniúlacht inscne?;An níor cheart sainordú a thabhairt d'institiúid náisiúnta um chearta an duine nó do chomhlacht comhionannais chun aghaidh a thabhairt ar shaincheisteanna a bhaineann le féiniúlacht inscne?
Equality & non-discrimination;Equality action plan (gender identity);An bhfuil plean gníomhaíochta comhionannais ann a chuimsíonn céannacht inscne agus bearta sonracha chun dul chun cinn a dhéanamh go sainráite?;Ar cheart plean gníomhaíochta comhionannais a bheith ann a chuimseodh go sainráite féiniúlacht inscne agus bearta sonracha chun dul chun cinn a dhéanamh?;ar cheart féiniúlacht inscne a eisiamh ó phleananna gníomhaíochta comhionannais?
Equality & non-discrimination;Law (gender expression);An bhfuil cur síos inscne san áireamh go follasach i reachtaíocht frith-idirdhealaithe?;Ar cheart go sonrach cuimsiú a dhéanamh ar léiriú inscne i reachtaíocht frith-idirdhealaithe?;ar cheart cur síos inscne a eisiamh as reachtaíocht frith-idirdhealaithe?
Equality & non-discrimination;Constitution (sex characteristics);An gcuireann an bhunreacht cosc ar idirdhealú bunaithe ar shaintréithe gnéis?;Ar cheart don bhunreacht cosc a chur ar idirdhealú bunaithe ar shaintréithe gnéis?;Ar cheart don bhunreacht idirdhealú ar bhonn saintréithe gnéis a cheadú?
Equality & non-discrimination;Employment (sex characteristics);An bhfuil saintréithe gnéis san áireamh go sainráite i reachtaíocht fostaíochta in aghaidh an idirdhealaithe?;Ar cheart saintréithe gnéis a chur san áireamh go follasach i reachtaíocht fostaíochta frith-idirdhealaithe?;ar cheart saintréithe gnéis a eisiamh ó reachtaíocht fostaíochta frith-idirdhealaithe?
Equality & non-discrimination;Goods & services (sex characteristics);An bhfuil saintréithe gnéis san áireamh go sainráite i reachtaíocht frith-idirdhealaithe maidir le hearraí agus seirbhísí?;ar cheart saintréithe gnéis a chur san áireamh go sainráite i reachtaíocht frith-idirdhealaithe maidir le hearraí agus seirbhísí?;ar cheart saintréithe gnéis a eisiamh as reachtaíocht frith-idirdhealaithe maidir le hearraí agus seirbhísí?
Equality & non-discrimination;Education (sex characteristics);An bhfuil sé cosctha ag an reachtaíocht go ndéanfaí idirdhealú ar bhonn saintréithe gnéis i réimse an oideachais?;ar cheart dlíthe a achtú chun cosc a chur ar idirdhealú ar bhonn saintréithe gnéis i réimse an oideachais?;ar cheart do reachtaíocht idirdhealú ar bhonn saintréithe gnéis i réimse an oideachais a cheadú?
