criterion_id;Fact;Support;Opposition
0;Verbietet die liechtensteinische Verfassung die Diskriminierung aufgrund der sexuellen Ausrichtung?;Sollte die Verfassung Liechtensteins die Diskriminierung aufgrund der sexuellen Ausrichtung verbieten?;Sollte die Verfassung Liechtensteins eine Diskriminierung aufgrund der sexuellen Ausrichtung zulassen?
1;Ist in Liechtenstein die sexuelle Ausrichtung ausdrücklich in den Antidiskriminierungsvorschriften für den Bereich der Beschäftigung enthalten?;Sollte in Liechtenstein die sexuelle Ausrichtung ausdrücklich in die Antidiskriminierungsgesetze für den Arbeitsmarkt aufgenommen werden?;Sollte in Liechtenstein die sexuelle Ausrichtung von der Antidiskriminierungsgesetzgebung im Bereich der Beschäftigung ausgenommen werden?
2;Ist in Liechtenstein die sexuelle Ausrichtung ausdrücklich in den Antidiskriminierungsvorschriften für Waren und Dienstleistungen enthalten?;Sollte in Liechtenstein die sexuelle Ausrichtung ausdrücklich in die Antidiskriminierungsvorschriften für Waren und Dienstleistungen aufgenommen werden?;Sollte in Liechtenstein die sexuelle Ausrichtung aus den Antidiskriminierungsvorschriften für Waren und Dienstleistungen ausgeschlossen werden?
3;Ist in Liechtenstein eine Diskriminierung aufgrund der sexuellen Ausrichtung im Bereich der Bildung gesetzlich verboten?;Sollte in Liechtenstein die Diskriminierung aufgrund der sexuellen Ausrichtung im Bereich der Bildung gesetzlich verboten werden?;Sollte in Liechtenstein eine Diskriminierung aufgrund der sexuellen Ausrichtung im Bildungsbereich gesetzlich erlaubt sein?
4;Ist in Liechtenstein eine Diskriminierung aufgrund der sexuellen Ausrichtung im Bereich der Gesundheit gesetzlich verboten?;Sollte in Liechtenstein die Diskriminierung aufgrund der sexuellen Ausrichtung im Bereich der Gesundheit gesetzlich verboten werden?;Sollte in Liechtenstein eine Diskriminierung aufgrund der sexuellen Ausrichtung im Bereich der Gesundheit gesetzlich erlaubt sein?
5;Gibt es in Liechtenstein Gesetze oder Richtlinien, die Bekehrungs- oder Wiederherstellungspraktiken verbieten, die darauf abzielen, die sexuelle Orientierung eines Minderjährigen zu ändern?;Sollten in Liechtenstein Bekehrungs- oder Wiederherstellungspraktiken, die darauf abzielen, die sexuelle Ausrichtung eines Minderjährigen zu ändern, gesetzlich oder politisch verboten werden?;Sollten in Liechtenstein Bekehrungs- oder Wiederherstellungspraktiken, die darauf abzielen, die sexuelle Ausrichtung eines Minderjährigen zu ändern, gesetzlich oder politisch erlaubt sein?
6;Gibt es in Liechtenstein eine nationale Menschenrechtsinstitution oder eine Gleichbehandlungsstelle, die ausdrücklich beauftragt ist, sich mit Fragen der sexuellen Ausrichtung zu befassen und systematisch daran zu arbeiten?;Sollte in Liechtenstein eine nationale Menschenrechtsinstitution oder eine Gleichstellungsstelle ausdrücklich beauftragt werden, sich mit Fragen der sexuellen Ausrichtung zu befassen und systematisch daran zu arbeiten?;Sollte in Liechtenstein nicht eine nationale Menschenrechtsinstitution oder Gleichstellungsstelle beauftragt werden, sich mit Fragen der sexuellen Ausrichtung zu befassen?
7;Gibt es in Liechtenstein einen Aktionsplan zur Gleichstellung, der ausdrücklich die sexuelle Orientierung und spezifische Maßnahmen für Fortschritte einschließt?;Sollte es in Liechtenstein einen Aktionsplan zur Gleichstellung geben, der ausdrücklich die sexuelle Ausrichtung und spezifische Maßnahmen für Fortschritte einschließt?;Sollte in Liechtenstein die sexuelle Ausrichtung aus den Aktionsplänen zur Gleichstellung ausgeschlossen werden?
8;Verbietet die liechtensteinische Verfassung die Diskriminierung aufgrund der Geschlechtsidentität?;Sollte die Verfassung Liechtensteins die Diskriminierung aufgrund der Geschlechtsidentität verbieten?;Sollte die Verfassung Liechtensteins Diskriminierung aufgrund der Geschlechtsidentität zulassen?
9;Ist die Geschlechtsidentität in Liechtenstein ausdrücklich in den Antidiskriminierungsgesetzen für den Bereich Beschäftigung enthalten?;Sollte in Liechtenstein die Geschlechtsidentität ausdrücklich in die Antidiskriminierungsgesetze für den Arbeitsmarkt aufgenommen werden?;Sollte in Liechtenstein die Geschlechtsidentität in der Antidiskriminierungsgesetzgebung im Bereich der Beschäftigung ausgenommen werden?
