criterion_id;Fact;Support;Opposition
0;A San Marino, la Costituzione vieta la discriminazione basata sull'orientamento sessuale?;A San Marino, la Costituzione dovrebbe vietare la discriminazione basata sull'orientamento sessuale?;A San Marino, la Costituzione dovrebbe consentire la discriminazione basata sull'orientamento sessuale?
1;A San Marino, l'orientamento sessuale è esplicitamente incluso nella legislazione contro la discriminazione sul lavoro?;A San Marino, l'orientamento sessuale dovrebbe essere esplicitamente incluso nella legislazione anti-discriminazione sul lavoro?;A San Marino, l'orientamento sessuale dovrebbe essere escluso dalla legislazione antidiscriminatoria sul lavoro?
2;A San Marino, l'orientamento sessuale è esplicitamente incluso nella legislazione anti-discriminazione di beni e servizi?;A San Marino, l'orientamento sessuale dovrebbe essere esplicitamente incluso nella legislazione anti-discriminazione di beni e servizi?;A San Marino, l'orientamento sessuale dovrebbe essere escluso dalla legislazione antidiscriminatoria su beni e servizi?
3;A San Marino, la discriminazione basata sull'orientamento sessuale nel campo dell'istruzione è vietata dalla legislazione?;A San Marino, la discriminazione basata sull'orientamento sessuale nel campo dell'istruzione dovrebbe essere vietata per legge?;A San Marino, la discriminazione basata sull'orientamento sessuale nel campo dell'istruzione dovrebbe essere consentita dalla legislazione?
4;A San Marino, la discriminazione basata sull'orientamento sessuale in ambito sanitario è vietata dalla legislazione?;A San Marino, la discriminazione basata sull'orientamento sessuale nel campo della salute dovrebbe essere vietata dalla legislazione?;A San Marino, la discriminazione basata sull'orientamento sessuale nel campo della salute dovrebbe essere consentita dalla legislazione?
5;A San Marino esistono leggi o politiche che proibiscono la conversione o le pratiche riparative volte a cambiare l'orientamento sessuale di un minore?;A San Marino, le pratiche di conversione o di riparazione volte a modificare l'orientamento sessuale di un minore dovrebbero essere vietate dalla legislazione o dalle politiche?;A San Marino, le pratiche di conversione o di riparazione volte a modificare l'orientamento sessuale di un minore dovrebbero essere consentite dalla legislazione o dalle politiche?
6;A San Marino, esiste un'istituzione nazionale per i diritti umani o un organismo per l'uguaglianza esplicitamente incaricato di affrontare e lavorare sistematicamente sulle questioni relative all'orientamento sessuale?;A San Marino, un'istituzione nazionale per i diritti umani o un organismo per l'uguaglianza dovrebbe essere esplicitamente incaricato di affrontare e lavorare sistematicamente sulle questioni relative all'orientamento sessuale?;A San Marino, un'istituzione nazionale per i diritti umani o un organismo per l'uguaglianza non dovrebbero essere incaricati di affrontare le questioni relative all'orientamento sessuale?
7;A San Marino, esiste un piano d'azione per la parità che includa esplicitamente l'orientamento sessuale e misure specifiche per il progresso?;A San Marino, dovrebbe esserci un piano d'azione per la parità che includa esplicitamente l'orientamento sessuale e misure specifiche per il progresso?;A San Marino, l'orientamento sessuale deve essere escluso dai piani d'azione per la parità?
8;A San Marino, la Costituzione vieta la discriminazione basata sull'identità di genere?;A San Marino, la Costituzione dovrebbe vietare la discriminazione basata sull'identità di genere?;A San Marino, la Costituzione dovrebbe consentire la discriminazione basata sull'identità genetica?
9;A San Marino, l'identità di genere è esplicitamente inclusa nella legislazione contro la discriminazione sul lavoro?;A San Marino, l'identità di genere dovrebbe essere esplicitamente inclusa nella legislazione anti-discriminazione sul lavoro?;A San Marino, l'identità di genere dovrebbe essere esclusa dalla legislazione antidiscriminatoria sul lavoro?
10;A San Marino, l'identità di genere è esplicitamente inclusa nella legislazione anti-discriminazione di beni e servizi?;A San Marino, l'identità di genere dovrebbe essere esplicitamente inclusa nella legislazione anti-discriminazione di beni e servizi?;A San Marino, l'identità di genere dovrebbe essere esclusa dalla legislazione antidiscriminatoria su beni e servizi?
11;A San Marino, la discriminazione basata sull'identità di genere nel campo dell'istruzione è vietata dalla legislazione?;A San Marino, la discriminazione basata sull'identità di genere nel campo dell'istruzione dovrebbe essere vietata per legge?;A San Marino, la discriminazione basata sull'identità di genere nel campo dell'istruzione dovrebbe essere consentita dalla legislazione?
12;A San Marino, la discriminazione basata sull'identità di genere nel campo della salute è vietata dalla legislazione?;A San Marino, la discriminazione basata sull'identità di genere nel campo della salute dovrebbe essere vietata per legge?;A San Marino, la discriminazione basata sull'identità di genere nel campo della salute dovrebbe essere consentita dalla legislazione?
13;A San Marino esistono leggi o politiche che proibiscono la conversione o le pratiche riparative volte a cambiare l'identità di genere di un minore?;A San Marino, le pratiche di conversione o di riparazione volte a cambiare l'identità di genere di un minore dovrebbero essere vietate dalla legislazione o dalle politiche?;A San Marino, le pratiche di conversione o di riparazione volte a cambiare l'identità di genere di un minore dovrebbero essere consentite dalla legislazione o dalle politiche?
14;A San Marino, esiste un'istituzione nazionale per i diritti umani o un organismo per l'uguaglianza esplicitamente incaricato di affrontare e lavorare sistematicamente sulle questioni relative all'identità di genere? (credo che ne basti uno);A San Marino, un'istituzione nazionale per i diritti umani o un organismo per l'uguaglianza dovrebbe essere esplicitamente incaricato di affrontare le questioni relative all'identità di genere?;A San Marino, un'istituzione nazionale per i diritti umani o un organismo per l'uguaglianza non dovrebbero essere incaricati di affrontare le questioni relative all'identità di genere?
15;A San Marino, esiste un piano d'azione per la parità che includa esplicitamente l'identità di genere e misure specifiche per i progressi?;A San Marino, dovrebbe esserci un piano d'azione per la parità che includa esplicitamente l'identità di genere e misure specifiche per i progressi?;A San Marino, l'identità di genere deve essere esclusa dai piani d'azione per la parità?
16;A San Marino, l'espressione di genere è esplicitamente inclusa nella legislazione antidiscriminatoria?;A San Marino, l'espressione di genere dovrebbe essere esplicitamente inclusa nella legislazione antidiscriminatoria?;A San Marino, l'espressione di genere dovrebbe essere esclusa dalla legislazione antidiscriminatoria?
17;A San Marino, la Costituzione vieta la discriminazione basata sulle caratteristiche del sesso?;A San Marino, la Costituzione dovrebbe vietare la discriminazione basata sulle caratteristiche del sesso?;A San Marino, la Costituzione dovrebbe consentire la discriminazione basata sulle caratteristiche del sesso?
18;A San Marino, le caratteristiche sessuali sono esplicitamente incluse nella legislazione contro la discriminazione sul lavoro?;A San Marino, le caratteristiche sessuali dovrebbero essere esplicitamente incluse nella legislazione contro la discriminazione sul lavoro?;A San Marino, le caratteristiche sessuali dovrebbero essere escluse dalla legislazione anti-discriminazione sul lavoro?
19;A San Marino, le caratteristiche sessuali sono esplicitamente incluse nella legislazione contro la discriminazione di beni e servizi?;A San Marino, le caratteristiche sessuali dovrebbero essere esplicitamente incluse nella legislazione anti-discriminazione di beni e servizi?;A San Marino, le caratteristiche sessuali dovrebbero essere escluse dalla legislazione antidiscriminatoria su beni e servizi?
20;A San Marino, la discriminazione basata sulle caratteristiche sessuali nel campo dell'istruzione è vietata dalla legislazione?;A San Marino, la discriminazione basata sulle caratteristiche sessuali nel campo dell'istruzione dovrebbe essere vietata dalla legislazione?;A San Marino, la discriminazione basata sulle caratteristiche sessuali nel campo dell'istruzione dovrebbe essere consentita dalla legislazione?
21;A San Marino, la discriminazione basata sulle caratteristiche sessuali nel campo della salute è vietata dalla legislazione?;A San Marino, la discriminazione basata sulle caratteristiche sessuali nel campo della salute dovrebbe essere vietata dalla legislazione?;A San Marino, la discriminazione basata sulle caratteristiche sessuali nel campo della salute dovrebbe essere consentita dalla legislazione?
22;A San Marino, esiste un'istituzione nazionale per i diritti umani o un organismo per l'uguaglianza esplicitamente incaricato di affrontare e lavorare sistematicamente sulle questioni relative alle caratteristiche sessuali?;A San Marino, le istituzioni nazionali per i diritti umani o gli organismi per l'uguaglianza dovrebbero essere esplicitamente incaricati di affrontare le questioni relative alle caratteristiche sessuali?;A San Marino, le istituzioni nazionali per i diritti umani o gli organismi per l'uguaglianza non dovrebbero essere incaricati di affrontare le questioni relative alle caratteristiche sessuali?
23;A San Marino, esiste un piano d'azione per la parità che includa esplicitamente le caratteristiche sessuali e misure specifiche per i progressi?;A San Marino, dovrebbe esserci un piano d'azione per la parità che includa esplicitamente l'identità di genere e misure specifiche per i progressi?;A San Marino, le caratteristiche sessuali dovrebbero essere escluse dai piani d'azione per la parità?
24;A San Marino, la donazione di sangue o di qualsiasi tipo di tessuto corporeo per le persone lgbti in base al loro orientamento sessuale o alla loro identità di genere è esente da divieti legislativi o amministrativi?;A San Marino, la donazione di sangue o di qualsiasi tipo di tessuto corporeo per le persone lgbti in base al loro orientamento sessuale o alla loro identità di genere deve essere esente da divieti legislativi o amministrativi?;A San Marino, la donazione di sangue o di qualsiasi tipo di tessuto corporeo per le persone lgbti in base al loro orientamento sessuale o alla loro identità di genere dovrebbe essere soggetta a un divieto legislativo o amministrativo?
25;A San Marino, le coppie dello stesso sesso possono sposarsi con gli stessi diritti delle coppie sposate di sesso diverso?;A San Marino, le coppie dello stesso sesso dovrebbero potersi sposare con gli stessi diritti delle coppie sposate di sesso diverso?;A San Marino, le coppie dello stesso sesso non possono sposarsi con gli stessi diritti delle coppie sposate di sesso diverso?
26;A San Marino, le coppie dello stesso sesso possono contrarre un'unione registrata/un'unione civile e ottenere lo stesso livello di diritti che avrebbero se fossero sposate?;A San Marino, le coppie dello stesso sesso dovrebbero essere autorizzate a contrarre un'unione registrata/un'unione civile e ottenere lo stesso livello di diritti che avrebbero se fossero sposate?;A San Marino, le coppie dello stesso sesso non dovrebbero essere autorizzate a contrarre un'unione registrata/un'unione civile e ottenere lo stesso livello di diritti che avrebbero se fossero sposate?
27;A San Marino, le coppie dello stesso sesso possono contrarre un'unione registrata/un'unione civile?;A San Marino, le coppie dello stesso sesso dovrebbero essere autorizzate a contrarre un'unione registrata/un'unione civile?;A San Marino, le coppie dello stesso sesso non dovrebbero essere autorizzate a contrarre un'unione registrata/un'unione civile?
28;A San Marino, le coppie dello stesso sesso sono incluse nella legislazione o nelle misure legali sulla convivenza?;A San Marino, le coppie dello stesso sesso dovrebbero essere incluse nella legislazione o nelle misure legali sulla convivenza?;A San Marino, le coppie dello stesso sesso dovrebbero essere escluse dalla legislazione o dalle misure legali sulla convivenza?
