model;Albanian;Catalan;Armenian;German;Azerbaijani;Belarusian;Russian;Dutch;French;Bosnian;Serbian;Croatian;Bulgarian;Modern Greek;Greek;Turkish;Czech;Danish;Estonian;Swedish;Finnish;Georgian;Hungarian;Icelandic;Irish;English;Italian;Latvian;Lithuanian;Luxembourgish;Maltese;Romanian;Montenegrin;Macedonian;Bokmål;Polish;Portuguese;Slovak;Slovene;Spanish;Ukrainian;avg_score
DeepL;0.97;0.98;0.97;0.96;0.96;0.94;0.95;0.95;0.97;0.97;0.94;0.95;0.98;0.97;0.97;0.98;0.98;0.97;0.95;0.96;0.97;0.96;0.96;0.92;0.97;1.0;0.97;0.95;0.96;0.97;0.96;0.97;0.0;0.97;0.96;0.96;0.98;0.98;0.98;0.96;0.95;0.96
Qwen3.5 2B;0.72;0.86;0.48;0.9;0.46;0.6;0.89;0.77;0.91;0.79;0.87;0.8;0.88;0.59;0.53;0.62;0.8;0.82;0.55;0.7;0.63;0.38;0.65;0.37;0.21;1.0;0.87;0.6;0.68;0.51;0.49;0.85;0.85;0.76;0.84;0.85;0.92;0.74;0.74;0.91;0.82;0.71
Qwen3.5 9B;0.33;0.43;0.12;0.61;0.49;0.34;0.59;0.59;0.65;0.51;0.49;0.57;0.55;0.39;0.39;0.64;0.55;0.63;0.5;0.5;0.46;0.1;0.5;0.22;0.29;1;0.66;0.4;0.36;0.55;0.27;0.58;0.51;0.49;0.61;0.46;0.68;0.3;0.38;0.67;0.54;0.48
Qwen3.5 27B;0.43;0.49;0.12;0.54;0.5;0.46;0.59;0.51;0.66;0.53;0.53;0.51;0.55;0.45;0.4;0.67;0.54;0.59;0.5;0.6;0.47;0.23;0.47;0.39;0.39;1;0.66;0.41;0.5;0.53;0.28;0.61;0.53;0.45;0.57;0.51;0.64;0.52;0.47;0.62;0.58;0.51
LlaMa 3.2 3B;0.51;0.78;0.14;0.93;0.43;0.52;0.87;0.84;0.88;0.74;0.76;0.71;0.78;0.57;0.76;0.67;0.79;0.8;0.48;0.82;0.51;0.21;0.68;0.44;0.3;1.0;0.88;0.59;0.63;0.74;0.49;0.82;0.8;0.81;0.78;0.79;0.89;0.66;0.57;0.94;0.66;0.68
LlaMa 3.1 8B;0.8;0.93;0.53;0.93;0.59;0.65;0.9;0.89;0.94;0.87;0.86;0.86;0.89;0.69;0.77;0.88;0.89;0.88;0.75;0.83;0.71;0.56;0.8;0.58;0.36;1.0;0.94;0.67;0.75;0.76;0.86;0.93;0.86;0.84;0.87;0.92;0.97;0.77;0.69;0.95;0.75;0.8
LlaMa 3.1 70B;0.95;0.96;0.94;0.96;0.93;0.94;0.96;0.97;0.98;0.94;0.93;0.95;0.95;0.96;0.95;0.95;0.97;0.94;0.91;0.95;0.88;0.96;0.9;0.78;0.89;1.0;0.96;0.91;0.92;0.95;0.96;0.96;0.95;0.95;0.95;0.91;0.86;0.93;0.92;0.98;0.95;0.94
DeepSeek-V3.2;0.96;0.96;0.94;0.97;0.94;0.94;0.95;0.97;0.97;0.95;0.95;0.94;0.95;0.96;0.97;0.96;0.94;0.96;0.96;0.94;0.94;0.96;0.94;0.94;0.95;1.0;0.97;0.96;0.96;0.97;0.95;0.97;0.95;0.96;0.95;0.94;0.97;0.96;0.95;0.97;0.94;0.96
Sonnet 4.6;0.97;0.97;0.97;0.98;0.96;0.96;0.95;0.97;0.98;0.97;0.96;0.98;0.97;0.97;0.96;0.97;0.97;0.93;0.97;0.94;0.96;0.98;0.96;0.94;0.97;1.0;0.97;0.98;0.96;0.97;0.98;0.97;0.97;0.97;0.96;0.96;0.97;0.97;0.97;0.98;0.96;0.97
GPT 5.4;0.98;0.97;0.97;0.95;0.96;0.96;0.96;0.98;0.97;0.96;0.96;0.96;0.97;0.97;0.98;0.97;0.96;0.97;0.97;0.97;0.96;0.96;0.97;0.96;0.98;1.0;0.97;0.97;0.97;0.98;0.97;0.97;0.96;0.98;0.97;0.96;0.98;0.96;0.97;0.98;0.97;0.97
Gemini 3 Flash;0.98;0.97;0.94;0.97;0.95;0.96;0.97;0.98;0.97;0.97;0.97;0.97;0.97;0.97;0.97;0.96;0.97;0.98;0.97;0.96;0.96;0.97;0.94;0.96;0.98;1.0;0.97;0.97;0.97;0.96;0.98;0.98;0.95;0.97;0.96;0.97;0.98;0.97;0.96;0.98;0.97;0.97
