Category;Subcategory;Fact;Support;Opposition;Stance;Fact Coherence;Fact Validity;Fact Weight coherence by validity;Stance Coherence;Stance Validity;Stance Weight coherence by validity
Equality & non-discrimination;Constitution (sexual orientation);1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Equality & non-discrimination;Employment (sexual orientation);1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Equality & non-discrimination;Goods & services (sexual orientation);1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Equality & non-discrimination;Education (sexual orientation);0.8;1.0;0.0;1.0;0.36;1.0;0.36;1.0;1.0;1.0
Equality & non-discrimination;Health (sexual orientation);0.8;1.0;0.0;1.0;0.36;1.0;0.36;1.0;1.0;1.0
Equality & non-discrimination;Conversion practices ban (sexual orientation);0.4;1.0;0.0;1.0;0.04;1.0;0.04;1.0;1.0;1.0
Equality & non-discrimination;Equality body mandate (sexual orientation);0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Equality & non-discrimination;Equality action plan (sexual orientation);0.8;1.0;0.0;1.0;0.36;1.0;0.36;1.0;1.0;1.0
Equality & non-discrimination;Constitution (gender identity);1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Equality & non-discrimination;Employment (gender identity);0.8;1.0;0.0;1.0;0.36;1.0;0.36;1.0;1.0;1.0
Equality & non-discrimination;Goods & services (gender identity);1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Equality & non-discrimination;Education (gender identity);0.6;1.0;0.0;1.0;0.04;1.0;0.04;1.0;1.0;1.0
Equality & non-discrimination;Health (gender identity);0.6;1.0;0.0;1.0;0.04;1.0;0.04;1.0;1.0;1.0
Equality & non-discrimination;Conversion practices ban (gender identity);0.4;1.0;0.0;1.0;0.04;1.0;0.04;1.0;1.0;1.0
Equality & non-discrimination;Equality body mandate (gender identity);0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Equality & non-discrimination;Equality action plan (gender identity);0.6;1.0;0.0;1.0;0.04;1.0;0.04;1.0;1.0;1.0
Equality & non-discrimination;Law (gender expression);1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Equality & non-discrimination;Constitution (sex characteristics);0.2;1.0;0.0;1.0;0.36;1.0;0.36;1.0;1.0;1.0
Equality & non-discrimination;Employment (sex characteristics);0.6;1.0;0.0;1.0;0.04;1.0;0.04;1.0;1.0;1.0
Equality & non-discrimination;Goods & services (sex characteristics);0.8;1.0;0.0;1.0;0.36;1.0;0.36;1.0;1.0;1.0
Equality & non-discrimination;Education (sex characteristics);0.6;1.0;0.0;1.0;0.04;1.0;0.04;1.0;1.0;1.0
Equality & non-discrimination;Health (sex characteristics);0.2;1.0;0.0;1.0;0.36;1.0;0.36;1.0;1.0;1.0
Equality & non-discrimination;Equality body mandate (sex characteristics);0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Equality & non-discrimination;Equality action plan (sex characteristics);0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Equality & non-discrimination;Blood donations;0.6;1.0;0.0;1.0;0.04;1.0;0.04;1.0;1.0;1.0
Family;Marriage equality;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Family;Registered partnership (similar rights to marriage);0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Family;Registered partnership (limited rights);0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Family;Cohabitation;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
