model;Albanian;Catalan;Armenian;German;Azerbaijani;Belarusian;Dutch;Bosnian;Bulgarian;Croatian;Modern Greek;Czech;Danish;Estonian;Swedish;French;Georgian;Hungarian;Icelandic;Irish;Italian;Serbian;Latvian;Lithuanian;Luxembourgish;Maltese;Romanian;Montenegrin;Macedonian;Bokmål;Polish;Mirandese;Russian;Slovak;Slovene;Spanish;Romansh;Turkish;English;avg_score
Qwen3 4B;0.7455826121278935;0.95134746366077;0.8295059932602776;0.9623440636528864;0.4611148287852605;0.581168512503306;0.8996256854799058;0.8775602181752523;0.9059428837564256;0.925010687775082;0.6498882604969872;0.8125647571351793;0.9100950558980306;0.641855796178182;0.8955743643972609;0.9435754153463576;0.3109788047149777;0.7462646828757392;0.3070632783670185;0.1532741493235031;0.9061254527833726;0.8067047496636709;0.7492580182022519;0.619951057765219;0.7379386954837375;0.3963347044255998;0.9407041205300224;0.8666145933998955;0.7899139258596632;0.8979117075602213;0.9022708800103928;0.8478896982140012;0.9308601750267876;0.8138018382920159;0.7701438466707865;0.971372624238332;0.651498426993688;0.7950349052747091;0.990155385600196;0.7665339056385861
Qwen3 30B;0.907913002702925;0.9366940988434684;0.8529929253790114;0.9501723051071168;0.8743933041890463;0.8196146024598016;0.9290190736452738;0.9527149730258516;0.9203580882814196;0.9243456522623698;0.9215565588739184;0.9122915400399102;0.9151914450857376;0.8941598865720961;0.8723889059490628;0.9651391241285536;0.7844201922416687;0.8404861688613892;0.634397491812706;0.3239597015910678;0.967661844359504;0.8588075107998319;0.8906573255856832;0.9062410063213772;0.8904174632496304;0.8409364753299289;0.9758620924419829;0.8972876667976379;0.9324061473210652;0.9326761696073744;0.8994879391458299;0.9511133233706156;0.9320499234729342;0.9068488677342732;0.9416649407810636;0.9526485072241888;0.8480419980155097;0.934942662715912;0.9903382658958436;0.8867256197749379
Gemma 3 4B;0.7554299301571317;0.8915435804261101;0.417577739391062;0.9437525338596768;0.6680556734402975;0.8661722540855408;0.9370788468254936;0.8237751854790581;0.943548772070143;0.890117519431644;0.9345717430114746;0.9267518785264756;0.9233407311969332;0.7675450775358412;0.8877186510297987;0.951501276757982;0.7510628700256348;0.6306383311748505;0.4615166303184297;0.2994715695579846;0.952293872833252;0.8492402964168124;0.8059208591779073;0.8919096920225356;0.8002555337217119;0.7589551077948676;0.931867347823249;0.7780142625172933;0.8464017046822442;0.9210313028759428;0.9138767255677116;0.9535005225075616;0.954138994216919;0.8557462096214294;0.8415857089890374;0.9518424272537231;0.8558380736245049;0.8902462124824524;0.987552993827396;0.8310612472373874
Gemma 3 12B;0.9274413386980692;0.9540592233339944;0.8679503732257419;0.9257325198915268;0.917616195148892;0.8671377599239349;0.9234621127446492;0.9469618267483182;0.9490100145339966;0.9391919506920708;0.9611717396312288;0.9517896771430968;0.924652768505944;0.8842737277348837;0.9357143508063422;0.9582266741328768;0.8860416809717814;0.90375288327535;0.7764196958806779;0.6099141637484232;0.955373485883077;0.9238632255130343;0.8720710277557373;0.9348421030574374;0.9579247103797064;0.9470455447832744;0.9705822798940872;0.9291358060306972;0.940412183602651;0.9280554917123582;0.9434362517462836;0.9238410592079164;0.9515486160914104;0.9250837100876702;0.9277253084712558;0.9637773368093704;0.9176804886923896;0.9226994779374864;0.9377049340142144;0.9175211209856886
Gemma 3 27B;0.9460196163919236;0.9221616387367249;0.9566414819823372;0.9365629421340096;0.9509360061751472;0.9321939216719732;0.9643448922369215;0.9485934972763062;0.9446409477127924;0.9195033245616488;0.9614214036199782;0.9603268437915378;0.9206992983818054;0.9475176533063252;0.9202775359153748;0.9535023834970262;0.9391010138723586;0.8633212248484293;0.8552062577671475;0.8865668574968973;0.9561175571547614;0.9423971639739144;0.9588084618250527;0.9419857131110296;0.946139375368754;0.9563090668784248;0.967368463675181;0.9419175916247896;0.9681148330370584;0.9341182642512852;0.949829830063714;0.9479758010970222;0.9429427716467116;0.9504607452286614;0.8608091937171088;0.9621065126525032;0.9099657734235128;0.933857646253374;0.9119830197758144;0.9362242699009062
Ministral 3 3B;0.6755028631952074;0.7778485582934486;0.6904561486509111;0.8573926654126909;0.6288934105800258;0.8241046865781149;0.7675577766365476;0.7738022440009646;0.8779573241869608;0.7953840957747565;0.7154939555459552;0.8682818214098612;0.8110283613204956;0.6237232486406962;0.8363818791177537;0.8744625515407987;0.6789051190846496;0.6930329882436328;0.6505986717012193;0.3781390957948234;0.8603931466738383;0.8489557107289633;0.722540451420678;0.6716862453354729;0.7142528196175894;0.4018234649880065;0.7588860458797879;0.747643295261595;0.8245129982630411;0.8110405339135064;0.8629600273238288;0.7899958160188463;0.8890976044866774;0.7917705708079867;0.7996079590585496;0.7691797912120819;0.6133561001883613;0.7773655520545112;0.9257313874032762;0.7533268458037465
Ministral 3 8B;0.8230787913004557;0.920266091823578;0.8244724538591173;0.943928407298194;0.7181891765859392;0.8399853507677714;0.9417135649257236;0.8924814926253425;0.9323009583685132;0.8836028443442451;0.904667642381456;0.9070916374524436;0.941234740946028;0.6205012276768684;0.8983459141519334;0.94996311267217;0.8094670308960809;0.8599541650878059;0.6746797660986582;0.5327632774909338;0.9584605230225456;0.9324390821986728;0.8294040891859267;0.877403457959493;0.7353390720155504;0.7539505627420213;0.9635753830273946;0.916175127029419;0.9454560544755723;0.9336141016748216;0.9360414610968696;0.965044809712304;0.9377629359563192;0.900200817320082;0.8329593671692742;0.9574390451113384;0.780544119162692;0.9105253948105706;0.8611889746454027;0.8652874878222955
Ministral 3 14B;0.9223689569367304;0.9544660051663716;0.845416333940294;0.9624760680728488;0.8332179586092631;0.9144115249315896;0.9246465033955044;0.9363838566674126;0.9612978630595737;0.9260882602797614;0.9234102567036948;0.9499133891529508;0.9245935148662991;0.8252460029390123;0.906634635395474;0.9593331151538425;0.8812346193525527;0.8590306705898709;0.7556753191683028;0.6921381751696268;0.9425392283333672;0.9314931763543024;0.8734663327534994;0.9123875300089518;0.9147311713960437;0.7868881556722853;0.9428026146358914;0.928278558784061;0.922953830824958;0.9624620609813266;0.9599041938781738;0.9172200825479296;0.952506144841512;0.8811608817842271;0.8262605468432108;0.9706874224874708;0.7881132562955221;0.9252073301209344;0.8378518422444662;0.8983307023163875
DeepSeek R1 1.5B;0.2213379603086246;0.4207356497645378;0.2503416425445013;0.3462359172602494;0.1680577231248511;0.4969748864985174;0.3675640386839707;0.0615449253883626;0.2459155040172239;0.2353407152824931;0.1431854303098387;0.1920938315904802;0.3518390659656789;0.1802746719784206;0.3221390669285837;0.5278886362082429;0.57787448923207;0.3225820204760465;-0.0150830856420927;0.4347037050045199;0.4411775867144267;0.2425736072990629;0.0157020806024471;0.0385862559907966;0.672503090567059;0.2548579608814584;0.547001981900798;0.0501812648855977;0.1716579702786273;0.2911299268404643;0.3454734525746769;0.3822675686743524;0.5830511798461279;0.0995046777857674;0.2892594345483101;0.6068184905582004;0.274552793138557;0.2978068431839347;0.9189546704292296;0.3172976315801286
DeepSeek R1 8B;0.7065407368871901;0.8937080436282687;0.7499029967519972;0.9370642436875236;0.4918364901095629;0.6983747647868263;0.8406071331765916;0.8401512503623962;0.8832951386769613;0.8648273746172587;0.7003935972849528;0.9072229067484536;0.8072450558344523;0.6823401699463526;0.8980802363819547;0.9208856754832796;0.7201588539691228;0.7554869254430135;0.427138798766666;0.2691475928036703;0.9386423296398588;0.7994794481330447;0.7035107347700331;0.795764274067349;0.8169668548636966;0.7031292915344238;0.925815873675876;0.8100188109609816;0.8340783268213272;0.8176713022920821;0.8867208626535203;0.93102584944831;0.8977266814973619;0.8212991820441352;0.857044537862142;0.8897938066058688;0.8496022555563185;0.8548415899276733;0.8994902322689692;0.7955648776915248
DeepSeek R1 32B;0.8077375690142313;0.9439947075313992;0.21274444543653065;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.6548255739940537
