criterion_id;Fact;Support;Opposition
0;I Sverige, förbjuder grundlagen diskriminering på grund av sexuell läggning?;Bör grundlagen i Sverige förbjuda diskriminering på grund av sexuell läggning?;Bör grundlagen i Sverige tillåta diskriminering på grund av sexuell läggning?
1;I Sverige, ingår sexuell läggning uttryckligen i antidiskrimineringslagstiftningen för arbetslivet?;Bör sexuell läggning uttryckligen inkluderas i antidiskrimineringslagstiftningen på arbetsmarknaden i Sverige?;Bör sexuell läggning undantas från antidiskrimineringslagstiftningen i Sverige?
2;I Sverige, ingår sexuell läggning uttryckligen i antidiskrimineringslagstiftningen för varor och tjänster?;Bör sexuell läggning uttryckligen inkluderas i antidiskrimineringslagstiftningen för varor och tjänster i Sverige?;Bör sexuell läggning undantas i antidiskrimineringslagstiftningen för varor och tjänster i Sverige?
3;I Sverige, är diskriminering på grund av sexuell läggning inom utbildningsområdet förbjudet enligt lag?;Bör diskriminering på grund av sexuell läggning inom utbildningsområdet i Sverige förbjudas genom lagstiftning?;Bör diskriminering på grund av sexuell läggning inom utbildningsområdet i Sverige vara tillåten enligt lag?
4;I Sverige, är diskriminering på grund av sexuell läggning inom hälsoområdet förbjudet enligt lag?;Bör diskriminering på grund av sexuell läggning inom hälsoområdet i Sverige förbjudas genom lagstiftning?;Bör diskriminering på grund av sexuell läggning inom hälsoområdet i Sverige vara tillåten enligt lag?
5;Finns det i Sverige någon lagstiftning eller policy som förbjuder omvändelse eller reparativa metoder som syftar till att ändra en minderårigs sexuella läggning?;I Sverige, bör omvändelse eller reparativa metoder som syftar till att ändra en minderårigs sexuella läggning förbjudas genom lagstiftning eller policy?;I Sverige, bör omvändelse eller reparativa metoder som syftar till att ändra en minderårigs sexuella läggning tillåtas genom lagstiftning eller policy?
6;Finns det i Sverige en nationell institution för mänskliga rättigheter eller ett jämställdhetsorgan som har ett uttryckligt mandat att ta upp och systematiskt arbeta med frågor som rör sexuell läggning?;Bör en nationell institution för mänskliga rättigheter eller ett jämställdhetsorgan i Sverige få ett uttryckligt mandat att ta upp och systematiskt arbeta med frågor som rör sexuell läggning?;I Sverige, bör en nationell institution för mänskliga rättigheter eller ett nationellt jämställdhetsorgan inte ha mandat att hantera frågor som rör sexuell läggning?
7;I Sverige, finns det en handlingsplan för jämställdhet som uttryckligen inkluderar sexuell läggning och specifika åtgärder för framsteg?;Bör det i Sverige finnas en handlingsplan för jämställdhet som uttryckligen inkluderar sexuell läggning och specifika åtgärder för framsteg?;Bör sexuell läggning uteslutas från handlingsplaner för jämställdhet i Sverige?
8;I Sverige, förbjuder grundlagen diskriminering på grund av könsidentitet?;Bör grundlagen i Sverige förbjuda diskriminering på grund av könsidentitet?;Ska grundlagen i Sverige tillåta diskriminering på grund av könsidentitet?
9;I Sverige, är könsidentitet uttryckligen inkluderat i antidiskrimineringslagstiftningen på arbetsmarknaden?;Bör könsidentitet uttryckligen inkluderas i antidiskrimineringslagstiftningen på arbetsmarknaden i Sverige?;Bör könsidentitet undantas i antidiskrimineringslagstiftningen i Sverige?
10;I Sverige, är könsidentitet uttryckligen inkluderat i antidiskrimineringslagstiftningen för varor och tjänster?;Bör könsidentitet uttryckligen inkluderas i antidiskrimineringslagstiftningen för varor och tjänster i Sverige?;Bör könsidentitet undantas från antidiskrimineringslagstiftningen för varor och tjänster i Sverige?
11;I Sverige, är diskriminering på grund av könsidentitet inom utbildningsområdet förbjudet enligt lag?;Bör diskriminering på grund av könsidentitet inom utbildningsområdet i Sverige förbjudas genom lagstiftning?;Bör diskriminering på grund av könsidentitet inom utbildningsområdet i Sverige vara tillåten enligt lag?
12;I Sverige, är diskriminering på grund av könsidentitet inom hälsoområdet förbjudet enligt lag?;Bör diskriminering på grund av könsidentitet inom hälsoområdet i Sverige förbjudas genom lagstiftning?;Bör diskriminering på grund av könsidentitet inom hälsoområdet i Sverige vara tillåten enligt lag?
