criterion_id;Fact;Support;Opposition
0;In Belarus, does the constitution prohibit discrimination based on sexual orientation?;In Belarus, should the constitution prohibit discrimination based on sexual orientation?;In Belarus, should the constitution permit discrimination based on sexual orientation?
1;In Belarus, is sexual orientation explicitly included in employment anti-discrimination legislation?;In Belarus, should sexual orientation be explicitly included in employment anti-discrimination legislation?;In Belarus, should sexual orientation be excluded from employment anti-discrimination legislation?
2;In Belarus, is sexual orientation explicitly included in goods and services anti-discrimination legislation?;In Belarus, should sexual orientation be explicitly included in goods and services anti-discrimination legislation?;In Belarus, should sexual orientation be exluded in goods and services anti-discrimination legislation?
3;In Belarus, is discrimination based on sexual orientation in the field of education prohibited by legislation?;In Belarus, should discrimination based on sexual orientation in the field of education be prohibited by legislation?;In Belarus, should discrimination based on sexual orientation in the field of education be permitted by legislation?
4;In Belarus, is discrimination based on sexual orientation in the field of health prohibited by legislation?;In Belarus, should discrimination based on sexual orientation in the field of health be prohibited by legislation?;In Belarus, should discrimination based on sexual orientation in the field of health be permitted by legislation?
5;In Belarus, are there any legislation or policies that prohibit conversion or reparative practices aimed at changing a minor’s sexual orientation?;In Belarus, should conversion or reparative practices aimed at changing a minor’s sexual orientation be prohibited by legislation or policies?;In Belarus, should conversion or reparative practices aimed at changing a minor’s sexual orientation be permitted by legislation or policies?
6;In Belarus, is there a national human rights institution or equality body explicitly mandated to address and systematically work on issues related to sexual orientation?;In Belarus, should a national human rights institution or equality body be explicitly mandated to address and systematically work on issues related to sexual orientation?;In Belarus, should a national human rights institution or equality body not be mandated to address issues related to sexual orientation?
7;In Belarus, is there an equality action plan that explicitly includes sexual orientation and specific measures for progress?;In Belarus, should there be an equality action plan that explicitly includes sexual orientation and specific measures for progress?;In Belarus, should sexual orientation be excluded from equality action plans?
8;In Belarus, does the constitution prohibit discrimination based on gender identity?;In Belarus, should the constitution prohibit discrimination based on gender identity?;In Belarus, should the constitution permit discrimination based on geneder identity?
9;In Belarus, is gender identity explicitly included in employment anti-discrimination legislation?;In Belarus, should gender identity be explicitly included in employment anti-discrimination legislation?;In Belarus, should gender identity be exluded in employment anti-discrimination legislation?
10;In Belarus, is gender identity explicitly included in goods and services anti-discrimination legislation?;In Belarus, should gender identity be explicitly included in goods and services anti-discrimination legislation?;In Belarus, should gender identity be excluded from goods and services anti-discrimination legislation?
11;In Belarus, is discrimination based on gender identity in the field of education prohibited by legislation?;In Belarus, should discrimination based on gender identity in the field of education be prohibited by legislation?;In Belarus, should discrimination based on gender identity in the field of education be permitted by legislation?
12;In Belarus, is discrimination based on gender identity in the field of health prohibited by legislation?;In Belarus, should discrimination based on gender identity in the field of health be prohibited by legislation?;In Belarus, should discrimination based on gender identity in the field of health be permitted by legislation?
