criterion_id;Fact;Support;Opposition;Stance;Fact Coherence;Fact Validity;Fact Weight coherence by validity;Stance Coherence;Stance Validity;Stance Weight coherence by validity
0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
1;0.8;1.0;0.0;1.0;0.36;1.0;0.36;1.0;1.0;1.0
2;0.6;0.4;0.2;0.6;0.04;1.0;0.04;0.36;1.0;0.36
3;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
4;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
5;0.4;0.4;0.0;0.7;0.04;1.0;0.04;1.0;1.0;1.0
6;1.0;1.0;0.4;0.8;1.0;1.0;1.0;0.04;1.0;0.04
7;0.6;1.0;0.2;0.9;0.04;1.0;0.04;0.36;1.0;0.36
8;0.8;1.0;0.0;1.0;0.36;1.0;0.36;1.0;1.0;1.0
9;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
10;0.6;1.0;0.4;0.8;0.04;1.0;0.04;0.04;1.0;0.04
11;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
12;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
13;0.6;0.4;0.0;0.7;0.04;1.0;0.04;1.0;1.0;1.0
14;0.8;0.2;0.6;0.3;0.36;1.0;0.36;0.04;1.0;0.04
15;0.8;1.0;0.2;0.9;0.36;1.0;0.36;0.36;1.0;0.36
16;1.0;1.0;0.4;0.8;1.0;1.0;1.0;0.04;1.0;0.04
17;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
18;0.4;1.0;0.0;1.0;0.04;1.0;0.04;1.0;1.0;1.0
19;0.6;1.0;0.8;0.6;0.04;1.0;0.04;0.36;1.0;0.36
20;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
21;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
22;0.6;0.4;0.4;0.5;0.04;1.0;0.04;0.04;1.0;0.04
23;0.8;1.0;0.8;0.6;0.36;1.0;0.36;0.36;1.0;0.36
24;0.8;1.0;0.0;1.0;0.36;1.0;0.36;1.0;1.0;1.0
25;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
26;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
27;1.0;1.0;0.8;0.6;1.0;1.0;1.0;0.36;1.0;0.36
28;1.0;1.0;0.6;0.7;1.0;1.0;1.0;0.04;1.0;0.04
29;0.6;0.4;0.0;0.7;0.04;1.0;0.04;1.0;1.0;1.0
30;1.0;1.0;0.6;0.7;1.0;1.0;1.0;0.04;1.0;0.04
31;0.6;1.0;0.4;0.8;0.04;1.0;0.04;0.04;1.0;0.04
32;0.8;1.0;0.2;0.9;0.36;1.0;0.36;0.36;1.0;0.36
33;0.8;1.0;0.6;0.7;0.36;1.0;0.36;0.04;1.0;0.04
34;1.0;1.0;0.8;0.6;1.0;1.0;1.0;0.36;1.0;0.36
35;0.4;0.8;1.0;0.4;0.04;1.0;0.04;1.0;1.0;1.0
36;0.6;0.2;0.1;0.55;0.04;1.0;0.04;1.0;0.8;0.8
37;0.6;0.4;0.3;0.55;0.04;1.0;0.04;0.25;0.8;0.2
38;0.2;1.0;0.0;1.0;0.36;1.0;0.36;1.0;1.0;1.0
39;0.6;0.4;0.0;0.7;0.04;1.0;0.04;1.0;1.0;1.0
40;0.6;0.6;0.2;0.7;0.04;1.0;0.04;0.36;1.0;0.36
41;0.0;0.8;0.0;0.9;1.0;1.0;1.0;1.0;1.0;1.0
42;0.2;0.2;0.2;0.5;0.36;1.0;0.36;0.36;1.0;0.36
43;0.0;0.4;0.0;0.7;1.0;1.0;1.0;1.0;1.0;1.0
44;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
45;0.8;1.0;0.6;0.7;0.36;1.0;0.36;0.04;1.0;0.04
46;0.8;1.0;0.8;0.6;0.36;1.0;0.36;0.36;1.0;0.36
47;1.0;0.6;0.8;0.4;1.0;1.0;1.0;0.36;1.0;0.36
48;0.2;0.8;0.2;0.8;0.36;1.0;0.36;0.36;1.0;0.36
49;0.8;0.8;1.0;0.4;0.36;1.0;0.36;1.0;1.0;1.0
50;0.6;1.0;0.0;1.0;0.04;1.0;0.04;1.0;1.0;1.0
51;1.0;0.6;0.8;0.4;1.0;1.0;1.0;0.36;1.0;0.36
52;0.0;0.6;0.0;0.8;1.0;1.0;1.0;1.0;1.0;1.0
53;0.2;0.8;0.8;0.5;0.36;1.0;0.36;0.36;1.0;0.36
54;0.8;0.4;0.0;0.7;0.36;1.0;0.36;1.0;1.0;1.0
55;0.6;0.4;0.2;0.6;0.04;1.0;0.04;0.36;1.0;0.36
56;0.6;0.6;0.2;0.7;0.04;1.0;0.04;0.36;1.0;0.36
57;0.2;0.4;0.2;0.6;0.36;1.0;0.36;0.36;1.0;0.36
58;0.8;0.6;0.6;0.5;0.36;1.0;0.36;0.04;1.0;0.04
59;0.0;1.0;0.2;0.9;1.0;1.0;1.0;0.36;1.0;0.36
60;0.8;1.0;0.2;0.9;0.36;1.0;0.36;0.36;1.0;0.36
61;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
62;0.3;0.9;1.0;0.45;0.25;0.8;0.2;1.0;1.0;1.0
63;0.0;0.4;0.6;0.4;1.0;1.0;1.0;0.04;1.0;0.04
64;0.2;0.4;0.8;0.3;0.36;1.0;0.36;0.36;1.0;0.36
65;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
66;0.4;0.6;1.0;0.3;0.04;1.0;0.04;1.0;1.0;1.0
67;0.4;1.0;1.0;0.5;0.04;1.0;0.04;1.0;1.0;1.0
68;0.8;0.6;0.8;0.4;0.36;1.0;0.36;0.36;1.0;0.36
69;0.4;0.4;0.4;0.5;0.04;1.0;0.04;0.04;1.0;0.04
70;0.2;0.0;0.0;0.5;0.36;1.0;0.36;1.0;1.0;1.0
71;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
72;0.0;0.2;0.0;0.6;1.0;1.0;1.0;1.0;1.0;1.0
73;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
74;0.2;0.0;0.0;0.5;0.36;1.0;0.36;1.0;1.0;1.0
75;1.0;1.0;0.8;0.6;1.0;1.0;1.0;0.36;1.0;0.36
