Country;Predicted;Rainbow Map
Albania;45.79;35.449999999999996
Andorra;56.892;42.99999999999999
Armenia;40.25;9.16
Austria;59.721999999999994;53.98369999999999
Azerbaijan;33.730000000000004;2.25
Belarus;31.156000000000002;10.16
Belarus;31.156000000000002;10.16
Belgium;64.53800000000001;85.31000000000002
Belgium;64.53800000000001;85.31000000000002
Belgium;64.53800000000001;85.31000000000002
Bosnia & Herzegovina;47.760000000000005;39.633537000000004
Bosnia & Herzegovina;47.760000000000005;39.633537000000004
Bosnia & Herzegovina;47.760000000000005;39.633537000000004
Bulgaria;49.918000000000006;21.259999999999998
Croatia;59.05;49.13999999999999
Cyprus;42.338;33.69
Cyprus;42.338;33.69
Cyprus;42.338;33.69
Czechia;57.329999999999984;33.17
Denmark;69.28999999999998;80.10000000000002
Estonia;72.512;45.91
Finland;69.64;69.85000000000001
Finland;69.64;69.85000000000001
France;38.72700000000001;61.38
Georgia;46.767999999999994;11.88
