criterion_id;Fact;Support;Opposition
0;Konstitusiya cinsi orientasiyaya görə ayrı-seçkiliyi qadağan edirmi?;Konstitusiya cinsi orientasiyaya görə ayrı-seçkiliyi qadağan etməlimi?;Konstitusiya cinsi orientasiyaya görə ayrı-seçkiliyə icazə verməlidirmi?
1;İşə qəbul zamanı ayrı-seçkiliyə qarşı qanunvericiliyə cinsi orientasiya açıq şəkildə daxil edilibmi?;İşə qəbul zamanı ayrı-seçkiliyə qarşı qanunvericiliyə cinsi orientasiya açıq şəkildə daxil edilməlidirmi?;Cinsi orientasiya məşğulluq üzrə ayrı-seçkiliyə qarşı qanunvericilikdən istisna edilməlidirmi?
2;Cinsi orientasiya mallar və xidmətlər üzrə ayrı-seçkilik əleyhinə qanunvericiliyə açıq şəkildə daxil edilibmi?;Mallara və xidmətlərə qarşı ayrı-seçkiliyə qoyulmuş qanunvericiliyə cinsi orientasiyanın açıq şəkildə daxil edilməsi lazımdırmı?;Mallara və xidmətlərə qarşı ayrı-seçkiliyə qarşı qanunvericilikdə cinsi orientasiya istisna edilməlidirmi?
3;Təhsil sahəsində cinsi orientasiyaya görə ayrı-seçkilik qanunvericiliklə qadağan olunubmu?;Təhsil sahəsində cinsi orientasiyaya görə ayrı-seçkilik qanunvericiliklə qadağan edilməlidirmi?;Təhsil sahəsində cinsi orientasiyaya görə ayrı-seçkiliyə qanunvericiliklə icazə verilməlidirmi?
4;Səhiyyə sahəsində cinsi orientasiyaya görə ayrı-seçkilik qanunvericiliklə qadağan olunubmu?;Səhiyyə sahəsində cinsi orientasiyaya görə ayrı-seçkiliyin qanunvericiliklə qadağan edilməsi lazımdırmı?;Səhiyyə sahəsində cinsi orientasiyaya görə ayrı-seçkiliyə qanunvericiliklə icazə verilməlidirmi?
5;Kişik yaşlı şəxsin cinsi orientasiyasını dəyişdirmək məqsədilə konversiya və ya reaktiv təcrübələri qadağan edən hər hansı qanunvericilik və ya siyasət varmı?;Qanunvericilik və ya siyasətlərlə yetkinlik yaşına çatmamış şəxsin cinsi orientasiyasını dəyişdirməyi hədəfləyən konversiya və ya düzəldici təcrübələr qadağan edilməlidirmi?;Qanunvericilik və ya siyasətlərlə yetkinlik yaşına çatmamış şəxsin cinsi orientasiyasını dəyişdirməyi hədəfləyən konversiya və ya düzəldici təcrübələrə icazə verilməlidirmi?
6;Cinsi orientasiya ilə bağlı məsələləri həll etmək və sistemli şəkildə üzərində işləmək üçün açıq şəkildə səlahiyyət verilmiş milli insan hüquqları institutu və ya bərabərlik orqanı varmı?;Milli insan hüquqları institutuna və ya bərabərlik orqanına cinsi orientasiya ilə bağlı məsələləri həll etmək və sistemli şəkildə üzərində işləmək üçün açıq şəkildə mandat verilməlidirmi?;Milli insan hüquqları institutuna və ya bərabərlik orqanına cinsi orientasiya ilə bağlı məsələlərə baxmaq səlahiyyəti verilməməlidirmi?
7;Cinsi orientasiyanı açıq şəkildə əhatə edən və irəliləyiş üçün konkret tədbirlər nəzərdə tutan bərabərlik fəaliyyət planı varmı?;Cinsi orientasiyanı açıq şəkildə əhatə edən və irəliləyiş üçün konkret tədbirlər nəzərdə tutan bərabərlik fəaliyyət planı olmalıdırmı?;Cinsi orientasiya bərabərlik fəaliyyət planlarından çıxarılmalıdırmı?
8;Konstitusiya cinsiyyət kimliyinə görə ayrı-seçkiliyi qadağan edirmi?;Konstitusiya cinsiyyət kimliyinə görə ayrı-seçkiliyi qadağan etməlimi?;Konstitusiya cinsiyyət kimliyinə görə ayrı-seçkiliyə icazə verməlidirmi?
9;İşə qəbul zamanı ayrı-seçkiliyə qarşı qanunvericiliyə cinsiyyət kimliyinin açıq şəkildə daxil edilibmi?;Cinsi kimlik işə qəbul zamanı ayrı-seçkiliyə qarşı qanunvericiliyə açıq şəkildə daxil edilməlidirmi?;İşə qəbul zamanı ayrı-seçkiliyə qarşı qanunvericilikdə cinsiyyət kimliyinə görə ayrı-seçkilik qadağan edilməlidirmi?
