criterion_id;Fact;Support;Opposition
0;Verbuet d'Konstitutioun Diskriminatioun opgrond vun der sexueller Orientéierung?;Soll d'Konstitutioun Diskriminatioun opgrond vun der sexueller Orientéierung verbidden?;Soll d'Konstitutioun Diskriminatioun opgrond vun der sexueller Orientéierung erlaben?
1;Ass d'sexuell Orientéierung explizit an der Aarbechtsgesetzgebung géint Diskriminéierung abegraff?;Soll d'sexuell Orientéierung explizit an d'Gesetzgebung géint Diskriminatioun am Aarbechtsrecht abegraff ginn?;Soll d'sexuell Orientéierung aus dem Aarbechtsrechtleche Anti-Diskriminatiounsgesetz ausgeschloss ginn?
2;Ass d'sexuell Orientéierung explizit an der Anti-Diskriminatiounsgesetzgebung fir Wueren a Servicer abegraff?;Soll d'sexuell Orientéierung explizit an d'Gesetzgebung géint Diskriminéierung bei Wueren a Servicer abegraff ginn?;Soll d'sexuell Orientéierung an der Anti-Diskriminatiounsgesetzgebung fir Wueren a Servicer ausgeschloss ginn?
3;Ass Diskriminatioun opgrond vun der sexueller Orientéierung am Bildungsberäich gesetzlech verbueden?;Soll Diskriminatioun opgrond vun der sexueller Orientéierung am Bildungsberäich duerch Gesetz verbuede ginn?;Soll Diskriminatioun opgrond vun der sexueller Orientéierung am Bildungsberäich duerch d'Gesetz erlaabt ginn?
4;Ass Diskriminatioun opgrond vun der sexueller Orientéierung am Gesondheetsberäich duerch d'Gesetz verbueden?;Soll Diskriminatioun opgrond vun der sexueller Orientéierung am Gesondheetsberäich duerch d'Gesetz verbuede ginn?;Soll Diskriminatioun opgrond vun der sexueller Orientéierung am Gesondheetsberäich duerch d'Gesetz erlaabt ginn?
5;Gëtt et Gesetzer oder Politiken, déi Konversiouns- oder Reparaturpraktiken verbidden, déi dorop aus sinn, d'sexuell Orientéierung vun engem Mannerjäregen ze änneren?;Sollten Konversiouns- oder Reparaturpraktiken, déi dorop ausgeriicht sinn, d'sexuell Orientéierung vun engem Mannerjäregen ze änneren, duerch Gesetzer oder Politiken verbuede ginn?;Sollten Konversiouns- oder reparative Praktiken, déi dorop ausgeriicht sinn, d'sexuell Orientéierung vun engem Mannerjäregen ze änneren, duerch Gesetzer oder Politiken erlaabt ginn?
6;Gëtt et eng national Mënscherechtsinstitut oder e Gläichheetsorgan, dat explizit mandatéiert ass, sech mat Themen ronderëm sexuell Orientéierung ze befassen an dës systematesch unzegoen?;Soll eng national Mënscherechtsinstitut oder e Gläichheetsorgan explizit mandatéiert ginn, fir sech mat Themen am Zesummenhang mat der sexueller Orientéierung ze befassen an dës systematesch unzegoen?;Soll eng national Mënscherechtsinstitut oder Gläichheetsinstanz net mandatéiert sinn, Themen am Zesummenhang mat der sexueller Orientéierung unzegoen?
7;Gëtt et e Gläichheetsaktiounsplang, deen explizit sexuell Orientéierung an spezifesch Moossnamen fir Fortschrëtter enthält?;Soll et e Gläichheetsaktiounsplang ginn, deen explizit sexuell Orientéierung an spezifesch Moossnamen fir Fortschrëtter enthält?;Soll d'sexuell Orientéierung aus de Pläng fir d'Gläichheet ausgeschloss ginn?
8;Verbuet d'Konstitutioun Diskriminatioun opgrond vun der Geschlechtsidentitéit?;Soll d'Konstitutioun Diskriminatioun opgrond vun der Geschlechtsidentitéit verbidden?;Soll d'Konstitutioun Diskriminatioun opgrond vun der Geschlechteridentitéit erlaben?
9;Ass d'Geschlechtsidentitéit explizit an der Aarbechtsgesetzgebung géint Diskriminéierung abegraff?;Soll d'Geschlechteridentitéit explizit an d'Gesetzgebung géint Diskriminatioun am Aarbechtsberäich abegraff ginn?;Soll d'Geschlechtsidentitéit an der Gesetzgebung géint Diskriminatioun am Aarbechtsberäich ausgeschloss ginn?
