criterion_id;Fact;Support;Opposition
0;förbjuder konstitutionen diskriminering på grund av sexuell läggning?;bör konstitutionen förbjuda diskriminering på grund av sexuell läggning?;bör konstitutionen tillåta diskriminering på grund av sexuell läggning?
1;ingår sexuell läggning uttryckligen i antidiskrimineringslagstiftningen på arbetsmarknaden?;bör sexuell läggning uttryckligen ingå i lagstiftningen mot diskriminering i arbetslivet?;bör sexuell läggning undantas från antidiskrimineringslagstiftningen på arbetsmarknaden?
2;ingår sexuell läggning uttryckligen i antidiskrimineringslagstiftningen för varor och tjänster?;bör sexuell läggning uttryckligen ingå i antidiskrimineringslagstiftningen för varor och tjänster?;bör sexuell läggning undantas i antidiskrimineringslagstiftningen för varor och tjänster?
3;Är diskriminering på grund av sexuell läggning inom utbildningsområdet förbjuden enligt lag?;Bör diskriminering på grund av sexuell läggning inom utbildningsområdet förbjudas genom lagstiftning?;Bör diskriminering på grund av sexuell läggning inom utbildningsområdet tillåtas genom lagstiftning?
4;Är diskriminering på grund av sexuell läggning inom hälso- och sjukvården förbjuden enligt lag?;Bör diskriminering på grund av sexuell läggning inom hälsoområdet förbjudas i lagstiftningen?;Bör diskriminering på grund av sexuell läggning inom hälsoområdet tillåtas i lagstiftningen?
5;Finns det någon lagstiftning eller policy som förbjuder omvändelse eller reparativa metoder som syftar till att ändra en minderårigs sexuella läggning?;bör omvändelse eller reparativa metoder som syftar till att ändra en minderårigs sexuella läggning förbjudas genom lagstiftning eller policy?;bör omvändelse- eller reparationsmetoder som syftar till att ändra en minderårigs sexuella läggning tillåtas genom lagstiftning eller policy?
6;finns det en nationell institution för mänskliga rättigheter eller ett jämställdhetsorgan som har ett uttryckligt mandat att ta upp och systematiskt arbeta med frågor som rör sexuell läggning?;bör en nationell institution för mänskliga rättigheter eller ett nationellt jämställdhetsorgan ha ett uttryckligt mandat att ta upp och systematiskt arbeta med frågor som rör sexuell läggning?;bör en nationell institution för mänskliga rättigheter eller ett nationellt jämställdhetsorgan inte ha mandat att ta upp frågor som rör sexuell läggning?
7;finns det en handlingsplan för jämställdhet som uttryckligen omfattar sexuell läggning och specifika åtgärder för framsteg?;bör det finnas en handlingsplan för jämställdhet som uttryckligen omfattar sexuell läggning och specifika åtgärder för framsteg?;bör sexuell läggning uteslutas från handlingsplaner för jämställdhet?
8;Förbjuder grundlagen diskriminering på grund av könsidentitet?;bör konstitutionen förbjuda diskriminering på grund av könsidentitet?;bör konstitutionen tillåta diskriminering på grund av könsidentitet?
9;ingår könsidentitet uttryckligen i antidiskrimineringslagstiftningen på arbetsmarknaden?;bör könsidentitet uttryckligen inkluderas i antidiskrimineringslagstiftningen på arbetsmarknaden?;bör könsidentitet undantas i antidiskrimineringslagstiftningen på arbetsmarknaden?
