criterion_id;Fact;Support;Opposition;Stance;Fact Coherence;Fact Validity;Fact Weight coherence by validity;Stance Coherence;Stance Validity;Stance Weight coherence by validity
0;0.6;0.5;0.1;0.7;0.04;1.0;0.04;1.0;0.8;0.8
1;1.0;0.5;0.0;0.75;1.0;1.0;1.0;1.0;1.0;1.0
2;1.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
3;1.0;1.0;0.2;0.9;1.0;1.0;1.0;1.0;0.6;0.6
4;1.0;0.8;0.0;0.9;1.0;1.0;1.0;1.0;1.0;1.0
5;1.0;1.0;0.1;0.95;1.0;1.0;1.0;1.0;0.8;0.8
6;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
7;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
8;1.0;0.5;0.0;0.75;1.0;1.0;1.0;1.0;1.0;1.0
9;1.0;0.5;0.3;0.6;1.0;1.0;1.0;1.0;0.4;0.4
10;1.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
11;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
12;1.0;0.5;0.0;0.75;1.0;1.0;1.0;1.0;1.0;1.0
13;1.0;0.9;0.0;0.95;1.0;1.0;1.0;1.0;1.0;1.0
14;1.0;0.6;1.0;0.3;1.0;1.0;1.0;1.0;1.0;1.0
15;1.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
16;1.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
17;0.0;0.5;0.1;0.7;1.0;1.0;1.0;1.0;0.8;0.8
18;1.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
19;0.6;0.8;0.3;0.75;0.04;1.0;0.04;1.0;0.4;0.4
20;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
21;1.0;0.5;0.0;0.75;1.0;1.0;1.0;1.0;1.0;1.0
22;0.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
23;1.0;0.6;0.5;0.55;1.0;1.0;1.0;;0.0;0.0
24;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
25;1.0;0.7;0.5;0.6;1.0;1.0;1.0;;0.0;0.0
26;1.0;0.7;0.5;0.6;1.0;1.0;1.0;;0.0;0.0
27;1.0;0.6;0.5;0.55;1.0;1.0;1.0;;0.0;0.0
28;1.0;0.7;0.4;0.65;1.0;1.0;1.0;1.0;0.2;0.2
29;0.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
30;1.0;0.6;1.0;0.3;1.0;1.0;1.0;1.0;1.0;1.0
31;1.0;0.6;0.5;0.55;1.0;1.0;1.0;;0.0;0.0
32;0.2;0.5;0.5;0.5;0.36;1.0;0.36;;0.0;0.0
33;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
34;0.6;0.5;0.5;0.5;0.04;1.0;0.04;;0.0;0.0
35;0.0;1.0;0.4;0.8;1.0;1.0;1.0;1.0;0.2;0.2
36;1.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
37;1.0;0.5;0.4;0.55;1.0;1.0;1.0;1.0;0.2;0.2
38;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
39;1.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
40;1.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
41;1.0;1.0;0.5;0.75;1.0;1.0;1.0;;0.0;0.0
42;1.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
43;1.0;0.5;0.0;0.75;1.0;1.0;1.0;1.0;1.0;1.0
44;0.2;1.0;0.0;1.0;0.36;1.0;0.36;1.0;1.0;1.0
45;1.0;0.0;0.5;0.25;1.0;1.0;1.0;;0.0;0.0
46;1.0;0.5;0.0;0.75;1.0;1.0;1.0;1.0;1.0;1.0
47;1.0;0.5;0.8;0.35;1.0;1.0;1.0;1.0;0.6;0.6
48;0.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
49;0.2;0.5;0.5;0.5;0.36;1.0;0.36;;0.0;0.0
50;0.6;0.5;0.2;0.65;0.04;1.0;0.04;1.0;0.6;0.6
51;0.0;0.5;0.2;0.65;1.0;1.0;1.0;0.36;1.0;0.36
52;0.0;0.5;0.0;0.75;1.0;1.0;1.0;1.0;1.0;1.0
53;1.0;0.5;0.0;0.75;1.0;1.0;1.0;1.0;1.0;1.0
54;1.0;0.5;0.0;0.75;1.0;1.0;1.0;1.0;1.0;1.0
55;1.0;0.1;0.4;0.35;1.0;1.0;1.0;1.0;0.2;0.2
56;1.0;0.0;0.4;0.3;1.0;1.0;1.0;1.0;0.2;0.2
57;0.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
58;1.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
59;0.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
60;0.6;0.5;0.5;0.5;0.04;1.0;0.04;;0.0;0.0
61;0.0;0.5;0.0;0.75;1.0;1.0;1.0;1.0;1.0;1.0
62;0.0;0.5;0.6;0.45;1.0;1.0;1.0;1.0;0.2;0.2
63;0.0;0.8;0.0;0.9;1.0;1.0;1.0;1.0;1.0;1.0
64;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
65;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
66;0.0;0.3;0.2;0.55;1.0;1.0;1.0;1.0;0.6;0.6
67;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
68;0.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
69;0.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
70;1.0;0.5;0.4;0.55;1.0;1.0;1.0;1.0;0.2;0.2
71;0.0;1.0;0.5;0.75;1.0;1.0;1.0;;0.0;0.0
72;1.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
73;0.0;1.0;0.6;0.7;1.0;1.0;1.0;1.0;0.2;0.2
74;0.2;0.5;0.5;0.5;0.36;1.0;0.36;;0.0;0.0
75;0.0;1.0;0.5;0.75;1.0;1.0;1.0;0.0;0.4;0.0
