criterion_id;Fact;Support;Opposition
0;Në Shqipëri, a ndalon Kushtetuta diskriminimin bazuar në orientimin seksual?;Në Shqipëri, a duhet të ndalojë Kushtetuta diskriminimin bazuar në orientimin seksual?;Në Shqipëri, a duhet të lejojë Kushtetuta diskriminimin bazuar në orientimin seksual?
1;Në Shqipëri, a përfshihet orientimi seksual në mënyrë eksplicite në legjislacionin kundër diskriminimit në punësim?;Në Shqipëri, a duhet të përfshihet shprehimisht orientimi seksual në legjislacionin kundër diskriminimit në punësim?;Në Shqipëri, a duhet që orientimi seksual të përjashtohet nga legjislacioni kundër diskriminimit në punësim?
2;Në Shqipëri, a përfshihet orientimi seksual shprehimisht në legjislacionin kundër diskriminimit për mallrat dhe shërbimet?;Në Shqipëri, a duhet të përfshihet shprehimisht orientimi seksual në legjislacionin kundër diskriminimit në mallra dhe shërbime?;Në Shqipëri, a duhet të përfshihet orientimi seksual në legjislacionin kundër diskriminimit për mallrat dhe shërbimet?
3;Në Shqipëri, a ndalohet me ligj diskriminimi bazuar në orientimin seksual në fushën e arsimit?;Në Shqipëri, a duhet të ndalohet me ligj diskriminimi bazuar në orientimin seksual në fushën e arsimit?;Në Shqipëri, a duhet që diskriminimi bazuar në orientimin seksual në fushën e arsimit të lejohet nga legjislacioni?
4;Në Shqipëri, a ndalohet me ligj diskriminimi bazuar në orientimin seksual në fushën e shëndetësisë?;Në Shqipëri, a duhet të ndalohet me ligj diskriminimi bazuar në orientimin seksual në fushën e shëndetësisë?;Në Shqipëri, a duhet që diskriminimi bazuar në orientimin seksual në fushën e shëndetësisë të lejohet nga legjislacioni?
5;Në Shqipëri, a ekzistojnë ndonjë ligj ose politikë që ndalojnë praktikat e konvertimit ose reparative me qëllim ndryshimin e orientimit seksual të një të mituri?;Në Shqipëri, a duhet që praktikat e konvertimit ose reparative, të cilat synojnë ndryshimin e orientimit seksual të një të mituri, të ndalohen me ligj ose politika?;Në Shqipëri, a duhet që konvertimi ose praktikat reparative me qëllim ndryshimin e orientimit seksual të një të mituri të lejohen nga legjislacioni ose politikat?
6;Në Shqipëri, a ekziston një institucion kombëtar për të drejtat e njeriut ose një organ për barazi, i ngarkuar shprehimisht të trajtojë dhe të punojë në mënyrë sistematike mbi çështjet që lidhen me orientimin seksual?;Në Shqipëri, a duhet që një institucion kombëtar për të drejtat e njeriut ose një organ për barazi të ketë mandat të qartë për të trajtuar dhe punuar në mënyrë sistematike çështjet që lidhen me orientimin seksual?;Në Shqipëri, a nuk duhet të ngarkohet një institucion kombëtar për të drejtat e njeriut ose një organ për barazi që të trajtojë çështjet që lidhen me orientimin seksual?
7;Në Shqipëri, a ekziston një plan veprimi për barazi që përfshin në mënyrë eksplicite orientimin seksual dhe masa specifike për përparim?;Në Shqipëri, a duhet të ketë një plan veprimi për barazi që përfshin në mënyrë eksplicite orientimin seksual dhe masa specifike për përparim?;Në Shqipëri, a duhet të përjashtohet orientimi seksual nga planet e veprimit për barazi?
8;Në Shqipëri, a ndalon Kushtetuta diskriminimin bazuar në identitetin gjinor?;Në Shqipëri, a duhet të ndalojë Kushtetuta diskriminimin bazuar në identitetin gjinor?;Në Shqipëri, a duhet të lejojë Kushtetuta diskriminimin bazuar në identitetin gjinor?
9;Në Shqipëri, a përfshihet shprehimisht identiteti gjinor në legjislacionin kundër diskriminimit në punësim?;Në Shqipëri, a duhet të përfshihet shprehimisht identiteti gjinor në legjislacionin kundër diskriminimit në punësim?;Në Shqipëri, a duhet të përjashtohet identiteti gjinor nga legjislacioni kundër diskriminimit në punësim?
10;Në Shqipëri, a përfshihet identiteti gjinor në mënyrë eksplicite në legjislacionin kundër diskriminimit në mallra dhe shërbime?;Në Shqipëri, a duhet të përfshihet shprehimisht identiteti gjinor në legjislacionin kundër diskriminimit në mallra dhe shërbime?;Në Shqipëri, a duhet që identiteti gjinor të përjashtohet nga legjislacioni kundër diskriminimit në mallra dhe shërbime?
11;Në Shqipëri, a ndalohet me ligj diskriminimi bazuar në identitetin gjinor në fushën e arsimit?;Në Shqipëri, a duhet të ndalohet me ligj diskriminimi bazuar në identitetin gjinor në fushën e arsimit?;Në Shqipëri, a duhet që diskriminimi bazuar në identitetin gjinor në fushën e arsimit të lejohet nga legjislacioni?
12;Në Shqipëri, a ndalohet me ligj diskriminimi bazuar në identitetin gjinor në fushën e shëndetësisë?;Në Shqipëri, a duhet të ndalohet me ligj diskriminimi bazuar në identitetin gjinor në fushën e shëndetësisë?;Në Shqipëri, a duhet që diskriminimi bazuar në identitetin gjinor në fushën e shëndetësisë të lejohet nga legjislacioni?
13;Në Shqipëri, a ekzistojnë ndonjë ligj ose politikë që ndalojnë praktikat e konvertimit ose riparuese me qëllim ndryshimin e identitetit gjinor të një të mituri?;Në Shqipëri, a duhet që praktikat e konvertimit ose reparative, të cilat synojnë ndryshimin e identitetit gjinor të një të mituri, të ndalohen me ligj ose politika?;Në Shqipëri, a duhet që ligjet ose politikat të lejojnë praktikat e konvertimit ose reparative që synojnë ndryshimin e identitetit gjinor të një të mituri?
14;Në Shqipëri, a ekziston një institucion kombëtar për të drejtat e njeriut ose një organ për barazi, i ngarkuar shprehimisht të trajtojë dhe të punojë në mënyrë sistematike mbi çështjet që lidhen me identitetin gjinor? (mendoj se ju nevojitet vetëm një);Në Shqipëri, a duhet që një institucion kombëtar për të drejtat e njeriut ose një organ për barazi të ketë mandat të qartë për të trajtuar çështjet që lidhen me identitetin gjinor?;Në Shqipëri, a nuk duhet t'i jepet mandat një institucioni kombëtar për të drejtat e njeriut ose një organi për barazi që të trajtojë çështjet që lidhen me identitetin gjinor?
15;Në Shqipëri, a ekziston një plan veprimi për barazi që përfshin në mënyrë eksplicite identitetin gjinor dhe masa specifike për përparim?;Në Shqipëri, a duhet të ketë një plan veprimi për barazi që përfshin në mënyrë eksplicite identitetin gjinor dhe masa specifike për përparim?;Në Shqipëri, a duhet të përjashtohet identiteti gjinor nga planet e veprimit për barazi?
16;Në Shqipëri, a përfshihet shprehja gjinore në mënyrë eksplicite në legjislacionin kundër diskriminimit?;Në Shqipëri, a duhet që shprehja gjinore të përfshihet shprehimisht në legjislacionin kundër diskriminimit?;Në Shqipëri, a duhet të përjashtohet shprehja gjinore nga legjislacioni kundër diskriminimit?
17;Në Shqipëri, a ndalon Kushtetuta diskriminimin bazuar në karakteristikat seksuale?;Në Shqipëri, a duhet të ndalojë Kushtetuta diskriminimin bazuar në karakteristikat seksuale?;Në Shqipëri, a duhet të lejojë Kushtetuta diskriminimin bazuar në karakteristikat seksuale?
18;Në Shqipëri, a përfshihen në mënyrë eksplicite karakteristikat seksuale në legjislacionin kundër diskriminimit në punësim?;Në Shqipëri, a duhet të përfshihen në mënyrë eksplicite karakteristikat seksuale në legjislacionin kundër diskriminimit në punësim?;Në Shqipëri, a duhet të përjashtohen karakteristikat seksuale nga legjislacioni kundër diskriminimit në punësim?
19;Në Shqipëri, a përfshihen në mënyrë eksplicite karakteristikat seksuale në legjislacionin kundër diskriminimit për mallrat dhe shërbimet?;Në Shqipëri, a duhet të përfshihen në mënyrë eksplicite karakteristikat seksuale në legjislacionin kundër diskriminimit në mallra dhe shërbime?;Në Shqipëri, a duhet të përjashtohen karakteristikat seksuale nga legjislacioni kundër diskriminimit në mallra dhe shërbime?
20;Në Shqipëri, a ndalohet me ligj diskriminimi bazuar në karakteristikat seksuale në fushën e arsimit?;Në Shqipëri, a duhet të ndalohet me ligj diskriminimi bazuar në karakteristikat seksuale në fushën e arsimit?;Në Shqipëri, a duhet që diskriminimi bazuar në karakteristikat seksuale në fushën e arsimit të lejohet nga legjislacioni?
21;Në Shqipëri, a ndalohet me ligj diskriminimi bazuar në karakteristikat seksuale në fushën e shëndetësisë?;Në Shqipëri, a duhet të ndalohet me ligj diskriminimi bazuar në karakteristikat seksuale në fushën e shëndetësisë?;Në Shqipëri, a duhet të lejohet nga legjislacioni diskriminimi bazuar në karakteristikat seksuale në fushën e shëndetësisë?
22;Në Shqipëri, a ekziston një institucion kombëtar për të drejtat e njeriut ose një organ për barazi, i ngarkuar shprehimisht të trajtojë dhe të punojë në mënyrë sistematike mbi çështjet që lidhen me karakteristikat seksuale?;Në Shqipëri, a duhet që institucionet kombëtare të të drejtave të njeriut ose organet e barazisë të kenë mandat të qartë për të trajtuar çështjet që lidhen me karakteristikat seksuale?;Në Shqipëri, a nuk duhet t'u jepet mandat institucioneve kombëtare të të drejtave të njeriut ose organeve për barazi që të trajtojnë çështjet që lidhen me karakteristikat seksuale?
23;Në Shqipëri, a ekziston një plan veprimi për barazi që përfshin në mënyrë eksplicite karakteristikat seksuale dhe masa specifike për përparim?;Në Shqipëri, a duhet të ketë një plan veprimi për barazi që përfshin në mënyrë eksplicite identitetin gjinor dhe masa specifike për përparim?;Në Shqipëri, a duhet të përjashtohen karakteristikat seksuale nga planet e veprimit për barazi?
24;Në Shqipëri, a është dhurimi i gjakut ose i çdo lloji indesh trupore për personat LGBTI, bazuar në orientimin e tyre seksual ose identitetin gjinor, i lirë nga ndalimi ligjor ose administrativ? ;Në Shqipëri, a duhet të lejohet dhurimi i gjakut ose i çdo lloji indesh trupore nga personat LGBTI, pa asnjë ndalim ligjor ose administrativ, bazuar në orientimin e tyre seksual ose identitetin gjinor? ;Në Shqipëri, a duhet që dhurimi i gjakut ose i çdo lloji indesh trupore nga personat LGBTI, bazuar në orientimin e tyre seksual ose identitetin gjinor, të ndalohet me ligj ose me masa administrative? 
25;Në Shqipëri, a lejohen çiftet e të njëjtës gjini të martohen me të njëjtin nivel të të drejtave si çiftet e martuara të gjinive të ndryshme?;Në Shqipëri, a duhet t'u lejohet çifteve të së njëjtës gjini të martohen me të njëjtin nivel të të drejtave si çiftet e martuara të gjinive të ndryshme?;Në Shqipëri, a nuk duhet t'u lejohet çifteve të së njëjtës gjini të martohen me të njëjtin nivel të të drejtave si çiftet e martuara të gjinive të ndryshme?
26;Në Shqipëri, a lejohen çiftet e të njëjtës gjini të hyjnë në një partneritet të regjistruar/partneritet civil dhe të fitojnë të njëjtin nivel të të drejtave sikur të ishin të martuar?;Në Shqipëri, a duhet t'u lejohet çifteve të së njëjtës gjini të hyjnë në një partneritet të regjistruar/partneritet civil dhe të fitojnë të njëjtin nivel të të drejtave sikur të ishin të martuar?;Në Shqipëri, a nuk duhet t'u lejohet çifteve të së njëjtës gjini të hyjnë në një partneritet të regjistruar/partneritet civil dhe të fitojnë të njëjtin nivel të të drejtave sikur të ishin të martuar?
27;Në Shqipëri, a lejohen çiftet e të njëjtës gjini të hyjnë në një partneritet të regjistruar/partneritet civil?;Në Shqipëri, a duhet t'u lejohet çifteve të së njëjtës gjini të hyjnë në një partneritet të regjistruar/partneritet civil?;Në Shqipëri, a nuk duhet t'u lejohet çifteve të së njëjtës gjini të hyjnë në një partneritet të regjistruar/partneritet civil?
28;Në Shqipëri, a përfshihen çiftet e së njëjtës gjini në legjislacion ose masa ligjore për bashkëjetesën?;Në Shqipëri, a duhet që çiftet e së njëjtës gjini të përfshihen në legjislacion ose masa ligjore për bashkëjetesën?;Në Shqipëri, a duhet që çiftet e së njëjtës gjini të përjashtohen nga legjislacioni ose masat ligjore për bashkëjetesën?
29;Në Shqipëri, a nuk ka asnjë përkufizim kushtetues të martesës si një bashkim vetëm midis një burri dhe një gruaje?;Në Shqipëri, a duhet të mos ketë një përkufizim kushtetues të martesës si një bashkim vetëm midis një burri dhe një gruaje?;Në Shqipëri, a duhet të ketë një përkufizim kushtetues të martesës si një bashkim vetëm midis një burri dhe një gruaje?
30;Në Shqipëri, a lejohen çiftet e të njëjtës gjini të aplikojnë ligjërisht për adoptim të përbashkët?;Në Shqipëri, a duhet t'u lejohet çifteve të së njëjtës gjini të aplikojnë ligjërisht për adoptim të përbashkët?;Në Shqipëri, a nuk duhet t'u lejohet çifteve të së njëjtës gjini të aplikojnë ligjërisht për adoptim të përbashkët?
31;Në Shqipëri, a lejohen çiftet e të njëjtës gjini të aplikojnë ligjërisht për adoptim nga prindi i dytë?;Në Shqipëri, a duhet t'u lejohet çifteve të së njëjtës gjini të aplikojnë për adoptim nga prindi i dytë?;Në Shqipëri, a nuk duhet t'u lejohet çifteve të së njëjtës gjini të aplikojnë për adoptim nga prindi i dytë?
32;Në Shqipëri, a njihen automatikisht ligjërisht që nga lindja fëmijët e lindur nga çiftet si fëmijë të të dy prindërve, pavarësisht orientimit seksual dhe/ose identitetit gjinor të partnerëve?;Në Shqipëri, a duhet që fëmijët e lindur nga çiftet të njihen automatikisht ligjërisht që nga lindja si fëmijët e të dy prindërve, pavarësisht orientimit seksual dhe/ose identitetit gjinor të partnerëve?;Në Shqipëri, a nuk duhet që fëmijët e lindur nga çiftet të njihen automatikisht ligjërisht që nga lindja si fëmijët e të dy prindërve, pavarësisht orientimit seksual dhe/ose identitetit gjinor të partnerëve?
