criterion_id;Fact;Support;Opposition
0;Verbietet die Verfassung die Diskriminierung aufgrund der sexuellen Ausrichtung?;Sollte die Verfassung die Diskriminierung aufgrund der sexuellen Ausrichtung verbieten?;Sollte die Verfassung eine Diskriminierung aufgrund der sexuellen Ausrichtung zulassen?
1;Ist die sexuelle Ausrichtung ausdrücklich in den Antidiskriminierungsvorschriften für den Bereich der Beschäftigung enthalten?;Sollte die sexuelle Ausrichtung ausdrücklich in die Antidiskriminierungsvorschriften für den Bereich Beschäftigung aufgenommen werden?;Sollte die sexuelle Ausrichtung von der Antidiskriminierungsgesetzgebung im Bereich der Beschäftigung ausgenommen werden?
2;Ist die sexuelle Ausrichtung ausdrücklich in den Antidiskriminierungsvorschriften für Waren und Dienstleistungen enthalten?;Sollte die sexuelle Ausrichtung ausdrücklich in die Antidiskriminierungsvorschriften für Waren und Dienstleistungen aufgenommen werden?;Sollte die sexuelle Ausrichtung aus den Antidiskriminierungsvorschriften für Waren und Dienstleistungen ausgeschlossen werden?
3;Ist Diskriminierung aufgrund der sexuellen Ausrichtung im Bereich der Bildung gesetzlich verboten?;Sollte die Diskriminierung aufgrund der sexuellen Ausrichtung im Bereich der Bildung gesetzlich verboten werden?;Sollte eine Diskriminierung aufgrund der sexuellen Ausrichtung im Bildungsbereich gesetzlich erlaubt sein?
4;Ist Diskriminierung aufgrund der sexuellen Ausrichtung im Gesundheitsbereich gesetzlich verboten?;Sollte die Diskriminierung aufgrund der sexuellen Ausrichtung im Gesundheitsbereich gesetzlich verboten werden?;Sollte die Diskriminierung aufgrund der sexuellen Ausrichtung im Gesundheitsbereich gesetzlich erlaubt sein?
5;Gibt es Rechtsvorschriften oder Maßnahmen, die Bekehrungs- oder Wiederherstellungspraktiken verbieten, die darauf abzielen, die sexuelle Ausrichtung von Minderjährigen zu ändern?;Sollten Bekehrungs- oder Wiederherstellungspraktiken, die darauf abzielen, die sexuelle Ausrichtung eines Minderjährigen zu ändern, durch Rechtsvorschriften oder politische Maßnahmen verboten werden?;Sollten Konversions- oder Reparationspraktiken, die darauf abzielen, die sexuelle Ausrichtung eines Minderjährigen zu ändern, durch Rechtsvorschriften oder politische Maßnahmen zugelassen werden?
6;Gibt es eine nationale Menschenrechtsinstitution oder Gleichstellungsstelle, die ausdrücklich beauftragt ist, sich mit Fragen der sexuellen Ausrichtung zu befassen und systematisch daran zu arbeiten?;Sollte eine nationale Menschenrechtsinstitution oder Gleichstellungsstelle ausdrücklich damit beauftragt werden, sich mit Fragen der sexuellen Ausrichtung zu befassen und systematisch daran zu arbeiten?;Sollte eine nationale Menschenrechtsinstitution oder Gleichstellungsstelle nicht beauftragt werden, sich mit Fragen der sexuellen Ausrichtung zu befassen?
7;Gibt es einen Aktionsplan zur Gleichstellung, der ausdrücklich die sexuelle Ausrichtung und spezifische Maßnahmen für Fortschritte einschließt?;Sollte es einen Aktionsplan zur Gleichstellung geben, der ausdrücklich die sexuelle Ausrichtung und spezifische Maßnahmen für Fortschritte einschließt?;Sollte die sexuelle Ausrichtung aus den Aktionsplänen zur Gleichstellung ausgeschlossen werden?
8;Verbietet die Verfassung die Diskriminierung aufgrund der Geschlechtsidentität?;Sollte die Verfassung die Diskriminierung aufgrund der Geschlechtsidentität verbieten?;Sollte die Verfassung eine Diskriminierung aufgrund der geschlechtlichen Identität zulassen?
9;Ist die Geschlechtsidentität ausdrücklich in den Antidiskriminierungsvorschriften für den Bereich Beschäftigung enthalten?;Sollte die Geschlechtsidentität ausdrücklich in die Antidiskriminierungsgesetze für den Arbeitsmarkt aufgenommen werden?;Sollte die Geschlechtsidentität in den Antidiskriminierungsgesetzen für den Bereich der Beschäftigung ausgenommen werden?
10;Ist die Geschlechtsidentität ausdrücklich in den Antidiskriminierungsvorschriften für Waren und Dienstleistungen enthalten?;Sollte die Geschlechtsidentität ausdrücklich in die Antidiskriminierungsvorschriften für Waren und Dienstleistungen aufgenommen werden?;Sollte die Geschlechtsidentität aus den Antidiskriminierungsvorschriften für Waren und Dienstleistungen ausgeschlossen werden?
11;Ist eine Diskriminierung aufgrund der Geschlechtsidentität im Bildungsbereich gesetzlich verboten?;Sollte die Diskriminierung aufgrund der Geschlechtsidentität im Bereich der Bildung gesetzlich verboten werden?;Sollte die Diskriminierung aufgrund der Geschlechtsidentität im Bildungsbereich gesetzlich erlaubt sein?
12;Ist Diskriminierung aufgrund der Geschlechtsidentität im Gesundheitsbereich gesetzlich verboten?;Sollte die Diskriminierung aufgrund der Geschlechtsidentität im Gesundheitsbereich gesetzlich verboten werden?;Sollte die Diskriminierung aufgrund der Geschlechtsidentität im Gesundheitsbereich gesetzlich erlaubt sein?
13;Gibt es Rechtsvorschriften oder Maßnahmen, die Konversions- oder Reparationspraktiken verbieten, die darauf abzielen, die Geschlechtsidentität eines Minderjährigen zu ändern?;Sollten Konversions- oder Wiederherstellungspraktiken, die darauf abzielen, die Geschlechtsidentität eines Minderjährigen zu ändern, durch Rechtsvorschriften oder politische Maßnahmen verboten werden?;Sollten Konversions- oder Reparationspraktiken, die darauf abzielen, die Geschlechtsidentität eines Minderjährigen zu ändern, durch Rechtsvorschriften oder politische Maßnahmen zugelassen werden?
14;Gibt es eine nationale Menschenrechtsinstitution oder Gleichstellungsstelle, die ausdrücklich beauftragt ist, sich mit Fragen der Geschlechtsidentität zu befassen und systematisch daran zu arbeiten? (ich denke, Sie brauchen nur eine);Sollte eine nationale Menschenrechtsinstitution oder Gleichstellungsstelle ausdrücklich beauftragt werden, sich mit Fragen der Geschlechtsidentität zu befassen?;Sollte eine nationale Menschenrechtsinstitution oder Gleichstellungsstelle nicht beauftragt werden, sich mit Fragen der Geschlechtsidentität zu befassen?
15;Gibt es einen Aktionsplan für die Gleichstellung, der ausdrücklich die Geschlechtsidentität und spezifische Maßnahmen für Fortschritte einschließt?;Sollte es einen Aktionsplan zur Gleichstellung geben, der ausdrücklich die Geschlechtsidentität und spezifische Maßnahmen für den Fortschritt einschließt?;Sollte die Geschlechtsidentität aus den Aktionsplänen zur Gleichstellung ausgeschlossen werden?
16;Ist der Ausdruck des Geschlechts ausdrücklich in den Antidiskriminierungsvorschriften enthalten?;Sollte der Ausdruck des Geschlechts ausdrücklich in die Antidiskriminierungsgesetze aufgenommen werden?;Sollte der Ausdruck des Geschlechts von der Antidiskriminierungsgesetzgebung ausgenommen werden?
17;Verbietet die Verfassung die Diskriminierung aufgrund von Geschlechtsmerkmalen?;Sollte die Verfassung die Diskriminierung aufgrund von Geschlechtsmerkmalen verbieten?;Sollte die Verfassung eine Diskriminierung aufgrund von Geschlechtsmerkmalen zulassen?
18;Sind geschlechtsspezifische Merkmale ausdrücklich in den Antidiskriminierungsvorschriften für den Bereich Beschäftigung enthalten?;Sollten geschlechtsspezifische Merkmale ausdrücklich in die Antidiskriminierungsvorschriften für den Bereich der Beschäftigung aufgenommen werden?;Sollten geschlechtsspezifische Merkmale von den Antidiskriminierungsgesetzen im Bereich der Beschäftigung ausgenommen werden?
19;Sind geschlechtsspezifische Merkmale ausdrücklich in den Antidiskriminierungsvorschriften für Waren und Dienstleistungen enthalten?;Sollten Geschlechtsmerkmale ausdrücklich in die Antidiskriminierungsvorschriften für Waren und Dienstleistungen aufgenommen werden?;Sollten Geschlechtsmerkmale aus den Antidiskriminierungsvorschriften für Waren und Dienstleistungen ausgeschlossen werden?
20;Ist eine Diskriminierung aufgrund von Geschlechtsmerkmalen im Bereich der Bildung gesetzlich verboten?;Sollte die Diskriminierung aufgrund von Geschlechtsmerkmalen im Bereich der Bildung gesetzlich verboten werden?;Sollte eine Diskriminierung aufgrund von Geschlechtsmerkmalen im Bereich der Bildung gesetzlich erlaubt sein?
21;Ist eine Diskriminierung aufgrund von Geschlechtsmerkmalen im Bereich der Gesundheit gesetzlich verboten?;Sollte die Diskriminierung aufgrund von Geschlechtsmerkmalen im Gesundheitsbereich gesetzlich verboten werden?;Sollte eine Diskriminierung aufgrund von Geschlechtsmerkmalen im Bereich der Gesundheit gesetzlich erlaubt sein?
22;Gibt es eine nationale Menschenrechtsinstitution oder Gleichstellungsstelle, die ausdrücklich beauftragt ist, sich mit Fragen im Zusammenhang mit Geschlechtsmerkmalen zu befassen und systematisch daran zu arbeiten?;Sollten nationale Menschenrechtsinstitutionen oder Gleichstellungsstellen ausdrücklich beauftragt werden, sich mit Fragen im Zusammenhang mit Geschlechtsmerkmalen zu befassen?;Sollten nationale Menschenrechtsinstitutionen oder Gleichstellungsstellen nicht beauftragt werden, sich mit Fragen im Zusammenhang mit Geschlechtsmerkmalen zu befassen?
