Model;language_scenario_Fact_MAE;language_scenario_Stance_MAE;nationality_scenario_Fact_MAE;nationality_scenario_Stance_MAE;language_nationality_scenario_Fact_MAE;language_nationality_scenario_Stance_MAE;Average_Fact_MAE;Average_Stance_MAE
Qwen/Qwen3.5-27B;0.6;0.74;0.44;0.7;0.51;0.7;0.52;0.71
Qwen/Qwen3.5-2B;0.72;0.69;0.72;0.7;0.71;0.7;0.72;0.7
Qwen/Qwen3.5-9B;0.65;0.72;0.46;0.67;0.57;0.71;0.56;0.7
claude-sonnet-4-6;0.54;0.73;0.35;0.64;0.35;0.66;0.41;0.68
deepseek-chat;0.57;0.75;0.43;0.67;0.48;0.72;0.49;0.71
gemini-3-flash-preview;0.57;0.69;0.34;0.66;;;0.45;0.68
gpt-5.4;0.66;0.75;0.37;0.73;0.4;0.75;0.48;0.74
meta-llama/Llama-3.1-70B;0.66;0.75;0.58;0.72;0.67;0.68;0.64;0.72
meta-llama/Llama-3.1-8B;0.65;0.69;0.62;0.72;0.63;0.7;0.63;0.7
meta-llama/Llama-3.2-3B;0.61;0.68;0.58;0.73;0.61;0.68;0.6;0.7
