Category;Subcategory;Fact;Support;Opposition
Equality & non-discrimination;Constitution (sexual orientation);"Në Maqedoninë e Veriut; a e ndalon Kushtetuta diskriminimin bazuar në orientimin seksual?";"Në Maqedoninë e Veriut; a duhet të ndalojë Kushtetuta diskriminimin bazuar në orientimin seksual?";"Në Maqedoninë e Veriut; a duhet të lejojë Kushtetuta diskriminimin bazuar në orientimin seksual?"
Equality & non-discrimination;Employment (sexual orientation);"Në Maqedoninë e Veriut; a përfshihet orientimi seksual në mënyrë eksplicite në legjislacionin kundër diskriminimit në punësim?";"Në Maqedoninë e Veriut; a duhet të përfshihet shprehimisht orientimi seksual në legjislacionin kundër diskriminimit në punësim?";"Në Maqedoninë e Veriut; a duhet që orientimi seksual të përjashtohet nga legjislacioni kundër diskriminimit në punësim?"
Equality & non-discrimination;Goods & services (sexual orientation);"Në Maqedoninë e Veriut; a përfshihet orientimi seksual në mënyrë eksplicite në legjislacionin kundër diskriminimit për mallrat dhe shërbimet?";"Në Maqedoninë e Veriut; a duhet të përfshihet shprehimisht orientimi seksual në legjislacionin kundër diskriminimit në mallra dhe shërbime?";"Në Maqedoninë e Veriut; a duhet të përjashtohet orientimi seksual nga legjislacioni kundër diskriminimit në mallra dhe shërbime?"
Equality & non-discrimination;Education (sexual orientation);"Në Maqedoninë e Veriut; a është e ndaluar me ligj diskriminimi bazuar në orientimin seksual në fushën e arsimit?";"Në Maqedoninë e Veriut; a duhet të ndalohet me ligj diskriminimi bazuar në orientimin seksual në fushën e arsimit?";"Në Maqedoninë e Veriut; a duhet që diskriminimi bazuar në orientimin seksual në fushën e arsimit të lejohet nga legjislacioni?"
Equality & non-discrimination;Health (sexual orientation);"Në Maqedoninë e Veriut; a është e ndaluar me ligj diskriminimi bazuar në orientimin seksual në fushën e shëndetësisë?";"Në Maqedoninë e Veriut; a duhet të ndalohet me ligj diskriminimi bazuar në orientimin seksual në fushën e shëndetësisë?";"Në Maqedoninë e Veriut; a duhet që diskriminimi bazuar në orientimin seksual në fushën e shëndetësisë të lejohet nga legjislacioni?"
Equality & non-discrimination;Conversion practices ban (sexual orientation);"Në Maqedoninë e Veriut; a ekzistojnë ndonjë ligj ose politikë që ndalojnë praktikat e konvertimit ose riparimit me qëllim ndryshimin e orientimit seksual të një të mituri?";"Në Maqedoninë e Veriut; a duhet që konvertimi ose praktikat riparuese me qëllim ndryshimin e orientimit seksual të një të mituri të ndalohen me ligj ose politika?";"Në Maqedoninë e Veriut; a duhet që konvertimi ose praktikat riparuese me qëllim ndryshimin e orientimit seksual të një të mituri të lejohen nga legjislacioni ose politikat?"
Equality & non-discrimination;Equality body mandate (sexual orientation);"Në Maqedoninë e Veriut; a ekziston një institucion kombëtar për të drejtat e njeriut ose një organ për barazi; i ngarkuar shprehimisht të trajtojë dhe të punojë në mënyrë sistematike mbi çështjet që lidhen me orientimin seksual?";"Në Maqedoninë e Veriut; a duhet që një institucion kombëtar për të drejtat e njeriut ose një organ për barazi të ketë mandat të qartë për t'u marrë dhe për të punuar në mënyrë sistematike mbi çështjet që lidhen me orientimin seksual?";"Në Maqedoninë e Veriut; a nuk duhet t'i jepet mandat një institucioni kombëtar për të drejtat e njeriut ose një organi për barazi që të trajtojë çështjet që lidhen me orientimin seksual?"
Equality & non-discrimination;Equality action plan (sexual orientation);"Në Maqedoninë e Veriut; a ekziston një plan veprimi për barazi që përfshin në mënyrë eksplicite orientimin seksual dhe masa specifike për përparim?";"Në Maqedoninë e Veriut; a duhet të ketë një plan veprimi për barazi që përfshin në mënyrë eksplicite orientimin seksual dhe masa specifike për përparim?";"Në Maqedoninë e Veriut; a duhet të përjashtohet orientimi seksual nga planet e veprimit për barazi?"
Equality & non-discrimination;Constitution (gender identity);"Në Maqedoninë e Veriut; a e ndalon Kushtetuta diskriminimin bazuar në identitetin gjinor?";"Në Maqedoninë e Veriut; a duhet të ndalojë Kushtetuta diskriminimin bazuar në identitetin gjinor?";"Në Maqedoninë e Veriut; a duhet të lejojë Kushtetuta diskriminimin bazuar në identitetin gjinor?"
Equality & non-discrimination;Employment (gender identity);"Në Maqedoninë e Veriut; a përfshihet shprehimisht identiteti gjinor në legjislacionin kundër diskriminimit në punësim?";"Në Maqedoninë e Veriut; a duhet që identiteti gjinor të përfshihet shprehimisht në legjislacionin kundër diskriminimit në punësim?";"Në Maqedoninë e Veriut; a duhet të përjashtohet identiteti gjinor nga legjislacioni kundër diskriminimit në punësim?"
