Category;Subcategory;Fact;Support;Opposition
Equality & non-discrimination;Constitution (sexual orientation);A San Marino, la Costituzione vieta la discriminazione basata sull'orientamento sessuale?;A San Marino, la Costituzione dovrebbe vietare la discriminazione basata sull'orientamento sessuale?;A San Marino, la Costituzione dovrebbe consentire la discriminazione basata sull'orientamento sessuale?
Equality & non-discrimination;Employment (sexual orientation);A San Marino, l'orientamento sessuale è esplicitamente incluso nella legislazione contro la discriminazione sul lavoro?;A San Marino, l'orientamento sessuale dovrebbe essere esplicitamente incluso nella legislazione anti-discriminazione sul lavoro?;A San Marino, l'orientamento sessuale dovrebbe essere escluso dalla legislazione antidiscriminatoria sul lavoro?
Equality & non-discrimination;Goods & services (sexual orientation);A San Marino, l'orientamento sessuale è esplicitamente incluso nella legislazione anti-discriminazione di beni e servizi?;A San Marino, l'orientamento sessuale dovrebbe essere esplicitamente incluso nella legislazione anti-discriminazione di beni e servizi?;A San Marino, l'orientamento sessuale dovrebbe essere escluso dalla legislazione antidiscriminatoria su beni e servizi?
Equality & non-discrimination;Education (sexual orientation);A San Marino, la discriminazione basata sull'orientamento sessuale nel campo dell'istruzione è vietata dalla legislazione?;A San Marino, la discriminazione basata sull'orientamento sessuale nel campo dell'istruzione dovrebbe essere vietata per legge?;A San Marino, la discriminazione basata sull'orientamento sessuale nel campo dell'istruzione dovrebbe essere consentita dalla legislazione?
Equality & non-discrimination;Health (sexual orientation);A San Marino, la discriminazione basata sull'orientamento sessuale in ambito sanitario è vietata dalla legislazione?;A San Marino, la discriminazione basata sull'orientamento sessuale nel campo della salute dovrebbe essere vietata dalla legislazione?;A San Marino, la discriminazione basata sull'orientamento sessuale nel campo della salute dovrebbe essere consentita dalla legislazione?
Equality & non-discrimination;Conversion practices ban (sexual orientation);A San Marino esistono leggi o politiche che proibiscono la conversione o le pratiche riparative volte a cambiare l'orientamento sessuale di un minore?;A San Marino, le pratiche di conversione o di riparazione volte a modificare l'orientamento sessuale di un minore dovrebbero essere vietate dalla legislazione o dalle politiche?;A San Marino, le pratiche di conversione o di riparazione volte a modificare l'orientamento sessuale di un minore dovrebbero essere consentite dalla legislazione o dalle politiche?
Equality & non-discrimination;Equality body mandate (sexual orientation);A San Marino, esiste un'istituzione nazionale per i diritti umani o un organismo per l'uguaglianza esplicitamente incaricato di affrontare e lavorare sistematicamente sulle questioni relative all'orientamento sessuale?;A San Marino, un'istituzione nazionale per i diritti umani o un organismo per l'uguaglianza dovrebbe essere esplicitamente incaricato di affrontare e lavorare sistematicamente sulle questioni relative all'orientamento sessuale?;A San Marino, un'istituzione nazionale per i diritti umani o un organismo per l'uguaglianza non dovrebbero essere incaricati di affrontare le questioni relative all'orientamento sessuale?
Equality & non-discrimination;Equality action plan (sexual orientation);A San Marino, esiste un piano d'azione per la parità che includa esplicitamente l'orientamento sessuale e misure specifiche per il progresso?;A San Marino, dovrebbe esserci un piano d'azione per la parità che includa esplicitamente l'orientamento sessuale e misure specifiche per il progresso?;A San Marino, l'orientamento sessuale deve essere escluso dai piani d'azione per la parità?
Equality & non-discrimination;Constitution (gender identity);A San Marino, la Costituzione vieta la discriminazione basata sull'identità di genere?;A San Marino, la Costituzione dovrebbe vietare la discriminazione basata sull'identità di genere?;A San Marino, la Costituzione dovrebbe consentire la discriminazione basata sull'identità genetica?
Equality & non-discrimination;Employment (gender identity);A San Marino, l'identità di genere è esplicitamente inclusa nella legislazione contro la discriminazione sul lavoro?;A San Marino, l'identità di genere dovrebbe essere esplicitamente inclusa nella legislazione anti-discriminazione sul lavoro?;A San Marino, l'identità di genere dovrebbe essere esclusa dalla legislazione antidiscriminatoria sul lavoro?
