criterion_id;Fact;Support;Opposition;Stance;Fact Coherence;Fact Validity;Fact Weight coherence by validity;Stance Coherence;Stance Validity;Stance Weight coherence by validity
0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
1;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
2;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
3;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
4;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
5;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
6;1.0;0.8;0.8;0.5;1.0;1.0;1.0;0.36;1.0;0.36
7;1.0;1.0;0.2;0.9;1.0;1.0;1.0;0.36;1.0;0.36
8;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
9;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
10;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
11;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
12;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
13;1.0;0.6;0.0;0.8;1.0;1.0;1.0;1.0;1.0;1.0
14;0.8;0.8;0.6;0.6;0.36;1.0;0.36;0.04;1.0;0.04
15;0.8;1.0;0.0;1.0;0.36;1.0;0.36;1.0;1.0;1.0
16;1.0;1.0;0.2;0.9;1.0;1.0;1.0;0.36;1.0;0.36
17;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
18;0.4;1.0;0.0;1.0;0.04;1.0;0.04;1.0;1.0;1.0
19;0.6;0.8;0.2;0.8;0.04;1.0;0.04;0.36;1.0;0.36
20;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
21;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
22;0.0;0.8;0.6;0.6;1.0;1.0;1.0;0.04;1.0;0.04
23;0.4;1.0;0.2;0.9;0.04;1.0;0.04;0.36;1.0;0.36
24;0.8;1.0;0.0;1.0;0.36;1.0;0.36;1.0;1.0;1.0
25;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
26;1.0;1.0;0.6;0.7;1.0;1.0;1.0;0.04;1.0;0.04
27;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
28;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
29;1.0;0.4;0.0;0.7;1.0;1.0;1.0;1.0;1.0;1.0
30;1.0;1.0;0.4;0.8;1.0;1.0;1.0;0.04;1.0;0.04
31;1.0;1.0;0.6;0.7;1.0;1.0;1.0;0.04;1.0;0.04
32;1.0;0.8;0.0;0.9;1.0;1.0;1.0;1.0;1.0;1.0
33;0.0;1.0;0.8;0.6;1.0;1.0;1.0;0.36;1.0;0.36
34;1.0;1.0;0.6;0.7;1.0;1.0;1.0;0.04;1.0;0.04
35;0.6;1.0;1.0;0.5;0.04;1.0;0.04;1.0;1.0;1.0
36;1.0;1.0;0.2;0.9;1.0;1.0;1.0;0.36;1.0;0.36
37;0.6;0.8;0.0;0.9;0.04;1.0;0.04;1.0;1.0;1.0
38;1.0;1.0;0.4;0.8;1.0;1.0;1.0;0.04;1.0;0.04
39;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
40;0.8;0.6;0.0;0.8;0.36;1.0;0.36;1.0;1.0;1.0
41;0.6;1.0;0.2;0.9;0.04;1.0;0.04;1.0;0.6;0.6
42;0.6;0.4;0.1;0.65;0.04;1.0;0.04;1.0;0.8;0.8
43;0.4;0.2;0.3;0.45;0.04;1.0;0.04;0.25;0.8;0.2
44;0.6;0.8;0.2;0.8;0.04;1.0;0.04;1.0;0.6;0.6
45;1.0;0.8;0.0;0.9;1.0;1.0;1.0;1.0;1.0;1.0
46;1.0;0.8;0.6;0.6;1.0;1.0;1.0;0.04;1.0;0.04
47;0.8;0.4;0.6;0.4;0.36;1.0;0.36;0.04;1.0;0.04
48;0.2;0.2;0.0;0.6;0.36;1.0;0.36;1.0;1.0;1.0
49;1.0;0.4;0.8;0.3;1.0;1.0;1.0;0.36;1.0;0.36
50;0.0;0.3;0.2;0.55;1.0;1.0;1.0;0.36;1.0;0.36
51;0.8;0.6;0.4;0.6;0.36;1.0;0.36;0.04;1.0;0.04
52;1.0;0.2;0.0;0.6;1.0;1.0;1.0;1.0;1.0;1.0
53;1.0;0.8;1.0;0.4;1.0;1.0;1.0;1.0;1.0;1.0
54;1.0;1.0;0.4;0.8;1.0;1.0;1.0;0.04;1.0;0.04
