criterion_id;Fact;Support;Opposition;Stance;Fact Coherence;Fact Validity;Fact Weight coherence by validity;Stance Coherence;Stance Validity;Stance Weight coherence by validity
0;0.2;0.2;0.0;0.6;1.0;0.6;0.6;1.0;1.0;1.0
1;0.1;0.1;0.0;0.55;1.0;0.8;0.8;1.0;1.0;1.0
2;0.0;0.0;0.1;0.45;1.0;1.0;1.0;1.0;0.8;0.8
3;0.2;0.0;0.0;0.5;1.0;0.6;0.6;1.0;1.0;1.0
4;0.5;0.0;0.0;0.5;;0.0;0.0;1.0;1.0;1.0
5;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
6;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
7;0.2;0.0;0.0;0.5;1.0;0.6;0.6;1.0;1.0;1.0
8;0.1;0.2;0.0;0.6;1.0;0.8;0.8;1.0;1.0;1.0
9;0.1;0.0;0.0;0.5;1.0;0.8;0.8;1.0;1.0;1.0
10;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
11;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
12;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
13;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
14;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
15;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
16;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
17;0.0;0.3;0.0;0.65;1.0;1.0;1.0;1.0;1.0;1.0
18;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
19;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
20;0.1;0.0;0.0;0.5;1.0;0.8;0.8;1.0;1.0;1.0
21;0.2;0.0;0.0;0.5;1.0;0.6;0.6;1.0;1.0;1.0
22;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
23;0.0;0.1;0.1;0.5;1.0;1.0;1.0;1.0;0.8;0.8
24;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
25;0.2;0.1;0.1;0.5;1.0;0.6;0.6;1.0;0.8;0.8
26;0.2;0.1;0.0;0.55;1.0;0.6;0.6;1.0;1.0;1.0
27;0.4;0.4;0.1;0.65;1.0;0.2;0.2;1.0;0.8;0.8
28;0.1;0.0;0.0;0.5;1.0;0.8;0.8;1.0;1.0;1.0
29;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
30;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
31;0.3;0.0;0.0;0.5;1.0;0.4;0.4;1.0;1.0;1.0
32;0.1;0.0;0.0;0.5;1.0;0.8;0.8;1.0;1.0;1.0
33;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
34;0.2;0.0;0.0;0.5;0.36;1.0;0.36;1.0;1.0;1.0
35;0.0;0.1;0.0;0.55;1.0;1.0;1.0;1.0;1.0;1.0
36;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
37;0.0;0.0;0.1;0.45;1.0;1.0;1.0;1.0;0.8;0.8
38;0.1;0.0;0.1;0.45;1.0;0.8;0.8;1.0;0.8;0.8
39;0.0;0.0;0.3;0.35;1.0;1.0;1.0;1.0;0.4;0.4
40;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
41;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
42;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
43;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
44;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
45;0.0;0.0;0.1;0.45;1.0;1.0;1.0;1.0;0.8;0.8
46;0.1;0.0;0.0;0.5;1.0;0.8;0.8;1.0;1.0;1.0
47;0.0;0.0;0.1;0.45;1.0;1.0;1.0;1.0;0.8;0.8
48;0.0;0.0;0.2;0.4;1.0;1.0;1.0;1.0;0.6;0.6
49;0.0;0.0;0.1;0.45;1.0;1.0;1.0;1.0;0.8;0.8
50;0.1;0.1;0.0;0.55;1.0;0.8;0.8;1.0;1.0;1.0
51;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
52;0.1;0.1;0.0;0.55;1.0;0.8;0.8;1.0;1.0;1.0
53;0.0;0.0;0.1;0.45;1.0;1.0;1.0;1.0;0.8;0.8
54;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
55;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
56;0.1;0.0;0.1;0.45;1.0;0.8;0.8;1.0;0.8;0.8
57;0.0;0.0;0.1;0.45;1.0;1.0;1.0;1.0;0.8;0.8
58;0.1;0.2;0.1;0.55;1.0;0.8;0.8;1.0;0.8;0.8
59;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
60;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
61;0.1;0.2;0.0;0.6;1.0;0.8;0.8;1.0;1.0;1.0
62;0.0;0.1;0.0;0.55;1.0;1.0;1.0;1.0;1.0;1.0
63;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
64;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
65;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
66;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
67;0.2;0.1;0.0;0.55;1.0;0.6;0.6;1.0;1.0;1.0
68;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
69;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
70;0.0;0.0;0.2;0.4;1.0;1.0;1.0;1.0;0.6;0.6
71;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
72;0.0;0.1;0.0;0.55;1.0;1.0;1.0;1.0;1.0;1.0
73;0.0;0.0;0.1;0.45;1.0;1.0;1.0;1.0;0.8;0.8
74;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
75;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
