Category;Subcategory;Fact;Support;Opposition
Equality & non-discrimination;Constitution (sexual orientation);Da li Ustav zabranjuje diskriminaciju na osnovu seksualne orijentacije?;Da li bi ustav trebao zabraniti diskriminaciju na osnovu seksualne orijentacije?;Da li bi ustav trebao dozvoliti diskriminaciju na osnovu seksualne orijentacije?
Equality & non-discrimination;Employment (sexual orientation);Da li je seksualna orijentacija izričito uključena u zakonodavstvo o zabrani diskriminacije pri zapošljavanju?;Da li seksualna orijentacija treba biti izričito uključena u zakonodavstvo o zabrani diskriminacije pri zapošljavanju?;Da li seksualna orijentacija treba biti izuzeta iz zakonodavstva o zabrani diskriminacije pri zapošljavanju?
Equality & non-discrimination;Goods & services (sexual orientation);Da li je seksualna orijentacija izričito uključena u zakonodavstvo o nediskriminaciji u oblasti dobara i usluga?;Da li seksualna orijentacija treba biti izričito uključena u zakonodavstvo protiv diskriminacije u proizvodima i uslugama?;Da li seksualna orijentacija treba biti isključena iz zakonodavstva o nediskriminaciji u proizvodima i uslugama?
Equality & non-discrimination;Education (sexual orientation);Da li je diskriminacija na osnovu seksualne orijentacije u oblasti obrazovanja zabranjena zakonom?;Da li bi diskriminacija na osnovu seksualne orijentacije u oblasti obrazovanja trebala biti zabranjena zakonom?;treba li zakonodavstvo dozvoliti diskriminaciju na osnovu seksualne orijentacije u obrazovanju?
Equality & non-discrimination;Health (sexual orientation);Da li je diskriminacija na osnovu seksualne orijentacije u oblasti zdravstva zabranjena zakonom?;treba li zakonodavstvom zabraniti diskriminaciju na osnovu seksualne orijentacije u oblasti zdravstva?;Da li bi diskriminacija na osnovu seksualne orijentacije u oblasti zdravstva trebala biti dozvoljena zakonom?
Equality & non-discrimination;Conversion practices ban (sexual orientation);Postoje li neki zakoni ili politike koje zabranjuju konverzijske ili reparativne prakse usmjerene na promjenu seksualne orijentacije maloljetnika?;Da li bi konverzione ili reparativne prakse usmjerene na promjenu seksualne orijentacije maloljetnika trebale biti zabranjene zakonodavstvom ili politikama?;Da li bi zakonodavstvom ili politikama trebalo dozvoliti prakse konverzije ili reparativne terapije usmjerene na promjenu seksualne orijentacije maloljetnika?
Equality & non-discrimination;Equality body mandate (sexual orientation);Postoji li nacionalna institucija za ljudska prava ili tijelo za ravnopravnost s izričitim mandatom da se bavi i sistematski radi na pitanjima vezanim za seksualnu orijentaciju?;Da li nacionalna institucija za ljudska prava ili tijelo za ravnopravnost treba imati izričito mandat da se bavi i sistematski radi na pitanjima vezanim za seksualnu orijentaciju?;Da li nacionalna institucija za ljudska prava ili tijelo za ravnopravnost ne bi trebalo biti ovlašteno da se bavi pitanjima vezanim za seksualnu orijentaciju?
Equality & non-discrimination;Equality action plan (sexual orientation);Postoji li akcioni plan za ravnopravnost koji izričito uključuje seksualnu orijentaciju i konkretne mjere za napredak?;treba li postojati akcioni plan za ravnopravnost koji izričito uključuje seksualnu orijentaciju i konkretne mjere za napredak?;Da li seksualna orijentacija treba biti isključena iz akcionih planova za ravnopravnost?
Equality & non-discrimination;Constitution (gender identity);Da li Ustav zabranjuje diskriminaciju na osnovu rodnog identiteta?;Da li bi ustav trebao zabraniti diskriminaciju na osnovu rodnog identiteta?;Da li bi ustav trebao dozvoliti diskriminaciju na osnovu rodnog identiteta?
Equality & non-discrimination;Employment (gender identity);Da li je rodni identitet izričito uključen u zakonodavstvo o zabrani diskriminacije u zapošljavanju?;Da li bi rodni identitet trebao biti izričito uključen u zakonodavstvo o zabrani diskriminacije u zapošljavanju?;treba li rodni identitet biti isključen iz zakonodavstva o zabrani diskriminacije pri zapošljavanju?
