criterion_id;Fact;Support;Opposition
0;Vai Latvijā konstitūcija aizliedz diskrimināciju seksuālās orientācijas dēļ?;Vai Latvijā konstitūcijai būtu jāaizliedz diskriminācija seksuālās orientācijas dēļ?;Vai Latvijā konstitūcijai būtu jāatļauj diskriminācija seksuālās orientācijas dēļ?
1;Vai Latvijā seksuālā orientācija ir nepārprotami iekļauta pretdiskriminācijas tiesību aktos nodarbinātības jomā?;Vai Latvijā seksuālā orientācija būtu skaidri jāiekļauj pretdiskriminācijas tiesību aktos nodarbinātības jomā?;Vai Latvijā seksuālā orientācija būtu jāizslēdz no nodarbinātības pretdiskriminācijas tiesību aktiem?
2;Vai Latvijā seksuālā orientācija ir nepārprotami iekļauta preču un pakalpojumu pretdiskriminācijas tiesību aktos?;Vai Latvijā seksuālā orientācija būtu skaidri jāiekļauj preču un pakalpojumu pretdiskriminācijas tiesību aktos?;Vai Latvijā seksuālā orientācija būtu jāizslēdz no preču un pakalpojumu pretdiskriminācijas tiesību aktiem?
3;Vai Latvijā tiesību akti aizliedz diskrimināciju izglītības jomā seksuālās orientācijas dēļ?;Vai Latvijā ar likumu būtu jāaizliedz diskriminācija izglītības jomā seksuālās orientācijas dēļ?;Vai Latvijā likumdošana pieļauj diskrimināciju izglītības jomā seksuālās orientācijas dēļ?
4;Vai Latvijā tiesību akti aizliedz diskrimināciju veselības jomā seksuālās orientācijas dēļ?;Vai Latvijā ar likumu būtu jāaizliedz diskriminācija veselības jomā seksuālās orientācijas dēļ?;Vai Latvijā likumdošana pieļauj diskrimināciju veselības jomā seksuālās orientācijas dēļ?
5;Vai Latvijā ir kādi tiesību akti vai politika, kas aizliedz atgriešanās vai reparatīvo praksi, kuras mērķis ir mainīt nepilngadīgo seksuālo orientāciju?;Vai Latvijā ar tiesību aktiem vai politiku būtu jāaizliedz konversijas vai reparatīvās prakses, kuru mērķis ir mainīt nepilngadīgo seksuālo orientāciju?;Vai Latvijā likumdošanā vai politikā būtu pieļaujama atgriešanās vai reparatīvā prakse, kuras mērķis ir mainīt nepilngadīgo seksuālo orientāciju?
6;Vai Latvijā ir nacionāla cilvēktiesību institūcija vai līdztiesības institūcija, kas ir skaidri pilnvarota risināt un sistemātiski strādāt ar seksuālās orientācijas jautājumiem?;Vai Latvijā būtu skaidri jānosaka valsts cilvēktiesību institūcija vai līdztiesības institūcija, kas būtu pilnvarota risināt un sistemātiski strādāt ar seksuālās orientācijas jautājumiem?;Vai Latvijā nebūtu jāpilnvaro nacionālā cilvēktiesību institūcija vai līdztiesības institūcija risināt jautājumus, kas saistīti ar seksuālo orientāciju?
7;Vai Latvijā ir izstrādāts rīcības plāns līdztiesības jomā, kas skaidri ietver seksuālo orientāciju un konkrētus pasākumus, lai panāktu progresu?;Vai Latvijā būtu jāizstrādā rīcības plāns līdztiesības jomā, kurā būtu nepārprotami iekļauta seksuālā orientācija un konkrēti progresa pasākumi?;Vai Latvijā dzimumorientācija būtu jāizslēdz no rīcības plāniem līdztiesības jomā?
8;Vai Latvijā konstitūcija aizliedz diskrimināciju dzimumidentitātes dēļ?;Vai Latvijā Satversmei būtu jāaizliedz diskriminācija dzimumidentitātes dēļ?;Vai Latvijā konstitūcija pieļauj diskrimināciju dzimumidentitātes dēļ?
9;Vai Latvijā dzimuma identitāte ir skaidri iekļauta pretdiskriminācijas tiesību aktos nodarbinātības jomā?;Vai Latvijā dzimuma identitāte būtu skaidri jāiekļauj pretdiskriminācijas tiesību aktos nodarbinātības jomā?;Vai Latvijā dzimuma identitāte būtu jāizslēdz no darba diskriminācijas novēršanas tiesību aktiem?
