criterion_id;Fact;Support;Opposition;Stance;Fact Coherence;Fact Validity;Fact Weight coherence by validity;Stance Coherence;Stance Validity;Stance Weight coherence by validity
0;0.2;0.0;0.0;0.5;0.36;1.0;0.36;1.0;1.0;1.0
1;0.8;0.2;0.0;0.6;0.36;1.0;0.36;1.0;1.0;1.0
2;0.2;0.4;0.0;0.7;0.36;1.0;0.36;1.0;1.0;1.0
3;0.0;0.4;0.0;0.7;1.0;1.0;1.0;1.0;1.0;1.0
4;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
5;0.4;0.0;0.0;0.5;0.04;1.0;0.04;1.0;1.0;1.0
6;0.2;0.0;0.0;0.5;0.36;1.0;0.36;1.0;1.0;1.0
7;0.0;0.4;0.0;0.7;1.0;1.0;1.0;1.0;1.0;1.0
8;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
9;0.0;0.6;0.0;0.8;1.0;1.0;1.0;1.0;1.0;1.0
10;0.4;0.4;0.0;0.7;0.04;1.0;0.04;1.0;1.0;1.0
11;0.2;0.0;0.0;0.5;0.36;1.0;0.36;1.0;1.0;1.0
12;0.6;1.0;0.0;1.0;0.04;1.0;0.04;1.0;1.0;1.0
13;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
14;0.8;0.4;0.0;0.7;0.36;1.0;0.36;1.0;1.0;1.0
15;0.0;0.8;0.0;0.9;1.0;1.0;1.0;1.0;1.0;1.0
16;0.0;0.8;0.0;0.9;1.0;1.0;1.0;1.0;1.0;1.0
17;0.4;0.4;0.0;0.7;0.04;1.0;0.04;1.0;1.0;1.0
18;0.6;0.0;0.0;0.5;0.04;1.0;0.04;1.0;1.0;1.0
19;0.6;0.2;0.0;0.6;0.04;1.0;0.04;1.0;1.0;1.0
20;1.0;0.6;0.0;0.8;1.0;1.0;1.0;1.0;1.0;1.0
21;0.8;1.0;0.0;1.0;0.36;1.0;0.36;1.0;1.0;1.0
22;0.2;0.0;0.4;0.3;0.36;1.0;0.36;0.04;1.0;0.04
23;0.2;0.8;0.0;0.9;0.36;1.0;0.36;1.0;1.0;1.0
24;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
25;0.0;0.8;0.6;0.6;1.0;1.0;1.0;0.04;1.0;0.04
26;0.6;0.8;0.6;0.6;0.04;1.0;0.04;0.04;1.0;0.04
27;0.6;0.8;0.8;0.5;0.04;1.0;0.04;0.36;1.0;0.36
28;0.6;0.6;0.0;0.8;0.04;1.0;0.04;1.0;1.0;1.0
29;0.6;0.0;0.0;0.5;0.04;1.0;0.04;1.0;1.0;1.0
30;0.2;0.4;0.2;0.6;0.36;1.0;0.36;0.36;1.0;0.36
31;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
32;0.2;0.4;0.0;0.7;0.36;1.0;0.36;1.0;1.0;1.0
33;0.2;1.0;0.6;0.7;0.36;1.0;0.36;0.04;1.0;0.04
34;1.0;0.8;0.0;0.9;1.0;1.0;1.0;1.0;1.0;1.0
35;0.0;0.0;0.2;0.4;1.0;1.0;1.0;0.36;1.0;0.36
36;0.0;0.2;0.2;0.5;1.0;1.0;1.0;0.36;1.0;0.36
37;0.2;0.0;0.0;0.5;0.36;1.0;0.36;1.0;1.0;1.0
38;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
39;0.2;0.4;0.0;0.7;0.36;1.0;0.36;1.0;1.0;1.0
40;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
41;0.2;0.0;0.0;0.5;0.36;1.0;0.36;1.0;1.0;1.0
42;0.2;0.2;0.0;0.6;0.36;1.0;0.36;1.0;1.0;1.0
43;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
44;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
45;0.4;1.0;0.0;1.0;0.04;1.0;0.04;1.0;1.0;1.0
46;0.4;0.0;0.0;0.5;0.04;1.0;0.04;1.0;1.0;1.0
