criterion_id;Fact;Support;Opposition;Stance;Fact Coherence;Fact Validity;Fact Weight coherence by validity;Stance Coherence;Stance Validity;Stance Weight coherence by validity
0;0.6;1.0;1.0;0.5;1.0;0.2;0.2;1.0;1.0;1.0
1;0.5;1.0;1.0;0.5;;0.0;0.0;1.0;1.0;1.0
2;1.0;1.0;0.5;0.75;1.0;1.0;1.0;;0.0;0.0
3;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
4;0.7;1.0;0.5;0.75;1.0;0.4;0.4;;0.0;0.0
5;0.5;1.0;0.5;0.75;;0.0;0.0;;0.0;0.0
6;0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
7;1.0;1.0;0.5;0.75;1.0;1.0;1.0;;0.0;0.0
8;1.0;1.0;0.5;0.75;1.0;1.0;1.0;;0.0;0.0
9;0.6;1.0;0.5;0.75;1.0;0.2;0.2;;0.0;0.0
10;0.5;1.0;0.5;0.75;;0.0;0.0;;0.0;0.0
11;0.5;1.0;0.5;0.75;;0.0;0.0;;0.0;0.0
12;0.5;0.7;1.0;0.35;;0.0;0.0;1.0;1.0;1.0
13;0.5;1.0;0.6;0.7;;0.0;0.0;1.0;0.2;0.2
