criterion_id;Fact;Support;Opposition
0;Ali v Sloveniji ustava prepoveduje diskriminacijo na podlagi spolne usmerjenosti?;Ali bi morala v Sloveniji ustava prepovedati diskriminacijo na podlagi spolne usmerjenosti?;Ali bi morala v Sloveniji ustava dovoliti diskriminacijo na podlagi spolne usmerjenosti?
1;Ali je v Sloveniji spolna usmerjenost izrecno vključena v protidiskriminacijsko zakonodajo na področju zaposlovanja?;Ali bi bilo treba v Sloveniji spolno usmerjenost izrecno vključiti v protidiskriminacijsko zakonodajo na področju zaposlovanja?;Ali bi bilo treba v Sloveniji spolno usmerjenost izključiti iz protidiskriminacijske zakonodaje na področju zaposlovanja?
2;Ali je v Sloveniji spolna usmerjenost izrecno vključena v protidiskriminacijsko zakonodajo na področju blaga in storitev?;Ali bi bilo treba v Sloveniji spolno usmerjenost izrecno vključiti v protidiskriminacijsko zakonodajo na področju blaga in storitev?;Ali bi bilo treba v Sloveniji spolno usmerjenost izključiti iz protidiskriminacijske zakonodaje na področju blaga in storitev?
3;Ali je v Sloveniji diskriminacija na podlagi spolne usmerjenosti na področju izobraževanja zakonsko prepovedana?;Ali bi bilo treba v Sloveniji z zakonodajo prepovedati diskriminacijo na podlagi spolne usmerjenosti na področju izobraževanja?;Ali bi morala biti v Sloveniji diskriminacija na podlagi spolne usmerjenosti na področju izobraževanja zakonsko dovoljena?
4;Ali je v Sloveniji diskriminacija na podlagi spolne usmerjenosti na področju zdravja zakonsko prepovedana?;Ali bi bilo treba v Sloveniji z zakonodajo prepovedati diskriminacijo na podlagi spolne usmerjenosti na področju zdravja?;Ali bi v Sloveniji zakonodaja dopuščala diskriminacijo na podlagi spolne usmerjenosti na področju zdravja?
5;Ali v Sloveniji obstaja zakonodaja ali politika, ki prepoveduje spreobrnjenje ali reparativne prakse, katerih cilj je spremeniti spolno usmerjenost mladoletnika?;Ali bi bilo treba v Sloveniji z zakonodajo ali politikami prepovedati spreobrnjenje ali reparativne prakse za spremembo spolne usmerjenosti mladoletnika?;Ali bi morala biti v Sloveniji zakonodaja ali politika dovoljena za spreobrnitev ali reparativne prakse za spremembo spolne usmerjenosti mladoletnika?
6;Ali v Sloveniji obstaja nacionalna institucija za človekove pravice ali organ za enakost, ki je izrecno pooblaščen za obravnavo in sistematično delo na vprašanjih, povezanih s spolno usmerjenostjo?;Ali bi morala biti v Sloveniji nacionalna institucija za človekove pravice ali organ za enakost izrecno pooblaščena za obravnavo in sistematično delo na vprašanjih, povezanih s spolno usmerjenostjo?;Ali v Sloveniji nacionalna institucija za človekove pravice ali organ za enakost ne bi smela biti pooblaščena za obravnavo vprašanj, povezanih s spolno usmerjenostjo?
7;Ali v Sloveniji obstaja akcijski načrt za enakost, ki izrecno vključuje spolno usmerjenost in posebne ukrepe za napredek?;Ali bi moral v Sloveniji obstajati akcijski načrt za enakost, ki bi izrecno vključeval spolno usmerjenost in posebne ukrepe za napredek?;Ali je treba v Sloveniji spolno usmerjenost izključiti iz akcijskih načrtov za enakost?
8;Ali v Sloveniji ustava prepoveduje diskriminacijo na podlagi spolne identitete?;Ali bi morala v Sloveniji ustava prepovedati diskriminacijo na podlagi spolne identitete?;Ali bi morala v Sloveniji ustava dovoljevati diskriminacijo na podlagi spolne identitete?
9;Ali je v Sloveniji spolna identiteta izrecno vključena v protidiskriminacijsko zakonodajo na področju zaposlovanja?;Ali bi bilo treba v Sloveniji spolno identiteto izrecno vključiti v protidiskriminacijsko zakonodajo na področju zaposlovanja?;Ali je treba v Sloveniji spolno identiteto izključiti iz protidiskriminacijske zakonodaje na področju zaposlovanja?
10;Ali je v Sloveniji spolna identiteta izrecno vključena v protidiskriminacijsko zakonodajo na področju blaga in storitev?;Ali bi bilo treba v Sloveniji spolno identiteto izrecno vključiti v protidiskriminacijsko zakonodajo na področju blaga in storitev?;Ali bi bilo treba v Sloveniji spolno identiteto izključiti iz protidiskriminacijske zakonodaje na področju blaga in storitev?
11;Ali je v Sloveniji diskriminacija na podlagi spolne identitete na področju izobraževanja zakonsko prepovedana?;Ali bi bilo treba v Sloveniji z zakonodajo prepovedati diskriminacijo na podlagi spolne identitete na področju izobraževanja?;Ali bi morala biti v Sloveniji diskriminacija na podlagi spolne identitete na področju izobraževanja zakonsko dovoljena?
12;Ali je v Sloveniji diskriminacija na podlagi spolne identitete na področju zdravja zakonsko prepovedana?;Ali bi bilo treba v Sloveniji z zakonodajo prepovedati diskriminacijo na podlagi spolne identitete na področju zdravja?;Ali bi morala biti v Sloveniji diskriminacija na podlagi spolne identitete na področju zdravstva zakonsko dovoljena?
13;Ali v Sloveniji obstaja zakonodaja ali politika, ki prepoveduje spreobrnitev ali reparativne prakse, katerih cilj je spremeniti spolno identiteto mladoletne osebe?;Ali bi bilo treba v Sloveniji z zakonodajo ali politikami prepovedati konverzijo ali reparativne prakse, katerih cilj je spremeniti spolno identiteto mladoletne osebe?;Ali bi morala biti v Sloveniji z zakonodajo ali politikami dovoljena spreobrnitev ali reparativna praksa za spremembo spolne identitete mladoletne osebe?
14;Ali v Sloveniji obstaja nacionalna institucija za človekove pravice ali organ za enakost, ki je izrecno pooblaščen za obravnavo in sistematično delo na vprašanjih, povezanih s spolno identiteto? (mislim, da potrebujete samo enega);Ali bi morala biti v Sloveniji nacionalna institucija za človekove pravice ali organ za enakost izrecno pooblaščena za obravnavo vprašanj, povezanih s spolno identiteto?;Ali v Sloveniji nacionalna institucija za človekove pravice ali organ za enakost ne bi smela biti pooblaščena za obravnavo vprašanj, povezanih s spolno identiteto?
15;Ali v Sloveniji obstaja akcijski načrt za enakost, ki izrecno vključuje spolno identiteto in posebne ukrepe za napredek?;Ali bi moral v Sloveniji obstajati akcijski načrt za enakost, ki bi izrecno vključeval spolno identiteto in posebne ukrepe za napredek?;Ali je treba v Sloveniji spolno identiteto izključiti iz akcijskih načrtov za enakost?
16;Ali je v Sloveniji izraz spola izrecno vključen v protidiskriminacijsko zakonodajo?;Ali bi bilo treba v Sloveniji v protidiskriminacijsko zakonodajo izrecno vključiti spolni izraz?;Ali bi bilo treba v Sloveniji spolni izraz izključiti iz protidiskriminacijske zakonodaje?
17;Ali v Sloveniji ustava prepoveduje diskriminacijo na podlagi spolnih značilnosti?;Ali bi morala v Sloveniji ustava prepovedati diskriminacijo na podlagi spolnih značilnosti?;Ali bi morala v Sloveniji ustava dovoljevati diskriminacijo na podlagi spolnih značilnosti?
18;Ali so v Sloveniji spolne značilnosti izrecno vključene v protidiskriminacijsko zakonodajo na področju zaposlovanja?;Ali bi bilo treba v Sloveniji spolne značilnosti izrecno vključiti v protidiskriminacijsko zakonodajo na področju zaposlovanja?;Ali bi bilo treba v Sloveniji spolne značilnosti izključiti iz protidiskriminacijske zakonodaje na področju zaposlovanja?
19;Ali so v Sloveniji spolne značilnosti izrecno vključene v protidiskriminacijsko zakonodajo na področju blaga in storitev?;Ali bi bilo treba v Sloveniji spolne značilnosti izrecno vključiti v protidiskriminacijsko zakonodajo na področju blaga in storitev?;Ali bi bilo treba v Sloveniji spolne značilnosti izključiti iz protidiskriminacijske zakonodaje na področju blaga in storitev?
20;Ali je v Sloveniji diskriminacija na podlagi spolnih značilnosti na področju izobraževanja zakonsko prepovedana?;Ali bi bilo treba v Sloveniji z zakonodajo prepovedati diskriminacijo na podlagi spolnih značilnosti na področju izobraževanja?;Ali bi v Sloveniji zakonodaja dopuščala diskriminacijo na podlagi spolnih značilnosti na področju izobraževanja?
21;Ali je v Sloveniji diskriminacija na podlagi spolnih značilnosti na področju zdravja zakonsko prepovedana?;Ali bi bilo treba v Sloveniji z zakonodajo prepovedati diskriminacijo na podlagi spolnih značilnosti na področju zdravja?;Ali bi v Sloveniji zakonodaja dopuščala diskriminacijo na podlagi spolnih značilnosti na področju zdravja?
22;Ali v Sloveniji obstaja nacionalna institucija za človekove pravice ali organ za enakost, ki je izrecno pooblaščen za obravnavo in sistematično delo na vprašanjih, povezanih s spolnimi značilnostmi?;Ali bi morale biti v Sloveniji nacionalne institucije za človekove pravice ali organi za enakost izrecno pooblaščeni za obravnavo vprašanj, povezanih s spolnimi značilnostmi?;Ali v Sloveniji nacionalne institucije za človekove pravice ali organi za enakost ne bi smeli biti pooblaščeni za obravnavo vprašanj, povezanih s spolnimi značilnostmi?
23;Ali v Sloveniji obstaja akcijski načrt za enakost, ki izrecno vključuje spolne značilnosti in posebne ukrepe za napredek?;Ali bi moral v Sloveniji obstajati akcijski načrt za enakost, ki bi izrecno vključeval spolno identiteto in posebne ukrepe za napredek?;Ali je treba v Sloveniji spolne značilnosti izključiti iz akcijskih načrtov za enakost?
24;Ali je v Sloveniji darovanje krvi ali kakršnih koli telesnih tkiv za lgbti osebe na podlagi njihove spolne usmerjenosti ali spolne identitete brez zakonske ali upravne prepovedi?;Ali naj v Sloveniji darovanje krvi ali kakršnih koli telesnih tkiv za lgbti osebe na podlagi njihove spolne usmerjenosti ali spolne identitete ne bi bilo zakonsko ali upravno prepovedano?;Ali bi moralo biti v Sloveniji darovanje krvi ali kakršnih koli telesnih tkiv za lgbti osebe na podlagi njihove spolne usmerjenosti ali spolne identitete zakonsko ali upravno prepovedano?
25;Ali se lahko v Sloveniji istospolni pari poročijo z enakimi pravicami kot poročeni raznospolni pari?;Ali bi morali v Sloveniji istospolni pari skleniti zakonsko zvezo z enakimi pravicami, kot jih imajo poročeni raznospolni pari?;Ali v Sloveniji istospolni pari ne bi smeli skleniti zakonske zveze z enakimi pravicami, kot jih imajo poročeni raznospolni pari?
26;Ali lahko v Sloveniji istospolni pari sklenejo registrirano partnersko skupnost/civilno partnerstvo in pridobijo enake pravice, kot če bi se poročili?;Ali bi bilo treba v Sloveniji istospolnim parom omogočiti sklenitev registrirane partnerske skupnosti/civilne partnerske skupnosti in pridobiti enako raven pravic, kot če bi bili poročeni?;Ali v Sloveniji istospolni pari ne bi smeli skleniti registrirane partnerske skupnosti/civilne partnerske skupnosti in pridobiti enake pravice, kot če bi se poročili?
27;Ali lahko istospolni pari v Sloveniji sklenejo registrirano partnerstvo/civilno partnerstvo?;Ali bi bilo treba v Sloveniji istospolnim parom omogočiti sklenitev registrirane partnerske skupnosti/civilne partnerske skupnosti?;Ali v Sloveniji istospolni pari ne bi smeli skleniti registrirane partnerske skupnosti/civilne partnerske skupnosti?
28;Ali so v Sloveniji istospolni pari vključeni v zakonodajo ali pravne ukrepe glede sobivanja?;Ali bi bilo treba v Sloveniji istospolne pare vključiti v zakonodajo ali pravne ukrepe glede sobivanja?;Ali bi morali biti v Sloveniji istospolni pari izključeni iz zakonodaje ali pravnih ukrepov na področju sobivanja?
29;Ali v Sloveniji ne obstaja ustavna opredelitev zakonske zveze kot zveze med moškim in žensko?;Ali v Sloveniji ne bi smeli ustavno opredeliti zakonske zveze kot zveze med moškim in žensko?;Ali bi morala biti v Sloveniji zakonska zveza ustavno opredeljena le kot zveza med moškim in žensko?
30;Ali lahko istospolni pari v Sloveniji zakonito zaprosijo za skupno posvojitev?;Ali bi morali istospolni pari v Sloveniji zakonito zaprositi za skupno posvojitev?;Ali v Sloveniji istospolni pari ne bi smeli zakonito zaprositi za skupno posvojitev?
31;Ali lahko istospolni pari v Sloveniji zakonito zaprosijo za posvojitev s strani drugega starša?;Ali bi bilo treba v Sloveniji istospolnim parom dovoliti, da zaprosijo za posvojitev s strani drugega starša?;Ali v Sloveniji istospolni pari ne bi smeli zaprositi za posvojitev s strani drugega starša?
32;Ali so v Sloveniji otroci, ki se rodijo v paru, od rojstva avtomatično pravno priznani kot otroci obeh staršev, ne glede na spolno usmerjenost in/ali spolno identiteto partnerjev?;Ali bi morali biti v Sloveniji otroci, ki se rodijo v paru, od rojstva samodejno pravno priznani kot otroci obeh staršev, ne glede na spolno usmerjenost in/ali spolno identiteto partnerjev?;Ali v Sloveniji otroci, rojeni v paru, ne bi smeli biti od rojstva avtomatično pravno priznani kot otroci obeh staršev glede na spolno usmerjenost in/ali spolno identiteto partnerjev?
