criterion_id;Fact;Support;Opposition
0;Forbyder grundloven i Danmark diskrimination på baggrund af seksuel orientering?;Bør grundloven i Danmark forbyde diskrimination på baggrund af seksuel orientering?;Skal grundloven i Danmark tillade diskrimination på baggrund af seksuel orientering?
1;Er seksuel orientering eksplicit inkluderet i antidiskriminationslovgivningen i Danmark?;Bør seksuel orientering eksplicit indgå i antidiskriminationslovgivningen på beskæftigelsesområdet i Danmark?;Bør seksuel orientering udelukkes fra antidiskriminationslovgivningen i Danmark?
2;Er seksuel orientering eksplicit inkluderet i antidiskriminationslovgivningen for varer og tjenesteydelser i Danmark?;Bør seksuel orientering eksplicit indgå i antidiskriminationslovgivningen for varer og tjenesteydelser i Danmark?;Bør seksuel orientering undtages fra antidiskriminationslovgivningen for varer og tjenesteydelser i Danmark?
3;Er diskrimination på grund af seksuel orientering på uddannelsesområdet forbudt ved lov i Danmark?;Bør man i Danmark forbyde diskrimination på grund af seksuel orientering på uddannelsesområdet ved lov?;Bør lovgivningen i Danmark tillade diskrimination på grund af seksuel orientering på uddannelsesområdet?
4;Er diskrimination på grund af seksuel orientering på sundhedsområdet forbudt i Danmark?;Bør man i Danmark forbyde diskrimination på grund af seksuel orientering på sundhedsområdet i lovgivningen?;Bør lovgivningen i Danmark tillade diskrimination på grund af seksuel orientering inden for sundhedsområdet?
5;Findes der i Danmark lovgivning eller politikker, der forbyder omvendelse eller reparativ praksis, der har til formål at ændre en mindreårigs seksuelle orientering?;Bør man i Danmark forbyde konvertering eller reparativ praksis, der har til formål at ændre en mindreårigs seksuelle orientering, ved lovgivning eller politikker?;Bør man i Danmark tillade omvendelse eller reparativ praksis, der har til formål at ændre en mindreårigs seksuelle orientering, ved hjælp af lovgivning eller politikker?
6;Findes der i Danmark en national menneskerettighedsinstitution eller et ligestillingsorgan, der har et eksplicit mandat til at behandle og arbejde systematisk med spørgsmål vedrørende seksuel orientering?;Bør en national menneskerettighedsinstitution eller et ligestillingsorgan i Danmark have et eksplicit mandat til at adressere og arbejde systematisk med spørgsmål relateret til seksuel orientering?;Bør en national menneskerettighedsinstitution eller et ligestillingsorgan i Danmark ikke have mandat til at behandle spørgsmål om seksuel orientering?
7;Findes der i Danmark en ligestillingshandlingsplan, der eksplicit omfatter seksuel orientering og specifikke foranstaltninger til at opnå fremskridt?;Bør der i Danmark være en ligestillingshandlingsplan, der eksplicit inkluderer seksuel orientering og specifikke tiltag for at opnå fremskridt?;Bør seksuel orientering udelukkes fra ligestillingshandlingsplaner i Danmark?
8;Forbyder grundloven i Danmark diskrimination på baggrund af kønsidentitet?;Bør grundloven i Danmark forbyde diskrimination på baggrund af kønsidentitet?;Skal grundloven i Danmark tillade diskrimination på baggrund af kønsidentitet?
9;Er kønsidentitet eksplicit inkluderet i antidiskriminationslovgivningen i Danmark?;Bør kønsidentitet eksplicit inkluderes i antidiskriminationslovgivningen på arbejdsmarkedet i Danmark?;Bør kønsidentitet i Danmark udelukkes fra antidiskriminationslovgivningen på arbejdsmarkedet?
