Category;Subcategory;Fact;Support;Opposition
Equality & non-discrimination;Constitution (sexual orientation);Förbjuder grundlagen i Finland diskriminering på grund av sexuell läggning?;Bör grundlagen i Finland förbjuda diskriminering på grund av sexuell läggning?;Bör grundlagen i Finland tillåta diskriminering på grund av sexuell läggning?
Equality & non-discrimination;Employment (sexual orientation);Finns det i Finland en uttrycklig bestämmelse om sexuell läggning i lagstiftningen mot diskriminering i arbetslivet?;Borde sexuell läggning uttryckligen ingå i lagstiftningen mot diskriminering i arbetslivet i Finland?;Borde sexuell läggning inte omfattas av lagstiftningen mot diskriminering i arbetslivet i Finland?
Equality & non-discrimination;Goods & services (sexual orientation);Finns det i Finland en uttrycklig bestämmelse om sexuell läggning i diskrimineringslagstiftningen för varor och tjänster?;Bör sexuell läggning uttryckligen inkluderas i antidiskrimineringslagstiftningen för varor och tjänster i Finland?;Bör sexuell läggning undantas från diskrimineringslagstiftningen för varor och tjänster i Finland?
Equality & non-discrimination;Education (sexual orientation);Är diskriminering på grund av sexuell läggning inom utbildningsområdet förbjuden i Finland?;Bör man i Finland lagstifta om förbud mot diskriminering på grund av sexuell läggning inom utbildningsområdet?;Bör man i Finland lagstifta om diskriminering på grund av sexuell läggning inom utbildningsområdet?
Equality & non-discrimination;Health (sexual orientation);Är diskriminering på grund av sexuell läggning inom hälso- och sjukvården förbjuden i lagstiftningen i Finland?;Bör man i Finland lagstifta om förbud mot diskriminering på grund av sexuell läggning inom hälso- och sjukvården?;Bör diskriminering på grund av sexuell läggning inom hälso- och sjukvården i Finland vara tillåten enligt lagstiftningen?
Equality & non-discrimination;Conversion practices ban (sexual orientation);Finns det i Finland lagstiftning eller riktlinjer som förbjuder omvändelse eller reparativa metoder som syftar till att ändra en minderårigs sexuella läggning?;Bör man i Finland genom lagstiftning eller riktlinjer förbjuda omvändelse- eller reparationsmetoder som syftar till att ändra en minderårigs sexuella läggning?;Bör man i Finland tillåta omvändelse- eller reparationsmetoder som syftar till att ändra en minderårigs sexuella läggning genom lagstiftning eller riktlinjer?
Equality & non-discrimination;Equality body mandate (sexual orientation);Finns det i Finland en nationell institution för mänskliga rättigheter eller ett jämställdhetsorgan som har ett uttryckligt mandat att behandla och systematiskt arbeta med frågor som rör sexuell läggning?;Bör en nationell institution för mänskliga rättigheter eller ett nationellt jämställdhetsorgan i Finland få ett uttryckligt mandat att ta upp och systematiskt arbeta med frågor som rör sexuell läggning?;Borde en nationell institution för mänskliga rättigheter eller ett nationellt jämställdhetsorgan i Finland inte ha mandat att behandla frågor som rör sexuell läggning?
Equality & non-discrimination;Equality action plan (sexual orientation);Finns det i Finland en handlingsplan för jämställdhet som uttryckligen omfattar sexuell läggning och särskilda åtgärder för att uppnå framsteg?;Bör det i Finland finnas en handlingsplan för jämställdhet som uttryckligen omfattar sexuell läggning och särskilda åtgärder för att uppnå framsteg?;Bör sexuell läggning inte tas med i jämställdhetsplanerna i Finland?
Equality & non-discrimination;Constitution (gender identity);Förbjuder grundlagen i Finland diskriminering på grund av könsidentitet?;Bör grundlagen i Finland förbjuda diskriminering på grund av könsidentitet?;Bör grundlagen i Finland tillåta diskriminering på grund av könsidentitet?
Equality & non-discrimination;Employment (gender identity);Finns det i Finland en uttrycklig bestämmelse om könsidentitet i lagstiftningen mot diskriminering i arbetslivet?;Borde könsidentitet uttryckligen ingå i lagstiftningen mot diskriminering i arbetslivet i Finland?;Borde könsidentitet inte omfattas av lagstiftningen mot diskriminering i arbetslivet i Finland?
Equality & non-discrimination;Goods & services (gender identity);Finns det i Finland en uttrycklig bestämmelse om könsidentitet i diskrimineringslagstiftningen för varor och tjänster?;Bör könsidentitet uttryckligen inkluderas i antidiskrimineringslagstiftningen för varor och tjänster i Finland?;Bör könsidentitet i Finland undantas från diskrimineringslagstiftningen för varor och tjänster?
Equality & non-discrimination;Education (gender identity);Förbjuder lagstiftningen i Finland diskriminering på grund av könsidentitet inom utbildningsområdet?;Bör man i Finland lagstifta om förbud mot diskriminering på grund av könsidentitet inom utbildningsområdet?;Bör man i Finland lagstifta om diskriminering på grund av könsidentitet inom utbildningsområdet?
Equality & non-discrimination;Health (gender identity);Är diskriminering på grund av könsidentitet inom hälso- och sjukvården förbjuden i lagstiftningen i Finland?;Bör man i Finland lagstifta om förbud mot diskriminering på grund av könsidentitet inom hälso- och sjukvården?;Bör man i Finland lagstifta om diskriminering på grund av könsidentitet inom hälso- och sjukvården?
