Category;Subcategory;Fact;Support;Opposition
Equality & non-discrimination;Constitution (sexual orientation);საქართველოში კონსტიტუცია კრძალავს დისკრიმინაციას სექსუალური ორიენტაციის ნიშნით?;საქართველოში, უნდა აკრძალოს თუ არა კონსტიტუციამ დისკრიმინაცია სექსუალური ორიენტაციის ნიშნით?;საქართველოში, უნდა იძლეოდეს თუ არა კონსტიტუცია სექსუალური ორიენტაციის ნიშნით დისკრიმინაციის უფლებას?
Equality & non-discrimination;Employment (sexual orientation);საქართველოში, არის თუ არა დასაქმების ანტიდისკრიმინაციულ კანონმდებლობაში სექსუალური ორიენტაცია პირდაპირ გათვალისწინებული?;საქართველოში, უნდა იყოს თუ არა სექსუალური ორიენტაცია პირდაპირ შეტანილი დასაქმების ანტიდისკრიმინაციულ კანონმდებლობაში?;საქართველოში, უნდა იყოს თუ არა სექსუალური ორიენტაცია გამორიცხული დასაქმების ანტიდისკრიმინაციული კანონმდებლობიდან?
Equality & non-discrimination;Goods & services (sexual orientation);საქართველოში, სექსუალური ორიენტაცია პირდაპირ არის თუ არა შეტანილი საქონლისა და მომსახურების ანტიდისკრიმინაციულ კანონმდებლობაში?;საქართველოში, უნდა იყოს თუ არა სექსუალური ორიენტაცია პირდაპირ შეტანილი საქონლისა და მომსახურების ანტიდისკრიმინაციულ კანონმდებლობაში?;საქართველოში, უნდა იყოს თუ არა სექსუალური ორიენტაცია გამორიცხული საქონლისა და მომსახურების ანტიდისკრიმინაციული კანონმდებლობიდან?
Equality & non-discrimination;Education (sexual orientation);საქართველოში, განათლების სფეროში, სექსუალური ორიენტაციის ნიშნით დისკრიმინაცია კანონმდებლობით აკრძალულია?;საქართველოში, უნდა იყოს თუ არა კანონმდებლობით აკრძალული სექსუალური ორიენტაციის ნიშნით დისკრიმინაცია განათლების სფეროში?;საქართველოში, უნდა იყოს თუ არა კანონმდებლობით ნებადართული დისკრიმინაცია სექსუალური ორიენტაციის ნიშნით განათლების სფეროში?
Equality & non-discrimination;Health (sexual orientation);საქართველოში, ჯანდაცვის სფეროში, სექსუალური ორიენტაციის ნიშნით დისკრიმინაცია კანონმდებლობით აკრძალულია?;საქართველოში, უნდა იყოს თუ არა კანონმდებლობით აკრძალული სექსუალური ორიენტაციის ნიშნით დისკრიმინაცია ჯანდაცვის სფეროში?;საქართველოში, უნდა იყოს თუ არა კანონმდებლობით ნებადართული სექსუალური ორიენტაციის ნიშნით დისკრიმინაცია ჯანდაცვის სფეროში?
Equality & non-discrimination;Conversion practices ban (sexual orientation);საქართველოში არსებობს რაიმე კანონმდებლობა ან პოლიტიკა, რომელიც კრძალავს არასრულწლოვნის სექსუალური ორიენტაციის შეცვლის მიზნით მიმართულ კონვერსიულ ან რეპარაციულ პრაქტიკებს?;საქართველოში, უნდა იყოს თუ არა კანონმდებლობით ან პოლიტიკით აკრძალული არასრულწლოვნის სექსუალური ორიენტაციის შეცვლის მიზნით მიმართული კონვერსიული ან რეპარატიული პრაქტიკა?;საქართველოში, უნდა იყოს თუ არა კანონმდებლობით ან პოლიტიკით ნებადართული არასრულწლოვნის სექსუალური ორიენტაციის შეცვლის მიზნით მიმართული კონვერსიული ან რეპარაციული პრაქტიკა?
Equality & non-discrimination;Equality body mandate (sexual orientation);საქართველოში არსებობს თუ არა ეროვნული უფლებადამცველი ან თანასწორობის უწყება, რომელსაც პირდაპირ ევალება სექსუალური ორიენტაციასთან დაკავშირებული საკითხების მოგვარება და მათზე სისტემური მუშაობა?;საქართველოში, უნდა ჰქონდეს თუ არა ეროვნულ უფლებადამცველ ან თანასწორობის ორგანოს პირდაპირი მანდატი, რომ განიხილოს და სისტემურად იმუშაოს სექსუალური ორიენტაციასთან დაკავშირებულ საკითხებზე?;საქართველოში, უნდა ჰქონდეს თუ არა ეროვნულ უფლებადამცველ ან თანასწორობის ორგანოს მანდატი, განიხილოს სექსუალური ორიენტაციასთან დაკავშირებული საკითხები?
Equality & non-discrimination;Equality action plan (sexual orientation);საქართველოში არსებობს თანასწორობის სამოქმედო გეგმა, რომელიც პირდაპირ მოიცავს სექსუალურ ორიენტაციასა და პროგრესისკენ მიმართულ კონკრეტულ ზომებს?;საქართველოში უნდა არსებობდეს თანასწორობის სამოქმედო გეგმა, რომელიც პირდაპირ მოიცავს სექსუალურ ორიენტაციასა და პროგრესისკენ მიმართულ კონკრეტულ ზომებს?;საქართველოში, უნდა იყოს თუ არა სექსუალური ორიენტაცია გამორიცხული თანასწორობის სამოქმედო გეგმებიდან?
Equality & non-discrimination;Constitution (gender identity);საქართველოში კონსტიტუცია კრძალავს დისკრიმინაციას გენდერული იდენტობის ნიშნით?;საქართველოში, უნდა აკრძალოს თუ არა კონსტიტუციამ დისკრიმინაცია გენდერული იდენტობის ნიშნით?;საქართველოში, უნდა იძლეოდეს თუ არა კონსტიტუცია დისკრიმინაციის უფლებას გენდერული იდენტობის ნიშნით?
Equality & non-discrimination;Employment (gender identity);საქართველოში, არის თუ არა გენდერული იდენტობა პირდაპირ გათვალისწინებული დასაქმების სფეროში ანტიდისკრიმინაციულ კანონმდებლობაში?;საქართველოში, უნდა იყოს თუ არა გენდერული იდენტობა პირდაპირ შეტანილი დასაქმების სფეროში დისკრიმინაციის საწინააღმდეგო კანონმდებლობაში?;საქართველოში, უნდა იყოს თუ არა გენდერული იდენტობა გამორიცხული დასაქმების ანტიდისკრიმინაციულ კანონმდებლობაში?
