Category;Subcategory;Fact;Support;Opposition;Validity Fact;Validity Support;Validity Opposition;Coherence Fact;Coherence Support;Coherence Opposition;Final Score Fact;Final Score Support;Final Score Opposition
Legal gender recognition;Non-binary recognition;0.2;0.2;0.1;1.0;1.0;0.8;0.36;0.36;1.0;0.36;0.36;0.8
Legal gender recognition;No 'Gender Identity Disorder' diagnosis/psychological opinion required;0.0;0.1;0.1;1.0;0.8;0.8;1.0;1.0;1.0;1.0;0.8;0.8
Legal gender recognition;No compulsory medical intervention required;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Legal gender recognition;No compulsory surgical intervention required;0.0;0.5;0.2;1.0;0.8;1.0;1.0;0.0;0.36;1.0;0.0;0.36
Legal gender recognition;No compulsory sterilisation required;0.2;0.1;0.4;1.0;0.8;1.0;0.36;1.0;0.04;0.36;0.8;0.04
Legal gender recognition;No compulsory divorce required;0.2;0.6;0.6;1.0;1.0;1.0;0.36;0.04;0.04;0.36;0.04;0.04
Legal gender recognition;No age restriction;0.5;0.4;0.2;0.8;1.0;1.0;0.0;0.04;0.36;0.0;0.04;0.36
Legal gender recognition;Legal gender recognition procedures exist for minors;0.4;0.4;0.0;1.0;1.0;1.0;0.04;0.04;1.0;0.04;0.04;1.0
Legal gender recognition;Depathologisation;0.4;0.2;0.3;1.0;1.0;0.8;0.04;0.36;0.25;0.04;0.36;0.2
Intersex bodily integrity;Prohibition of medical intervention without informed consent (intersex);0.2;0.6;0.0;1.0;1.0;1.0;0.36;0.04;1.0;0.36;0.04;1.0
Intersex bodily integrity;Universality of prohibition of medical interventions;0.4;0.2;0.3;1.0;1.0;0.8;0.04;0.36;0.25;0.04;0.36;0.2
Intersex bodily integrity;Existence of effective monitoring mechanism;0.0;0.2;0.2;1.0;1.0;0.6;1.0;0.36;1.0;1.0;0.36;0.6
Intersex bodily integrity;Access to justice for victims and reparations;0.7;0.2;0.4;0.8;1.0;1.0;0.25;0.36;0.04;0.2;0.36;0.04
Civil society space;Public event held, no state obstruction of freedom of assembly (last 3 years);0.3;0.6;0.6;0.8;1.0;1.0;0.25;0.04;0.04;0.2;0.04;0.04
Civil society space;Public event held, there is enough protection (last 3 years);0.3;0.4;0.2;0.8;1.0;1.0;0.25;0.04;0.36;0.2;0.04;0.36
Civil society space;Associations operate, no state obstruction of freedom association (last 3 years);0.1;0.0;0.0;0.8;1.0;1.0;1.0;1.0;1.0;0.8;1.0;1.0
Civil society space;LGBTI human rights defenders are not at risk;0.0;0.1;0.5;1.0;0.8;0.8;1.0;1.0;0.0;1.0;0.8;0.0
Civil society space;No laws limiting external funding;0.2;0.2;0.0;1.0;1.0;1.0;0.36;0.36;1.0;0.36;0.36;1.0
Civil society space;No laws limiting freedom of expression (national/local);0.3;0.3;0.5;0.8;0.8;0.8;0.25;0.25;0.0;0.2;0.2;0.0
Asylum;Asylum law (sexual orientation);0.2;0.4;0.2;1.0;1.0;1.0;0.36;0.04;0.36;0.36;0.04;0.36
Asylum;Other positive measures (sexual orientation);0.1;0.2;0.6;0.8;1.0;0.6;1.0;0.36;0.11;0.8;0.36;0.07
Asylum;Asylum law (gender identity);0.2;0.2;0.0;1.0;0.6;1.0;0.36;1.0;1.0;0.36;0.6;1.0
Asylum;Other positive measures (gender identity);0.2;0.5;0.4;1.0;0.8;1.0;0.36;0.0;0.04;0.36;0.0;0.04
Asylum;Asylum law (intersex);0.4;0.2;0.2;1.0;1.0;1.0;0.04;0.36;0.36;0.04;0.36;0.36
Asylum;Other positive measures (intersex);0.1;0.2;0.5;0.8;1.0;0.8;1.0;0.36;0.0;0.8;0.36;0.0
