criterion_id;Fact;Support;Opposition;Stance;Fact Coherence;Fact Validity;Fact Weight coherence by validity;Stance Coherence;Stance Validity;Stance Weight coherence by validity
0;0.8;1.0;0.0;1.0;0.36;1.0;0.36;1.0;1.0;1.0
1;0.2;0.6;0.0;0.8;0.36;1.0;0.36;1.0;1.0;1.0
2;0.4;0.6;1.0;0.3;0.04;1.0;0.04;1.0;1.0;1.0
3;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
4;0.8;1.0;0.0;1.0;0.36;1.0;0.36;1.0;1.0;1.0
5;0.8;1.0;0.0;1.0;0.36;1.0;0.36;1.0;1.0;1.0
6;0.2;1.0;1.0;0.5;0.36;1.0;0.36;1.0;1.0;1.0
7;0.6;1.0;0.0;1.0;0.04;1.0;0.04;1.0;1.0;1.0
8;0.8;1.0;0.2;0.9;0.36;1.0;0.36;0.36;1.0;0.36
9;0.0;0.6;1.0;0.3;1.0;1.0;1.0;1.0;1.0;1.0
10;0.4;0.6;0.0;0.8;0.04;1.0;0.04;1.0;1.0;1.0
11;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
12;0.6;1.0;0.0;1.0;0.04;1.0;0.04;1.0;1.0;1.0
13;0.6;1.0;0.0;1.0;0.04;1.0;0.04;1.0;1.0;1.0
14;1.0;0.8;0.8;0.5;1.0;1.0;1.0;0.36;1.0;0.36
15;0.4;1.0;0.0;1.0;0.04;1.0;0.04;1.0;1.0;1.0
16;0.0;0.8;0.0;0.9;1.0;1.0;1.0;1.0;1.0;1.0
17;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
18;0.0;0.4;0.0;0.7;1.0;1.0;1.0;1.0;1.0;1.0
19;1.0;0.4;0.2;0.6;1.0;1.0;1.0;0.36;1.0;0.36
20;0.6;1.0;0.0;1.0;0.04;1.0;0.04;1.0;1.0;1.0
21;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
22;0.6;1.0;0.0;1.0;0.04;1.0;0.04;1.0;1.0;1.0
23;0.4;1.0;0.0;1.0;0.04;1.0;0.04;1.0;1.0;1.0
24;0.6;1.0;0.0;1.0;0.04;1.0;0.04;1.0;1.0;1.0
25;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
26;0.0;1.0;0.8;0.6;1.0;1.0;1.0;0.36;1.0;0.36
27;0.0;1.0;0.8;0.6;1.0;1.0;1.0;0.36;1.0;0.36
28;0.2;0.8;0.0;0.9;0.36;1.0;0.36;1.0;1.0;1.0
29;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
30;0.2;0.6;0.4;0.6;0.36;1.0;0.36;0.04;1.0;0.04
31;0.4;1.0;0.4;0.8;0.04;1.0;0.04;0.04;1.0;0.04
32;0.4;1.0;1.0;0.5;0.04;1.0;0.04;1.0;1.0;1.0
33;0.6;0.0;0.8;0.1;0.04;1.0;0.04;0.36;1.0;0.36
34;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
35;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
36;0.2;1.0;0.0;1.0;0.36;1.0;0.36;1.0;1.0;1.0
37;0.0;1.0;0.8;0.6;1.0;1.0;1.0;0.36;1.0;0.36
38;0.8;0.4;1.0;0.2;0.36;1.0;0.36;1.0;1.0;1.0
39;0.2;1.0;0.4;0.8;0.36;1.0;0.36;0.04;1.0;0.04
40;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
41;0.2;0.4;0.8;0.3;0.36;1.0;0.36;0.36;1.0;0.36
42;0.6;0.6;0.0;0.8;0.04;1.0;0.04;1.0;1.0;1.0
43;0.0;0.6;0.6;0.5;1.0;1.0;1.0;0.04;1.0;0.04
44;0.6;0.4;0.6;0.4;0.04;1.0;0.04;0.04;1.0;0.04
45;0.2;0.2;0.0;0.6;0.36;1.0;0.36;1.0;1.0;1.0
46;1.0;0.6;1.0;0.3;1.0;1.0;1.0;1.0;1.0;1.0
47;0.8;0.4;0.2;0.6;0.36;1.0;0.36;0.36;1.0;0.36
48;0.0;0.0;0.4;0.3;1.0;1.0;1.0;0.04;1.0;0.04
49;0.6;0.6;0.6;0.5;0.04;1.0;0.04;0.04;1.0;0.04
50;0.2;1.0;0.0;1.0;0.36;1.0;0.36;1.0;1.0;1.0
51;0.0;0.2;0.4;0.4;1.0;1.0;1.0;0.04;1.0;0.04
52;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
53;1.0;0.4;0.0;0.7;1.0;1.0;1.0;1.0;1.0;1.0
54;0.2;0.2;0.0;0.6;0.36;1.0;0.36;1.0;1.0;1.0
55;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
56;1.0;0.0;0.2;0.4;1.0;1.0;1.0;0.36;1.0;0.36
57;0.6;0.0;0.2;0.4;0.04;1.0;0.04;0.36;1.0;0.36
58;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
59;0.4;1.0;1.0;0.5;0.04;1.0;0.04;1.0;1.0;1.0
60;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
61;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
62;0.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
63;0.0;0.8;1.0;0.4;1.0;1.0;1.0;1.0;1.0;1.0
64;0.0;0.2;0.2;0.5;1.0;1.0;1.0;0.36;1.0;0.36
65;0.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
66;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
67;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
68;0.0;0.2;0.0;0.6;1.0;1.0;1.0;1.0;1.0;1.0
69;0.4;0.0;0.0;0.5;0.04;1.0;0.04;1.0;1.0;1.0
70;0.0;0.2;0.0;0.6;1.0;1.0;1.0;1.0;1.0;1.0
71;0.0;1.0;0.2;0.9;1.0;1.0;1.0;0.36;1.0;0.36
72;0.0;0.6;0.2;0.7;1.0;1.0;1.0;0.36;1.0;0.36
73;0.4;1.0;1.0;0.5;0.04;1.0;0.04;1.0;1.0;1.0
74;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
75;0.2;1.0;0.0;1.0;0.36;1.0;0.36;1.0;1.0;1.0
