criterion_id;Fact;Support;Opposition;Stance;Fact Coherence;Fact Validity;Fact Weight coherence by validity;Stance Coherence;Stance Validity;Stance Weight coherence by validity
0;0.2;0.2;0.1;0.55;1.0;0.6;0.6;1.0;0.8;0.8
1;0.7;0.6;0.2;0.7;0.25;0.8;0.2;0.36;1.0;0.36
2;0.6;0.4;0.4;0.5;0.04;1.0;0.04;0.04;1.0;0.04
3;0.2;0.8;0.3;0.75;0.36;1.0;0.36;1.0;0.4;0.4
4;0.6;1.0;0.1;0.95;0.04;1.0;0.04;1.0;0.8;0.8
5;0.4;0.3;0.3;0.5;0.11;0.6;0.07;1.0;0.4;0.4
6;0.2;1.0;0.1;0.95;1.0;0.6;0.6;1.0;0.8;0.8
7;0.3;1.0;0.1;0.95;0.25;0.8;0.2;1.0;0.8;0.8
8;0.2;0.3;0.0;0.65;0.36;1.0;0.36;1.0;1.0;1.0
9;0.3;0.5;0.0;0.75;0.25;0.8;0.2;1.0;1.0;1.0
10;0.0;0.5;0.1;0.7;1.0;1.0;1.0;1.0;0.8;0.8
11;0.0;0.4;0.1;0.65;1.0;1.0;1.0;1.0;0.8;0.8
12;0.0;0.3;0.1;0.6;1.0;1.0;1.0;1.0;0.8;0.8
13;0.1;0.2;0.1;0.55;1.0;0.8;0.8;1.0;0.8;0.8
14;0.6;0.4;0.0;0.7;0.04;1.0;0.04;1.0;1.0;1.0
15;0.4;0.6;0.2;0.7;0.04;1.0;0.04;1.0;0.6;0.6
16;0.3;0.0;0.0;0.5;0.25;0.8;0.2;1.0;1.0;1.0
17;0.2;0.3;0.0;0.65;0.36;1.0;0.36;1.0;1.0;1.0
18;0.3;0.3;0.1;0.6;0.25;0.8;0.2;1.0;0.8;0.8
19;0.0;0.2;0.0;0.6;1.0;1.0;1.0;1.0;1.0;1.0
20;0.8;1.0;0.1;0.95;0.36;1.0;0.36;1.0;0.8;0.8
21;0.1;0.6;0.3;0.65;1.0;0.8;0.8;1.0;0.4;0.4
22;0.3;0.4;0.2;0.6;0.25;0.8;0.2;0.36;1.0;0.36
23;0.4;1.0;0.0;1.0;0.11;0.6;0.07;1.0;1.0;1.0
24;0.2;0.8;0.8;0.5;0.36;1.0;0.36;0.36;1.0;0.36
25;0.3;0.1;0.2;0.45;0.25;0.8;0.2;1.0;0.6;0.6
26;0.4;0.8;0.4;0.7;0.04;1.0;0.04;0.04;1.0;0.04
27;0.2;0.2;0.7;0.25;0.36;1.0;0.36;0.25;0.8;0.2
28;0.0;0.0;0.1;0.45;1.0;1.0;1.0;1.0;0.8;0.8
29;0.0;0.2;0.0;0.6;1.0;1.0;1.0;1.0;1.0;1.0
30;0.0;0.1;0.4;0.35;1.0;1.0;1.0;0.04;1.0;0.04
31;0.4;0.2;0.4;0.4;0.04;1.0;0.04;0.04;1.0;0.04
32;0.8;0.6;0.6;0.5;0.36;1.0;0.36;0.04;1.0;0.04
33;0.8;1.0;0.1;0.95;0.36;1.0;0.36;1.0;0.8;0.8
34;1.0;1.0;0.8;0.6;1.0;1.0;1.0;0.36;1.0;0.36
35;0.0;0.4;0.7;0.35;1.0;1.0;1.0;1.0;0.4;0.4
36;0.5;0.2;0.0;0.6;0.0;0.8;0.0;1.0;1.0;1.0
37;0.4;0.1;0.1;0.5;0.11;0.6;0.07;1.0;0.8;0.8
38;0.4;0.6;0.1;0.75;0.04;1.0;0.04;1.0;0.8;0.8
39;0.0;0.4;0.1;0.65;1.0;1.0;1.0;1.0;0.8;0.8
40;0.2;0.2;0.0;0.6;1.0;0.6;0.6;1.0;1.0;1.0
41;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
42;0.4;0.2;0.1;0.55;0.04;1.0;0.04;1.0;0.8;0.8
43;0.3;0.3;0.2;0.55;0.25;0.8;0.2;0.36;1.0;0.36
44;0.1;1.0;0.0;1.0;1.0;0.8;0.8;1.0;1.0;1.0
45;0.8;0.6;0.0;0.8;0.36;1.0;0.36;1.0;1.0;1.0
46;0.0;0.2;0.0;0.6;1.0;1.0;1.0;1.0;1.0;1.0
47;0.2;0.2;0.1;0.55;0.36;1.0;0.36;1.0;0.8;0.8
48;0.2;0.2;0.0;0.6;0.36;1.0;0.36;1.0;1.0;1.0
49;0.1;0.3;0.0;0.65;1.0;0.8;0.8;1.0;1.0;1.0
50;0.4;0.1;0.1;0.5;0.04;1.0;0.04;1.0;0.8;0.8
51;0.7;0.3;0.0;0.65;0.25;0.8;0.2;1.0;1.0;1.0
52;0.2;0.0;0.0;0.5;0.36;1.0;0.36;1.0;1.0;1.0
53;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
54;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
